name,player_id,team,pos,gp,toi_min,ixG,FA,ixG60,FA60,FA60_resid,d_adj_FA60,blocks60,blocks60_adj,block_val60,d_value60,value60,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,Season
Alina Müller,15,BOS,C,32,678.3666666666667,7.213000000000002,66.52480364649769,0.6379735639526315,5.88396867788786,0.0046255665687055,0.0046255665687056,0.0,-0.5076091519134311,-0.0203043660765372,-0.0204847631727167,0.6174888007799147,3.769,-0.02,3.749,0.832,-0.004,0.828,0.073,2023-24
Gabbie Hughes,57,OTT,F,24,446.75,5.729,42.66884105669765,0.7694236149972021,5.730566230334324,0.0288402919941496,0.0288402919941497,0.5372132064913263,-0.4502843060891526,-0.0180113722435661,-0.0191361436313379,0.7502874713658642,3.461,-0.003,3.458,0.764,-0.001,0.763,0.102,2023-24
Loren Gabel,8,BOS,LW,23,270.96666666666664,4.706000000000001,25.543299890881343,1.0420469922499696,5.656038849008048,-0.1817636016066633,-0.1817636016066632,0.0,-0.5076091519134311,-0.0203043660765372,-0.0132155856138773,1.0288314066360922,3.33,0.025,3.355,0.735,0.006,0.741,0.164,2023-24
Kelly Pannek,23,MIN,F,34,696.0166666666667,6.188,58.81358047360845,0.533435502023419,5.070014839323542,0.0799173971976315,0.0799173971976316,1.465482148415986,1.036046519507739,0.0414418607803095,0.0383250822896019,0.571760584313021,2.655,0.662,3.317,0.586,0.146,0.732,0.063,2023-24
Jade Downie-Landry,35,NY,C,24,334.8833333333333,4.655000000000001,39.36309544725193,0.8340217986363413,7.052562763654355,0.0292562909183515,0.0292562909183516,1.254168118250137,0.5314120539874208,0.0212564821594968,0.0201154868136811,0.8541372854500224,2.955,0.217,3.172,0.652,0.048,0.7,0.125,2023-24
Kristin O'Neill,30,MTL,C,26,539.3833333333333,5.269,54.62476030199543,0.5861137719000092,6.076356860834395,0.029276049015024,0.029276049015024,1.557333992522325,0.3588274098182891,0.0143530963927315,0.0132113304811456,0.5993251023811549,2.531,0.287,2.818,0.559,0.063,0.622,0.069,2023-24
Sidney Morin,167,BOS,RD,32,620.9166666666667,6.001999999999998,61.03986536391788,0.5799812105757614,5.898363046842151,0.0130580471473322,0.0130580471473323,0.8696819218896792,-0.5943285272184327,-0.0237731410887373,-0.0242824049274832,0.5556988056482781,2.85,-0.058,2.792,0.629,-0.013,0.616,0.06,2023-24
Liz Schepers,97,MIN,F,29,397.53333333333336,4.58,32.68010090543341,0.6912627871876572,4.932431798572878,-0.0414402517213107,-0.0414402517213106,0.3018614791212476,-0.1275741497869993,-0.0051029659914799,-0.0034867961743488,0.6877759910133083,2.562,0.101,2.663,0.566,0.022,0.588,0.089,2023-24
Rebecca Leslie,72,TOR,RW,29,306.58333333333337,3.9890000000000008,27.659936567005506,0.7806686599619462,5.413197697266638,-0.0614932827141999,-0.0614932827141998,0.978526773579777,0.2323366205697007,0.009293464822788,0.0116917028486418,0.7923603628105881,2.433,0.155,2.588,0.537,0.034,0.571,0.112,2023-24
Emma Maltais,73,TOR,C,29,566.8500000000001,5.168000000000003,52.05483526724174,0.5470230219634826,5.509905823470943,0.0111949661770501,0.0111949661770502,0.6350886477904206,-0.1111015052196557,-0.0044440602087862,-0.0048806638896911,0.5421423580737914,2.29,0.131,2.421,0.506,0.029,0.535,0.057,2023-24
Brittany Howard,69,TOR,RW,28,335.5333333333334,4.066000000000001,30.95490072400319,0.727081263659845,5.535348828055406,0.0551488101326277,0.0551488101326278,0.3576395787800516,-0.3885505742300247,-0.0155420229692009,-0.0176928265643734,0.7093884370954716,2.363,0.006,2.369,0.522,0.001,0.523,0.094,2023-24
Sophie Jaques,11,MIN,RD,25,645.1833333333333,5.514999999999999,51.12117141953949,0.5128774766862131,4.754106510044746,-0.2381043943765807,-0.2381043943765806,0.9299682260856088,-0.4558687000173189,-0.0182347480006927,-0.0089486766200061,0.503928800066207,2.24,0.105,2.345,0.495,0.023,0.518,0.048,2023-24
Sophia Kunin,103,MIN,F,33,417.53333333333336,4.271000000000001,34.91814219073532,0.6137474053967747,5.01777550242085,0.0359345040374025,0.0359345040374025,0.2874022034168928,-0.1420334254913541,-0.0056813370196541,-0.0070827826771128,0.6066646227196619,2.151,0.081,2.232,0.475,0.018,0.493,0.071,2023-24
Hannah Miller,89,TOR,LW,28,430.6,4.348,39.32540013267301,0.6058522991175104,5.479619154575896,-0.0130437746173032,-0.0130437746173031,0.4180213655364607,-0.3281687874736155,-0.0131267514989446,-0.0126180442888698,0.5932342548286406,2.162,0.044,2.206,0.477,0.01,0.487,0.068,2023-24
Élizabeth Giguère,37,NY,RW,24,306.3833333333333,3.682,35.86700414496759,0.7210574987760431,7.023946848821375,-0.0109728885432514,-0.0109728885432513,0.5874993200239352,-0.1352567442387809,-0.0054102697695512,-0.0049823271163644,0.7160751716596786,2.127,0.07,2.197,0.47,0.015,0.485,0.095,2023-24
Paetyn Levis,40,NY,LW,23,306.4166666666667,3.557,36.42682334112663,0.6965025836279575,7.132801959644049,0.0953578607961869,0.0953578607961869,0.5874354093010606,-0.1353206549616555,-0.0054128261984662,-0.0091317827695175,0.6873708008584399,2.001,0.049,2.05,0.442,0.011,0.453,0.089,2023-24
Tereza Vanišová,161,MTL,LW,17,279.41666666666663,3.479,28.39531587495725,0.7470563674321504,6.097413489403287,0.0668783380646479,0.066878338064648,0.6441992245750076,-0.5543073581290283,-0.0221722943251611,-0.0247805495096824,0.722275817922468,2.061,-0.028,2.033,0.455,-0.006,0.449,0.096,2023-24
Abby Boreen,114,MIN,LW,14,235.11666666666665,3.1710000000000003,19.29066247348641,0.8092152831927414,4.922831566211888,-0.0389144092833811,-0.0389144092833811,0.0,-0.429435628908247,-0.0171774251563298,-0.015659763194278,0.7935555199984634,1.977,0.012,1.989,0.436,0.003,0.439,0.112,2023-24
Kati Tabin,84,MTL,LD,27,648.2333333333335,4.930000000000001,65.73682795180429,0.4563171697434051,6.084552389224441,0.0241278724415995,0.0241278724415995,2.4065408546305336,0.2516329747318169,0.0100653189892726,0.0091243319640502,0.4654415017074553,1.639,0.301,1.94,0.362,0.066,0.428,0.04,2023-24
Susanna Tapani,78,BOS,C,25,586.35,4.680000000000001,58.07851286030518,0.4788948580199539,5.943055805608102,0.0473586504798885,0.0473586504798886,0.4093118444614991,-0.0982973074519321,-0.0039318922980772,-0.0057788796667929,0.473115978353161,1.703,0.126,1.829,0.376,0.028,0.404,0.041,2023-24
Sophie Shirley,18,BOS,RW,28,368.5833333333333,3.529000000000001,35.40346756365884,0.5744698168663804,5.763169035911003,-0.1227025611397838,-0.1227025611397838,0.3255708794935564,-0.1820382724198747,-0.0072815308967949,-0.0024961310123434,0.571973685854037,1.658,0.1,1.758,0.366,0.022,0.388,0.063,2023-24
Natalie Snodgrass,142,OTT,C,23,294.7833333333333,3.1470000000000007,28.40155493524628,0.6405382484310512,5.780833254191588,0.0658572902190607,0.0658572902190608,1.0176966133318257,0.0301991007513467,0.0012079640300538,-0.0013604702884895,0.6391777781425617,1.651,0.085,1.736,0.365,0.019,0.384,0.078,2023-24
Jesse Compher,65,TOR,C,29,444.8833333333334,3.734,40.09681903687916,0.503592702206571,5.407730436172965,-0.0954452635257084,-0.0954452635257084,0.8092009140973289,0.0630107610872525,0.0025204304434901,0.0062427957209927,0.5098354979275638,1.476,0.185,1.661,0.326,0.041,0.367,0.049,2023-24
Jaime Bourbonnais,87,NY,RD,24,606.2833333333335,4.652,71.00832916230588,0.4603788107870356,7.027242075605495,-0.0344766645449887,-0.0344766645449887,1.3854908321191957,-0.2936665293382012,-0.011746661173528,-0.0104020712562734,0.449976739530762,1.574,0.084,1.658,0.348,0.019,0.367,0.036,2023-24
Hannah Brandt,1,BOS,C,32,608.8333333333333,4.193000000000001,60.574988207825335,0.4132165343553245,5.969612853768717,0.0671636561454409,0.067163656145441,1.182589652340542,0.674980500427111,0.0269992200170844,0.0243798374274122,0.4375963717827368,1.102,0.437,1.539,0.243,0.096,0.339,0.033,2023-24
Claire Dalton,26,MTL,LW,23,319.3666666666668,2.9160000000000004,31.689937321321867,0.5478342552969417,5.953646506458548,-0.09736962082524,-0.0973696208252399,1.315102807640121,0.116596224936085,0.0046638489974434,0.0084612642096277,0.5562955195065695,1.295,0.145,1.44,0.286,0.032,0.318,0.06,2023-24
Taylor Girard,9,BOS,LW,23,283.95,2.531,26.521535774690456,0.5348124669836238,5.604128003104164,-0.2858205571927792,-0.2858205571927792,1.479133650290544,0.971524498377113,0.0388609799350845,0.0500079816656029,0.5848204486492268,1.09,0.325,1.415,0.241,0.072,0.313,0.066,2023-24
Ella Shelton,44,NY,LD,24,635.2666666666668,4.523,74.46544512890789,0.427190681078812,7.033151497115866,-0.0319791398312798,-0.0319791398312798,1.4167278833035994,-0.2624294781537974,-0.0104971791261518,-0.0092499926727319,0.41794068840608,1.298,0.1,1.398,0.287,0.022,0.309,0.029,2023-24
Maggie Connors,66,TOR,LW,29,440.7166666666666,3.5280000000000014,40.137859003309856,0.4803085882842343,5.46444398940799,-0.0411254273938527,-0.0411254273938526,0.5445675604129638,-0.2016225925971125,-0.0080649037038845,-0.0064610120355242,0.47384757624871,1.291,0.09,1.381,0.285,0.02,0.305,0.042,2023-24
Sarah Bujold,81,MTL,C,21,294.1166666666667,2.6610000000000005,29.64704656619501,0.5428458094860317,6.048017659562646,-0.0035113035582984,-0.0035113035582983,1.6320054400181334,0.4334988573140975,0.0173399542925639,0.0174768951313375,0.5603227046173692,1.168,0.177,1.345,0.258,0.039,0.297,0.061,2023-24
Mélodie Daoust,168,MTL,RW,9,201.4333333333333,2.353,19.948497799131115,0.7008770478239285,5.941965255408905,-0.0933173485288584,-0.0933173485288583,0.5957305973854047,-0.6027759853186312,-0.0241110394127452,-0.0204716628201197,0.6804053850038086,1.33,-0.006,1.324,0.294,-0.001,0.293,0.087,2023-24
Sarah Lefort,158,MTL,LW,26,305.91666666666663,2.8360000000000003,30.7768163748996,0.5562299101062382,6.0363137537258815,-0.013839260511116,-0.0138392605111159,0.7845273767365841,-0.4139792059674518,-0.016559168238698,-0.0160194370787645,0.5402104730274737,1.283,0.014,1.297,0.283,0.003,0.286,0.056,2023-24
Brittyn Fleming,105,MIN,F,32,357.69999999999993,2.8640000000000008,29.82725395833181,0.4804025719876994,5.003173714005896,0.0076242356942376,0.0076242356942377,0.5032149846239866,0.0737793557157396,0.0029511742286295,0.0026538290365543,0.4830564010242537,1.048,0.127,1.175,0.231,0.028,0.259,0.043,2023-24
Kateřina Mrázová,88,OTT,F,23,390.7333333333333,2.993000000000001,37.16581645043672,0.4595973383381678,5.707086641425192,-0.0264909044068345,-0.0264909044068344,1.0749018938747656,0.0874043812942866,0.0034961752517714,0.004529320523638,0.4641266588618058,1.009,0.151,1.16,0.223,0.033,0.256,0.039,2023-24
Mikyla Grant-Mentis,138,MTL,RW,10,166.75,1.969,15.982179077308857,0.7084857571214394,5.750709113274551,-0.2837912793392497,-0.2837912793392497,0.7196401799100449,-0.478866402793991,-0.0191546561117596,-0.0080867962175289,0.7003989609039104,1.122,0.03,1.152,0.248,0.007,0.255,0.092,2023-24
Fanni Garát-Gasparics,137,OTT,F,15,125.59999999999998,1.791,11.364752675940409,0.8555732484076434,5.4290219789524246,-0.2638473693704471,-0.2638473693704471,0.0,-0.987497512580479,-0.0394999005032191,-0.0292098530977717,0.8263633953098717,1.153,-0.022,1.131,0.255,-0.005,0.25,0.119,2023-24
Shiann Darkangelo,4,BOS,RW,17,202.79999999999995,2.1220000000000003,19.19454301231537,0.6278106508875742,5.678858879383248,-0.2015290274949297,-0.2015290274949297,0.0,-0.5076091519134311,-0.0203043660765372,-0.0124447340042349,0.6153659168833392,1.092,0.021,1.113,0.241,0.005,0.246,0.073,2023-24
Samantha Cogan,126,TOR,RW,28,239.35,2.072,21.434234112030243,0.5194067265510758,5.373110702827718,-0.1284392403285491,-0.1284392403285491,1.50407353248381,0.7578833794737339,0.0303153351789493,0.0353244655517627,0.5547311921028385,0.857,0.216,1.073,0.189,0.048,0.237,0.059,2023-24
Becca Gilmore,55,OTT,F,22,260.51666666666665,2.072,25.070274401426385,0.4772055530676221,5.77397401606647,0.0422066780394187,0.0422066780394187,2.3031156036082145,1.3156180910277355,0.0526247236411094,0.050978663197572,0.5281842162651942,0.749,0.303,1.052,0.165,0.067,0.232,0.053,2023-24
Susanna Tapani,78,MIN,F,9,148.8,1.688,14.149401222700869,0.6806451612903225,5.705403718830995,0.7304401263466985,0.7304401263466986,1.6129032258064515,1.1834675968982045,0.0473387038759281,0.0188515389484069,0.6994967002387295,0.933,0.093,1.026,0.206,0.021,0.227,0.092,2023-24
Abby Roque,42,NY,C,24,497.9333333333333,3.554,58.61668953670005,0.4282501004150488,7.063197293215965,-0.0018244304097188,-0.0018244304097187,0.240996117284777,-0.4817599469779391,-0.0192703978791175,-0.0191992450931385,0.4090508553219103,1.026,-0.004,1.022,0.227,-0.001,0.226,0.027,2023-24
Victoria Bach,125,TOR,LW,21,271.8166666666666,2.301,25.83377872511861,0.5079158746704274,5.70247123737979,0.1997399802697917,0.1997399802697918,0.6622110491139863,-0.08397910389609,-0.0033591641558436,-0.0111490233863654,0.4967668512840619,0.921,0.034,0.955,0.203,0.008,0.211,0.047,2023-24
Lexie Adzija,49,OTT,F,17,266.68333333333334,2.3280000000000003,25.2485206749826,0.5237672645459659,5.680562116738789,-0.0464184569952211,-0.046418456995221,0.2249859383788513,-0.7625115742016277,-0.0305004629680651,-0.0286901431452514,0.4950771214007144,0.974,-0.044,0.93,0.215,-0.01,0.205,0.046,2023-24
Catherine Dubois,157,MTL,LW,24,247.05,2.071,24.425535146380323,0.5029751062537947,5.93212754010451,-0.1235003199966117,-0.1235003199966116,1.2143290831815423,0.0158225004775063,0.0006329000191002,0.0054494124989681,0.5084245187527628,0.817,0.1,0.917,0.18,0.022,0.202,0.049,2023-24
Theresa Schafzahl,17,BOS,LW,28,421.2166666666666,2.9930000000000003,41.89384229760844,0.4263364064416571,5.967547670295983,0.0664472576129106,0.0664472576129107,0.2848890119890793,-0.2227201399243519,-0.008908805596974,-0.0115002486438775,0.4148361577977795,0.855,0.051,0.906,0.189,0.011,0.2,0.028,2023-24
Kayla Vespa,45,NY,LW,23,234.66666666666663,1.97,27.570914250511045,0.5036931818181818,7.049381484505665,-0.0078843333177716,-0.0078843333177715,1.022727272727273,0.2999712084645567,0.0119988483385822,0.0123063373379753,0.5159995191561572,0.779,0.121,0.9,0.172,0.027,0.199,0.051,2023-24
Megan Keller,12,BOS,LD,32,854.8999999999999,4.932000000000001,84.40427885975048,0.3461457480407067,5.923800130524072,0.014455738655493,0.0144557386554931,1.5440402386244008,0.0800297895162888,0.0032011915806515,0.0026374177730873,0.348783165813794,0.592,0.304,0.896,0.131,0.067,0.198,0.014,2023-24
Madison Packer,148,NY,D,23,170.83333333333334,1.6879999999999995,19.919537564233607,0.5928585365853657,6.996130266462535,-0.0519689309162407,-0.0519689309162407,1.7560975609756095,0.0769401995182126,0.0030776079807285,0.0051043962864618,0.5979629328718276,0.821,0.068,0.889,0.181,0.015,0.196,0.069,2023-24
Jill Saulnier,149,NY,LW,18,225.03333333333333,1.866,25.71044464498196,0.4975262924011258,6.8551030011802,-0.2027968020600836,-0.2027968020600836,1.066508665382906,0.3437526011201899,0.0137501040448075,0.0216591793251508,0.5191854717262767,0.724,0.151,0.875,0.16,0.033,0.193,0.051,2023-24
Gigi Marvin,109,BOS,C,32,382.35,2.7880000000000003,37.88582101859644,0.4375049038838761,5.945205338343889,0.0452531000527356,0.0452531000527356,0.156924284032954,-0.3506848678804771,-0.014027394715219,-0.0157922656172757,0.4217126382666003,0.847,0.019,0.866,0.187,0.004,0.191,0.03,2023-24
Mikyla Grant-Mentis,138,OTT,F,6,77.85000000000001,1.1509999999999998,6.860141008445972,0.887090558766859,5.28719923579651,-0.4024299838659207,-0.4024299838659207,1.541425818882466,0.5539283063019871,0.0221571322520794,0.0378519016228503,0.9249424603897094,0.756,0.073,0.829,0.167,0.016,0.183,0.141,2023-24
Alexandra Labelle,39,NY,C,24,254.35,1.789,29.768471139569037,0.4220169058384116,7.022245993214632,-0.0434165323120929,-0.0434165323120929,1.6512679378808726,0.9285118736181563,0.0371404749447262,0.0388337197048978,0.4608506255433094,0.498,0.244,0.742,0.11,0.054,0.164,0.039,2023-24
Chloé Aurard-Bushee,33,NY,RW,21,251.7,2.047,30.34697969514904,0.4879618593563767,7.234083359987853,0.1752002877669374,0.1752002877669374,0.2383790226460072,-0.484377041616709,-0.0193750816646683,-0.0262078928875789,0.4617539664687978,0.769,-0.031,0.738,0.17,-0.007,0.163,0.039,2023-24
Lexie Adzija,49,BOS,C,15,194.51666666666665,1.637,19.51840834613549,0.5049438779881759,6.020586928805397,0.1275677362067728,0.1275677362067729,0.308456858880987,-0.1991522930324441,-0.0079660917212977,-0.0129412334333619,0.4920026445548139,0.65,0.019,0.669,0.144,0.004,0.148,0.046,2023-24
Gabrielle David,156,MTL,RW,26,360.65,2.3280000000000003,35.993892220671576,0.3873007070567031,5.988170063053638,-0.07934967271346,-0.0793496727134599,1.1645639816997089,-0.0339426010043272,-0.001357704040173,0.0017369331956518,0.389037640252355,0.497,0.123,0.62,0.11,0.027,0.137,0.023,2023-24
Amanda Pelkey,110,BOS,RW,31,372.7333333333334,2.403,37.95324803139773,0.3868181005186907,6.109447903462341,0.2042848219102033,0.2042848219102034,0.6438919692362725,0.1362828173228412,0.0054513126929136,-0.0025157953615842,0.3843023051571064,0.511,0.101,0.612,0.113,0.022,0.135,0.022,2023-24
Emma Woods,86,NY,LW,24,375.9500000000001,2.531,43.946865486310806,0.4039366937092698,7.013730360895459,-0.0537908960026547,-0.0537908960026546,0.1595956909163452,-0.563160373346371,-0.0225264149338548,-0.0204285699897513,0.3835081237195185,0.622,-0.011,0.611,0.137,-0.002,0.135,0.022,2023-24
Jillian Dempsey,27,MTL,C,26,201.8333333333333,1.4580000000000002,21.161266219050383,0.4334269199009084,6.290714978412996,0.2279372356183536,0.2279372356183537,2.0809248554913298,0.8824182727872938,0.0352967309114917,0.0264071787223759,0.4598340986232844,0.433,0.152,0.585,0.096,0.034,0.13,0.039,2023-24
Sophie Jaques,11,BOS,RD,6,105.68333333333337,0.767,9.986590438181192,0.4354518214792619,5.669724897879244,-0.2304384069993057,-0.2304384069993057,5.6773379593124105,4.213327510204298,0.1685331004081719,0.1775201982811448,0.6129720197604067,0.23,0.346,0.576,0.051,0.076,0.127,0.072,2023-24
Clair DeGeorge,116,MIN,F,33,344.7666666666666,2.1750000000000003,28.3360268500155,0.3785168713139322,4.931339875280664,-0.0746839352338254,-0.0746839352338253,0.5220922362950788,0.0926566073868318,0.0037062642954732,0.0066189377695924,0.3851358090835247,0.425,0.146,0.571,0.094,0.032,0.126,0.022,2023-24
Ann-Sophie Bettez,80,MTL,LW,15,217.53333333333333,1.6369999999999998,22.76003122502996,0.4515170088875267,6.277667208865144,0.2167492128295812,0.2167492128295813,0.5516395954642966,-0.6468669872397392,-0.0258746794895895,-0.0343278987899432,0.4171891100975835,0.533,-0.057,0.476,0.118,-0.013,0.105,0.029,2023-24
Kaitlin Willoughby,128,TOR,LW,27,184.66666666666663,1.279,16.964542293516853,0.4155595667870037,5.511945149518112,-0.0002807731180664,-0.0002807731180663,1.2996389891696754,0.5534488361595991,0.0221379534463839,0.0221489035979885,0.4377084703849923,0.342,0.126,0.468,0.076,0.028,0.104,0.034,2023-24
Kennedy Marchment,29,MTL,RW,9,97.71666666666668,1.023,10.719721002664128,0.628142589118199,6.582124443048073,0.5393643925398989,0.539364392539899,0.0,-1.198506582704036,-0.0479402633081614,-0.0689754746172175,0.5591671145009814,0.527,-0.082,0.445,0.116,-0.018,0.098,0.06,2023-24
Micah Zandee-Hart,47,NY,LD,18,397.5166666666667,2.018,46.10902219513503,0.3045910024736908,6.959560601336888,-0.1181738627732305,-0.1181738627732304,2.5659301496792586,0.8867727882218617,0.0354709115288744,0.0400796921770304,0.3446706946507213,0.0,0.39,0.39,0.0,0.086,0.086,0.013,2023-24
Amanda Boulier,51,MTL,RD,9,214.0,0.8929999999999999,20.798457684803616,0.2503738317757009,5.831343276113163,-0.2502531904385744,-0.2502531904385743,5.327102803738318,3.172194923839601,0.126887796953584,0.1366476713806884,0.3870215031563893,-0.193,0.554,0.361,-0.043,0.122,0.079,0.022,2023-24
Tereza Vanišová,161,OTT,LW,6,78.46666666666667,0.6649999999999999,7.752559856536808,0.5084961767204756,5.928040671948282,0.1994901581154639,0.1994901581154639,2.293967714528462,1.306470201947983,0.0522588080779193,0.0444786919114162,0.5529748686318918,0.267,0.083,0.35,0.059,0.018,0.077,0.059,2023-24
Brooke Bryant,91,MIN,F,25,172.81666666666666,1.049,15.17849829939324,0.3642009837014177,5.269803633698107,0.2623080821871836,0.2623080821871836,1.7359436782717717,1.3065080493635246,0.0522603219745409,0.0420303067692408,0.4062312904706585,0.172,0.175,0.347,0.038,0.039,0.077,0.027,2023-24
Akane Shiga,141,OTT,F,23,240.53333333333333,1.5600000000000005,22.85572579975974,0.3891352549889136,5.701261978875766,-0.0395594025860218,-0.0395594025860217,0.4988913525498891,-0.4886061600305899,-0.0195442464012235,-0.0180014297003687,0.3711338252885449,0.339,0.003,0.342,0.075,0.001,0.076,0.019,2023-24
Alexa Vasko,101,TOR,C,29,253.25,1.227,23.213940848089187,0.2907008884501481,5.499847782370588,-0.0252142032916901,-0.02521420329169,2.3692003948667324,1.623010241856656,0.0649204096742662,0.0659037636026421,0.3566046520527902,-0.059,0.357,0.298,-0.013,0.079,0.066,0.016,2023-24
