name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,FA60,FA60_resid,d_adj_FA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Grace Zumwinkle,25,MIN,F,24,452.71666666666664,11,7,1,6,4,10.836813413927228,0.7951993520597873,1.451185296377231,-1.2475025879491208,-1.13837025018297,0.574528702760077,0.39759967602989366,-0.27686531623164623,-0.011074612649265849,1.4362378341912905,1.582643737606892,3.0188815717981825,6.184,11.941,18.125,8.33,15.533,23.863,1.823,3.4,5.223,0.692,0.3322,-0.4759,4.569,2023-24
Natalie Spooner,100,TOR,F,23,432.81666666666666,19,6,1,10,4,10.483785299383394,1.3862682429050022,1.2890712591810993,-0.9788513107574446,-0.8697189729912936,0.8,1.247641418614502,0.31684761639563014,0.012673904655825206,1.4533338625969507,1.2302804668436362,2.683614329440587,6.036,8.875,14.911,8.087,12.308,20.395,1.77,2.694,4.464,0.619,0.3322,-0.4759,4.569,2023-24
Hilary Knight,13,BOS,F,23,498.54999999999995,5,3,2,6,6,9.506409284608443,0.7220940728111523,1.7873986520347038,-0.7205807523157255,-0.6114484145495745,0.4230769230769231,1.3238391334871127,0.5144943296975278,0.020579773187901114,1.144086966355444,0.8766075535573055,2.0206945199127495,4.383,7.284,11.667,6.746,11.239,17.985,1.476,2.46,3.936,0.474,0.3322,-0.4759,4.569,2023-24
Laura Stacey,32,MTL,F,21,455.0333333333333,9,5,3,6,2,9.036104430810047,0.7911508314409201,1.6254726754335294,-0.7850481404988945,-0.6759158027327435,0.5105841929948152,1.3185847190682003,-0.24276129298587534,-0.009710451719435013,1.1914869222370585,0.9365716721064059,2.1280585943434644,4.36,7.103,11.463,6.517,10.712,17.229,1.426,2.344,3.77,0.497,0.3322,-0.4759,4.569,2023-24
Hayley Scamurra,61,OTT,F,22,425.91666666666663,4,4,0,2,2,7.603257146593939,0.2817452553316377,1.2377805752594975,-0.9099370246338061,-0.8008046868676552,0.5384615384615384,1.5495989043240073,0.5664013245504809,0.022656052982019236,1.0710908130596042,1.1437826145967365,2.2148734276563404,3.226,8.119,11.345,5.245,11.498,16.743,1.148,2.517,3.665,0.516,0.3322,-0.4759,4.569,2023-24
Kendall Coyne Schofield,20,MIN,F,24,458.96666666666664,6,4,6,12,6,9.198173687107328,1.5687413755537802,1.4478907466856832,-0.6969674909289187,-0.5878351531627678,0.65,1.0458275837025204,0.3713625914409805,0.01485450365763922,1.2024629702079448,0.837823718085514,2.0402866882934587,4.481,6.409,10.89,6.657,10.05,16.707,1.457,2.2,3.657,0.478,0.3322,-0.4759,4.569,2023-24
Blayre Turnbull,76,TOR,F,23,441.56666666666666,3,3,2,5,14,6.736920678950998,0.6793991092322791,1.3830093719457281,-0.7494176806521768,-0.6402853428860259,0.4154411764705882,1.9023175058503812,0.9715237036315093,0.03886094814526037,0.9154115816495657,0.9352604281856967,1.8506720098352623,2.199,6.883,9.082,4.292,10.386,14.678,0.939,2.273,3.212,0.436,0.3322,-0.4759,4.569,2023-24
Jessie Eldridge,36,NY,F,23,425.5833333333333,7,5,2,-10,10,7.201688599146977,-1.409829645584492,1.4685222531505877,-0.7179035040739281,-0.6087711663077772,0.472729039075736,1.1278637164675935,0.4514531310297365,0.018058125241189462,1.015315408534526,0.8703377580720775,1.8856531666066034,2.828,6.173,9.001,4.845,9.549,14.394,1.06,2.09,3.15,0.444,0.3322,-0.4759,4.569,2023-24
Sophie Jaques,11,MIN,D,15,387.56666666666666,2,4,4,3,4,6.279026812589057,0.46443622602563,1.8747739894292743,-0.8349422303163698,-0.7258098925502189,0.5298394239166777,1.5481207534187666,-0.38859103917867766,-0.015543641567147106,0.972069171984201,1.0005902080031592,1.9726593799873602,2.296,6.463,8.759,4.133,9.538,13.671,0.905,2.088,2.993,0.463,0.3322,-0.4759,4.569,2023-24
Daryl Watts,63,OTT,F,22,377.26666666666665,10,3,2,-1,6,6.334702231909283,-0.1590386994168581,1.2639585059043057,-0.7980160338248261,-0.6888836960586752,0.527145240536056,0.7951934970842905,-0.18800408268923588,-0.007520163307569435,1.0074628041559206,0.9569170111745757,1.9643798153304963,2.458,6.017,8.475,4.246,9.01,13.256,0.929,1.972,2.901,0.461,0.3322,-0.4759,4.569,2023-24
Alex Carpenter,34,NY,F,23,495.7833333333333,8,6,8,-9,0,7.450518265714183,-1.0891854640804115,1.4677884112944641,-0.45731875697200364,-0.3481864192058527,0.5055350553505535,0.8471442498403201,0.17073366440246307,0.006829346576098523,0.9016662438757206,0.49429033346429224,1.3959565773400129,2.355,4.084,6.439,4.706,8.017,12.723,1.03,1.755,2.785,0.337,0.3322,-0.4759,4.569,2023-24
Marie-Philip Poulin,31,MTL,F,20,437.3833333333333,10,6,7,9,14,6.9655048020386126,1.2346149449376975,1.5217072160522165,-0.551651562601349,-0.442519224835198,0.478021978021978,1.783332698243341,0.22198668618926543,0.008879467447570618,0.9555240364035745,0.6284063822168477,1.5839304186204224,2.471,4.581,7.052,4.544,8.05,12.594,0.995,1.762,2.757,0.378,0.3322,-0.4759,4.569,2023-24
Sidney Morin,167,BOS,D,23,428.0,1,0,3,-3,2,5.585330043883982,-0.4205607476635514,1.6957770671228523,-0.6905348048900066,-0.5814024671238557,0.5298394239166777,1.2616822429906542,-0.809909361134835,-0.0323963744453934,0.7829901930678479,0.7815670795280044,1.5645572725958523,1.187,5.575,6.762,3.216,8.97,12.186,0.704,1.963,2.667,0.374,0.3322,-0.4759,4.569,2023-24
Brianne Jenner,58,OTT,F,22,404.31666666666666,9,5,3,1,4,6.709219796545366,0.1483985325034008,1.25312649519965,-0.5827598366581908,-0.4736274988920398,0.6280487804878049,0.741992662517004,-0.2412049172565224,-0.009648196690260897,0.9956383720500974,0.6534303017585948,1.6490686738086922,2.554,4.403,6.957,4.471,7.61,12.081,0.979,1.666,2.645,0.393,0.3322,-0.4759,4.569,2023-24
