name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,FA60,FA60_resid,d_adj_FA60,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Kristin O'Neill,30,MTL,F,51,863.4333333333333,5,2,7,-13,30,13.146407328602322,-0.9033702659923561,0.8646091764861542,-0.2962707932641805,-0.20834735156060225,0.0,0.0,0.0,0.9135441142525645,0.16459440773287579,1.0781385219854402,-0.187,2.369,2.182,6.685,5.6,12.285,1.324,1.109,2.433,0.169,0.449,-0.2246,5.0492,All Seasons
Jamie Lee Rattray,16,BOS,F,28,422.23333333333335,3,4,1,0,8,11.869784338847216,0.0,1.4608237567801197,-0.3073564420848338,-0.21943300038125557,0.0,0.0,0.0,1.6867144398772391,0.1733520703011919,1.860066510178431,5.35,1.22,6.57,8.71,2.8,11.51,1.725,0.555,2.28,0.324,0.449,-0.2246,5.0492,All Seasons
Shiann Darkangelo,4,OTT,F,35,492.76666666666665,8,8,2,5,14,11.546812844256083,0.6088074139213961,1.1820504442097313,-0.36560392805116293,-0.2776804863475847,0.0,0.0,0.0,1.4059570533491814,0.2193675842145919,1.6253246375637733,3.937,1.802,5.739,7.859,3.646,11.505,1.556,0.722,2.278,0.277,0.449,-0.2246,5.0492,All Seasons
Jamie Lee Rattray,16,BOS,F,23,369.4,2,5,3,-2,8,11.869784338847216,-0.3248511099079589,1.6697576725441055,-0.2879101944106528,-0.19998675270707456,0.0,0.0,0.0,1.927956308421313,0.15798953463858892,2.085945843059902,6.165,0.973,7.138,9.105,2.355,11.46,1.803,0.466,2.269,0.369,0.449,-0.2246,5.0492,All Seasons
Shiann Darkangelo,4,BOS,F,17,202.8,0,1,0,-5,0,11.546812844256083,-1.4792899408284022,2.8721649764550388,-0.2544832799297301,-0.16655983822615184,0.0,0.0,0.0,3.416216817827243,0.13158227219865995,3.547799090025903,8.415,0.445,8.86,10.029,1.204,11.233,1.986,0.238,2.224,0.658,0.449,-0.2246,5.0492,All Seasons
Hannah Miller,89,TOR,F,50,835.8833333333333,17,11,8,20,16,12.00474102562828,1.4356070424501028,0.8224607791944742,-0.29770088371344317,-0.20977744200986492,0.0,0.0,0.0,0.8617045379590813,0.1657241791877933,1.0274287171468746,-0.903,2.309,1.406,5.75,5.437,11.187,1.139,1.077,2.216,0.159,0.449,-0.2246,5.0492,All Seasons
Susanna Tapani,78,BOS,F,28,602.5833333333333,10,4,3,-4,8,13.347123867384415,-0.39828516111187945,1.4813207799891235,-0.005878737655022004,0.08204470404855624,0.0,0.0,0.0,1.3289903449753533,-0.06481531619835944,1.264175028776994,4.042,-0.651,3.391,8.838,1.604,10.442,1.75,0.318,2.068,0.206,0.449,-0.2246,5.0492,All Seasons
Julia Gosling,210,TOR,F,29,391.3333333333333,4,3,3,2,6,9.067125151367549,0.30664395229982966,0.9266703878622772,-0.6085991186282952,-0.520675676924717,0.0,0.0,0.0,1.3901895462062681,0.4113337847705264,1.8015233309767944,3.024,2.683,5.707,6.139,4.148,10.287,1.216,0.822,2.038,0.312,0.449,-0.2246,5.0492,All Seasons
Britta Curl-Salemme,189,MIN,F,26,433.93333333333334,10,2,2,3,22,9.476028117577314,0.4148102627131664,0.9752530118091166,-0.4972275444379707,-0.40930410273439244,0.0,0.0,0.0,1.3102512376431992,0.32335024116017,1.6336014788033693,2.775,2.339,5.114,6.229,3.963,10.192,1.234,0.785,2.019,0.279,0.449,-0.2246,5.0492,All Seasons
Susanna Tapani,78,BOS,F,16,332.21666666666664,2,2,4,8,6,13.347123867384415,1.4448402147193098,2.6868586163902446,0.3501230275047966,0.43804646920837487,0.0,0.0,0.0,2.410557664304615,-0.3460567106746162,2.0645009536299987,8.217,-1.916,6.301,10.861,-0.673,10.188,2.151,-0.133,2.018,0.364,0.449,-0.2246,5.0492,All Seasons
Susanna Tapani,78,MIN,F,9,148.8,2,3,0,7,2,13.347123867384415,2.8225806451612905,5.998785035899052,1.3281525972314379,1.416076038935016,0.0,0.0,0.0,5.38190478523565,-1.1187000707586627,4.263204714476988,11.049,-2.774,8.275,12.234,-2.217,10.017,2.423,-0.439,1.984,0.8,0.449,-0.2246,5.0492,All Seasons
Rebecca Leslie,72,OTT,F,26,277.1333333333333,1,0,2,-6,2,10.497192083019176,-1.2990137118114025,2.019772301664251,-0.20865391363995123,-0.12073047193637299,0.0,0.0,0.0,2.2726660752266676,0.09537707282973466,2.3680431480564024,6.218,0.441,6.659,8.423,1.478,9.901,1.668,0.293,1.961,0.425,0.449,-0.2246,5.0492,All Seasons
Rebecca Leslie,72,TOR,F,23,243.1,2,2,3,1,10,10.497192083019176,0.24681201151789386,2.302534884963195,-0.1758012099219899,-0.08787776821841164,0.0,0.0,0.0,2.5908330932996733,0.06942343689254521,2.6602565301922185,6.743,0.281,7.024,8.678,1.191,9.869,1.719,0.236,1.955,0.483,0.449,-0.2246,5.0492,All Seasons
Emma Maltais,73,TOR,F,52,994.2666666666667,8,9,9,5,28,11.124948362079298,0.30172991819766665,0.7741856028893278,-0.19645556094178718,-0.10853211923820894,0.0,0.0,0.0,0.6713459518486904,0.08574037419818506,0.7570863260468754,-4.229,1.421,-2.808,3.685,5.142,8.827,0.73,1.018,1.748,0.105,0.449,-0.2246,5.0492,All Seasons
Jade Downie-Landry,35,NY,F,51,644.8,13,5,2,-8,49,8.567606812453327,-0.7444168734491315,0.6840867623229909,-0.38543529208095006,-0.2975118503773718,0.0,0.0,0.0,0.7972338845334983,0.23503436179812376,1.032268246331622,-1.389,2.526,1.137,3.742,4.939,8.681,0.741,0.978,1.719,0.16,0.449,-0.2246,5.0492,All Seasons
Maggie Connors,66,TOR,F,52,581.2833333333333,4,1,1,-9,12,8.701691172055442,-0.9289789832841128,0.8105532788988415,-0.3382646307791676,-0.25034118907558933,0.0,0.0,0.0,0.898187579763156,0.19776953936971559,1.0959571191328716,-0.275,1.916,1.641,4.352,4.092,8.444,0.862,0.81,1.672,0.173,0.449,-0.2246,5.0492,All Seasons
Catherine Dubois,157,MTL,F,43,421.15,8,4,2,-4,39,7.62469182159419,-0.5698682179745934,0.8033641627528536,-0.4931843376824627,-0.4052608959788845,0.0,0.0,0.0,1.0862673852443345,0.32015610782331877,1.4064234930676534,1.121,2.247,3.368,4.473,3.824,8.297,0.886,0.757,1.643,0.234,0.449,-0.2246,5.0492,All Seasons
Liz Schepers,97,MIN,F,44,504.8,2,7,1,-1,8,8.331847252721701,-0.11885895404120445,0.8837882299385286,-0.33739250694547185,-0.2494690652418936,0.0,0.0,0.0,0.990314649689584,0.19708056154109596,1.18739521123068,0.537,1.658,2.195,4.554,3.548,8.102,0.902,0.703,1.605,0.191,0.449,-0.2246,5.0492,All Seasons
Dominique Petrie,195,MIN,F,17,259.5333333333333,3,4,2,2,4,6.394764688481186,0.46236835345491917,0.964909605281262,-0.6396215403755752,-0.5516980986719969,0.0,0.0,0.0,1.4783684098723524,0.43584149795087757,1.91420990782323,2.387,1.885,4.272,4.453,2.857,7.31,0.882,0.566,1.448,0.335,0.449,-0.2246,5.0492,All Seasons
Mikyla Grant-Mentis,138,MTL,F,36,462.8,5,3,1,3,22,8.074941548515014,0.3889369057908384,1.0365302497152136,-0.22908146427028409,-0.14115802256670584,0.0,0.0,0.0,1.0468809267737702,0.11151483782769762,1.1583957646014678,0.928,0.86,1.788,4.612,2.592,7.204,0.913,0.513,1.426,0.185,0.449,-0.2246,5.0492,All Seasons
Mikyla Grant-Mentis,138,OTT,F,6,77.85,0,2,1,0,0,8.074941548515014,0.0,6.161929345770082,0.8302812332920464,0.9182046749956246,0.0,0.0,0.0,6.223461694423903,-0.7253816932465434,5.498080001177359,6.873,-0.941,5.932,7.492,-0.65,6.842,1.484,-0.129,1.355,1.044,0.449,-0.2246,5.0492,All Seasons
Shay Maloney,183,BOS,F,28,364.1666666666667,2,1,3,0,8,6.6352830390084065,0.0,0.9045986198191949,-0.39741675560620293,-0.3094933139026247,0.0,0.0,0.0,1.0932274114613394,0.24449971798307352,1.3377271294444129,1.012,1.484,2.496,3.91,2.847,6.757,0.774,0.564,1.338,0.22,0.449,-0.2246,5.0492,All Seasons
Claire Dalton,26,MTL,F,48,632.0666666666666,8,8,2,6,4,7.934057308148828,0.569560172977534,0.8249411937318083,-0.20995741618979258,-0.12203397448621434,0.0,0.0,0.0,0.7531538421404859,0.09640683984410933,0.8495606819845952,-1.826,1.016,-0.81,3.204,3.381,6.585,0.635,0.67,1.305,0.124,0.449,-0.2246,5.0492,All Seasons
Loren Gabel,8,BOS,F,17,226.6,4,1,2,-1,2,5.895359129677171,-0.264783759929391,1.066991042597616,-0.6024408913446315,-0.5145174496410533,0.0,0.0,0.0,1.5609953564899834,0.4064687852164321,1.9674641417064156,2.396,1.535,3.931,4.2,2.383,6.583,0.832,0.472,1.304,0.345,0.449,-0.2246,5.0492,All Seasons
Loren Gabel,8,BOS,F,19,168.71666666666667,1,0,1,-2,4,5.895359129677171,-0.7112516052553591,1.433054451759082,-0.6570318717665637,-0.5691084300629855,0.0,0.0,0.0,2.0965418222698626,0.44959565974975857,2.5461374820196214,3.29,1.264,4.554,4.633,1.896,6.529,0.918,0.376,1.294,0.46,0.449,-0.2246,5.0492,All Seasons
Hannah Bilka,181,BOS,F,16,327.8833333333333,5,2,4,-4,6,6.176565253477614,-0.7319676714278454,0.9895746157024194,-0.3415298527309183,-0.25360641102734005,0.0,0.0,0.0,1.1302615215025371,0.20034906471159866,1.3306105862141357,1.113,1.095,2.208,3.723,2.322,6.045,0.737,0.46,1.197,0.219,0.449,-0.2246,5.0492,All Seasons
Paetyn Levis,40,NY,F,50,694.7,5,3,4,-4,14,8.052057228350874,-0.34547286598531735,0.848882480119091,-0.14068520862070266,-0.05276176691712442,0.0,0.0,0.0,0.6954418219390419,0.0416817958645283,0.7371236178035702,-2.676,0.483,-2.193,2.853,3.083,5.936,0.565,0.611,1.176,0.102,0.449,-0.2246,5.0492,All Seasons
Brooke McQuigge,192,MIN,F,27,359.6666666666667,8,0,7,3,10,6.17649386115049,0.5004633920296571,0.9609116627600681,-0.2917310095713389,-0.20380756786776066,0.0,0.0,0.0,1.0303696895339094,0.16100797861553093,1.1913776681494403,0.622,0.965,1.587,3.485,2.311,5.796,0.69,0.458,1.148,0.192,0.449,-0.2246,5.0492,All Seasons
Lexie Adzija,49,BOS,F,28,286.3833333333333,2,3,1,-5,6,7.5560780058804795,-1.0475469941220974,1.8532148404084143,0.1664444918403034,0.25436793354388165,0.0,0.0,0.0,1.5830693604824377,-0.2009506674996665,1.3821186929827713,3.134,-0.959,2.175,5.413,0.113,5.526,1.072,0.022,1.094,0.229,0.449,-0.2246,5.0492,All Seasons
Sidney Morin,167,BOS,D,28,554.0666666666666,3,2,2,0,10,9.863130827721529,0.0,1.510212386963406,0.22794902832534736,0.3158724700289256,0.0,0.0,0.0,1.0680805853626971,-0.24953925132285124,0.8185413340398459,1.307,-2.304,-0.997,5.717,-0.231,5.486,1.132,-0.046,1.086,0.118,0.449,-0.2246,5.0492,All Seasons
Lexie Adzija,49,OTT,F,15,237.78333333333333,6,0,3,-2,4,7.5560780058804795,-0.5046611060489241,2.2319892481066645,0.2910730220432285,0.37899646374680673,0.0,0.0,0.0,1.9066293419197957,-0.2994072063599773,1.6072221355598184,3.884,-1.187,2.697,5.777,-0.297,5.48,1.144,-0.059,1.085,0.274,0.449,-0.2246,5.0492,All Seasons
Sidney Morin,167,BOS,D,23,428.0,1,0,3,-3,2,9.863130827721529,-0.4205607476635514,1.9550428579521604,0.4256703706931797,0.5135938123967579,0.0,0.0,0.0,1.3826818917366628,-0.4057391117934388,0.976942779943224,3.254,-2.894,0.36,6.66,-1.292,5.368,1.319,-0.256,1.063,0.149,0.449,-0.2246,5.0492,All Seasons
Lexie Adzija,49,BOS,F,6,79.98333333333333,1,2,0,2,2,7.5560780058804795,1.500312565117733,6.635505439203539,1.7399664516605453,1.8278898933641234,0.0,0.0,0.0,5.668239387616112,-1.4440330157576575,4.224206371858455,6.321,-1.925,4.396,6.958,-1.626,5.332,1.378,-0.322,1.056,0.792,0.449,-0.2246,5.0492,All Seasons
Sophie Shirley,18,BOS,F,26,261.9,0,0,4,1,29,6.452818297139493,0.22909507445589922,1.6031237417768185,-0.0013606515620916415,0.0865627901414866,0.0,0.0,0.0,1.4783088882335609,-0.06838460421177442,1.4099242840217865,2.409,-0.298,2.111,4.493,0.682,5.175,0.89,0.135,1.025,0.235,0.449,-0.2246,5.0492,All Seasons
Sophie Shirley,18,BOS,F,19,245.31666666666666,3,1,1,-4,4,6.452818297139493,-0.9783273320198382,1.7114944274937784,0.028515714227926647,0.11643915593150489,0.0,0.0,0.0,1.5782421271623193,-0.09198693318588887,1.4862551939764304,2.665,-0.376,2.289,4.617,0.542,5.159,0.914,0.107,1.021,0.25,0.449,-0.2246,5.0492,All Seasons
Taylor Girard,9,BOS,F,22,265.1666666666667,4,1,1,-7,4,5.935590337551385,-1.583909490886235,1.357508827478942,-0.14074395327948652,-0.05282051157590828,0.0,0.0,0.0,1.34306255280861,0.04172820414496754,1.3847907569535776,1.841,0.184,2.025,3.951,1.177,5.128,0.783,0.233,1.016,0.23,0.449,-0.2246,5.0492,All Seasons
Victoria Bach,125,TOR,F,22,302.46666666666664,3,2,1,1,4,5.952686238391566,0.19836896627727574,1.2129629504100783,-0.15786001722506304,-0.0699365755214848,0.0,0.0,0.0,1.1808282156827001,0.055249894661973,1.2360781103446732,1.282,0.279,1.561,3.689,1.411,5.1,0.731,0.279,1.01,0.2,0.449,-0.2246,5.0492,All Seasons
Victoria Bach,125,OTT,F,24,287.95,3,3,0,4,4,5.952686238391566,0.8334780343809689,1.2741130765782311,-0.14346884763118117,-0.05554540592760293,0.0,0.0,0.0,1.2403583063153116,0.04388087068280632,1.2842391769981178,1.506,0.211,1.717,3.798,1.288,5.086,0.752,0.255,1.007,0.21,0.449,-0.2246,5.0492,All Seasons
Danielle Serdachny,224,OTT,F,29,448.5833333333333,1,1,5,-7,16,6.516690787898626,-0.9362808842652796,1.0031950583990819,-0.12476755973271514,-0.036844118029136896,0.0,0.0,0.0,0.871636144768161,0.02910685324301815,0.9007429980111792,-0.41,0.218,-0.192,3.16,1.897,5.057,0.626,0.376,1.002,0.134,0.449,-0.2246,5.0492,All Seasons
Taylor Girard,9,NY,F,16,151.35,1,0,2,-1,10,5.935590337551385,-0.39643211100099107,2.378368620767533,0.08679667717741113,0.17472011888098937,0.0,0.0,0.0,2.353058607552581,-0.1380288939159816,2.2150297136365995,3.598,-0.348,3.25,4.803,0.218,5.021,0.951,0.043,0.994,0.394,0.449,-0.2246,5.0492,All Seasons
Renata Fast,67,TOR,D,52,1369.3166666666666,8,11,16,-1,48,10.18270112294019,-0.043817475869959474,0.7145213115713998,-0.07925950045395413,0.008663941249624107,0.0,0.0,0.0,0.4461802607454409,-0.006844513587203045,0.43933574715823787,-10.962,-0.156,-11.118,-0.064,4.969,4.905,-0.013,0.984,0.971,0.043,0.449,-0.2246,5.0492,All Seasons
Lina Ljungblom,201,MTL,F,29,380.1166666666667,3,2,1,-3,8,4.756995359657872,-0.4735388257990968,0.6858605128309039,-0.34724735418841135,-0.2593239124848331,0.0,0.0,0.0,0.7508739989813803,0.20486589086301815,0.9557398898443985,-1.113,1.298,0.185,1.912,2.721,4.633,0.379,0.539,0.918,0.145,0.449,-0.2246,5.0492,All Seasons
Jill Saulnier,149,NY,F,22,245.28333333333333,1,1,0,-6,10,5.806315079754999,-1.4676904260379153,1.6053370642013467,0.04640720878496962,0.13433065048854786,0.0,0.0,0.0,1.420312175519331,-0.10612121388595282,1.3141909616333782,2.019,-0.434,1.585,3.971,0.484,4.455,0.786,0.096,0.882,0.216,0.449,-0.2246,5.0492,All Seasons
Jill Saulnier,149,BOS,F,17,231.81666666666666,2,3,0,-1,8,5.806315079754999,-0.2588252210798763,1.69859411703582,0.0748564239657521,0.16277986566933034,0.0,0.0,0.0,1.5028207841770076,-0.12859609387877097,1.3742246902982367,2.227,-0.497,1.73,4.072,0.371,4.443,0.806,0.073,0.879,0.228,0.449,-0.2246,5.0492,All Seasons
Elizabeth Giguère,37,NY,F,50,572.95,5,1,2,-16,10,5.250923257685974,-1.6755388777380225,0.6273518617551861,-0.24788399539142814,-0.1599605536878499,0.0,0.0,0.0,0.5498828788919774,0.1263688374134014,0.6762517163053788,-3.597,1.207,-2.39,0.963,3.351,4.314,0.191,0.664,0.855,0.09,0.449,-0.2246,5.0492,All Seasons
Mannon McMahon,220,OTT,F,29,418.06666666666666,3,3,0,2,6,5.736257088357956,0.287035560516664,1.0204884928673097,-0.06947221341409926,0.018451228289478983,0.0,0.0,0.0,0.8232548843122565,-0.014576470348688397,0.8086784139635681,-0.72,-0.102,-0.822,2.608,1.463,4.071,0.517,0.29,0.807,0.116,0.449,-0.2246,5.0492,All Seasons
Kati Tabin,84,MTL,D,50,1015.4499999999999,4,5,4,9,37,8.765702232605728,0.5317839381554976,0.8346297175067732,-0.015516013470730616,0.07240742823284763,0.0,0.0,0.0,0.5179399615503901,-0.057201868303949625,0.4607380932464405,-6.915,-0.968,-7.883,1.167,2.833,4.0,0.231,0.561,0.792,0.047,0.449,-0.2246,5.0492,All Seasons
Amanda Pelkey,110,BOS,F,22,236.55,1,0,1,-5,8,5.055815400797362,-1.2682308180088777,1.434851171984798,-0.015743855869643664,0.07217958583393458,0.0,0.0,0.0,1.282388180291024,-0.05702187280880832,1.2253663074822156,1.403,-0.225,1.178,3.286,0.661,3.947,0.651,0.131,0.782,0.198,0.449,-0.2246,5.0492,All Seasons
Natalie Snodgrass,142,OTT,F,41,440.6166666666667,2,4,1,-5,12,5.257655467632609,-0.6808639406891857,0.8623507513777037,-0.14332513550367587,-0.05540169380009763,0.0,0.0,0.0,0.7159496040956762,0.04376733810207713,0.7597169421977533,-1.546,0.321,-1.225,1.96,1.971,3.931,0.388,0.39,0.778,0.106,0.449,-0.2246,5.0492,All Seasons
Amanda Pelkey,110,BOS,F,23,212.73333333333332,2,1,1,-4,8,5.055815400797362,-1.1281729865246004,1.5954906521451144,0.03212572117113166,0.1200491628747099,0.0,0.0,0.0,1.4259585900086575,-0.09483883867102083,1.3311197513376367,1.771,-0.336,1.435,3.464,0.46,3.924,0.686,0.091,0.777,0.219,0.449,-0.2246,5.0492,All Seasons
Brittany Howard,69,TOR,F,22,243.16666666666666,2,4,2,1,10,3.5531452136962742,0.24674434544208362,0.7061912127982725,-0.42576342278432466,-0.3378399810807464,0.0,0.0,0.0,0.8767184900141596,0.2668935850537897,1.1436120750679493,-0.202,1.082,0.88,1.733,1.992,3.725,0.343,0.395,0.738,0.182,0.449,-0.2246,5.0492,All Seasons
Kateřina Mrázová,88,OTT,F,34,567.5666666666667,7,9,4,-5,20,6.614648391184485,-0.5285722675750278,1.0084651934167446,0.015895354934498007,0.10381879663807625,0.0,0.0,0.0,0.6992639398679786,-0.08201684934408024,0.6172470905238984,-2.15,-0.776,-2.926,2.367,1.349,3.716,0.469,0.267,0.736,0.078,0.449,-0.2246,5.0492,All Seasons
Ella Shelton,44,NY,D,45,1144.9166666666667,14,15,6,-7,20,9.406179927613998,-0.3668389256860033,0.8363865003959424,0.005880465318019001,0.09380390702159724,0.0,0.0,0.0,0.49293613420788107,-0.07410508654706183,0.41883104766081924,-8.274,-1.414,-9.688,0.838,2.871,3.709,0.166,0.569,0.735,0.039,0.449,-0.2246,5.0492,All Seasons
Sophia Kunin,103,MIN,F,24,308.2166666666667,2,0,1,-1,6,3.621153491092742,-0.1946682528524306,0.6284806995076864,-0.3685346369519885,-0.2806111952484103,0.0,0.0,0.0,0.7049236234215038,0.22168284424624413,0.9266064676677479,-1.138,1.139,0.001,1.315,2.292,3.607,0.26,0.454,0.714,0.139,0.449,-0.2246,5.0492,All Seasons
Theresa Schafzahl,17,BOS,F,28,357.8833333333333,3,1,0,0,6,6.483147794048923,0.0,1.5376255442388918,0.24056813428757495,0.3284915759911532,0.0,0.0,0.0,1.0869152916954374,-0.259508345033011,0.8274069466624264,0.957,-1.548,-0.591,3.805,-0.208,3.597,0.754,-0.041,0.713,0.12,0.449,-0.2246,5.0492,All Seasons
Noora Tulus,231,NY,F,28,318.45,1,1,0,-12,6,3.4377102652929725,-2.260951483749411,0.5536437724164044,-0.39843055462474164,-0.3105071129211634,0.0,0.0,0.0,0.647708010417894,0.2453006192077191,0.8930086296256131,-1.48,1.302,-0.178,1.055,2.494,3.549,0.209,0.494,0.703,0.132,0.449,-0.2246,5.0492,All Seasons
Hannah Brandt,1,BOS,F,28,439.05,3,3,3,5,14,7.377524103686391,0.683293474547318,1.5307098654398439,0.2954785540057576,0.38340199570933586,0.0,0.0,0.0,1.0082028156728926,-0.30288757661037535,0.7053152390625173,0.598,-2.216,-1.618,4.092,-0.573,3.519,0.81,-0.113,0.697,0.095,0.449,-0.2246,5.0492,All Seasons
Theresa Schafzahl,17,BOS,F,20,269.1166666666667,3,3,0,5,0,6.483147794048923,1.1147581594104168,2.0448029548177193,0.4661451345756431,0.5540685762792213,0.0,0.0,0.0,1.4454283804159362,-0.43771417526058487,1.0077142051553514,2.327,-1.963,0.364,4.469,-0.956,3.513,0.885,-0.189,0.696,0.155,0.449,-0.2246,5.0492,All Seasons
Hannah Brandt,1,BOS,F,23,403.75,5,1,3,-6,4,7.377524103686391,-0.891640866873065,1.6645403502696308,0.36007202261791127,0.4479954643214895,0.0,0.0,0.0,1.0963503311979776,-0.35391641681397673,0.7424339143840009,1.143,-2.382,-1.239,4.356,-0.87,3.486,0.863,-0.172,0.691,0.103,0.449,-0.2246,5.0492,All Seasons
Alexandra Labelle,39,MTL,F,19,307.4,1,1,2,4,2,5.429660781492892,0.7807417046193885,1.4022451476966222,0.1264932618161807,0.21441670351975894,0.0,0.0,0.0,1.0597906535119503,-0.16938919578060957,0.8904014577313408,0.683,-0.868,-0.185,3.129,0.283,3.412,0.62,0.056,0.676,0.132,0.449,-0.2246,5.0492,All Seasons
Alexandra Labelle,39,NY,F,23,243.65,1,2,0,-2,4,5.429660781492892,-0.4925097475887544,1.769136705938607,0.2755826883537922,0.3635061300573704,0.0,0.0,0.0,1.3370804304928114,-0.28716984274532265,1.0499105877474888,1.667,-1.166,0.501,3.606,-0.254,3.352,0.714,-0.05,0.664,0.164,0.449,-0.2246,5.0492,All Seasons
Emma Woods,86,NY,F,23,358.3666666666667,2,0,2,-8,8,5.737894869568354,-1.3394102874151241,1.3840573497377793,0.18615804697375116,0.2740814886773294,0.0,0.0,0.0,0.9606744270507895,-0.21652437605509023,0.7441500509956993,0.204,-1.293,-1.089,3.056,0.048,3.104,0.605,0.01,0.615,0.103,0.449,-0.2246,5.0492,All Seasons
Emma Woods,86,TOR,F,29,334.6166666666667,3,0,1,2,14,5.737894869568354,0.358619315634806,1.4822932277761482,0.23083639461556538,0.3187598363191436,0.0,0.0,0.0,1.0288599656545336,-0.2518202706921235,0.7770396949624101,0.571,-1.404,-0.833,3.234,-0.152,3.082,0.64,-0.03,0.61,0.109,0.449,-0.2246,5.0492,All Seasons
Ronja Savolainen,223,OTT,D,27,455.9,2,7,1,10,18,6.3108222442775475,1.3160780872998463,1.264140851205593,0.16844732920583372,0.25637077090941196,0.0,0.0,0.0,0.830553486853812,-0.20253290901843546,0.6280205778353766,-0.729,-1.539,-2.268,2.899,0.167,3.066,0.574,0.033,0.607,0.08,0.449,-0.2246,5.0492,All Seasons
Gabby Rosenthal,227,NY,F,27,369.01666666666665,1,2,1,-1,8,4.558193596912785,-0.16259428210107946,0.9641882942224914,-0.06127085956746503,0.026652582136113212,0.0,0.0,0.0,0.7411362155677714,-0.021055539887529437,0.720080675680242,-1.14,-0.129,-1.269,1.797,1.252,3.049,0.356,0.248,0.604,0.098,0.449,-0.2246,5.0492,All Seasons
Izzy Daniel,209,TOR,F,29,394.35,2,5,0,-5,8,4.387337051936748,-0.7607455306200075,0.8696684261280874,-0.09797496835395669,-0.01005152665037845,0.0,0.0,0.0,0.6675294107168882,0.007940706053798976,0.6754701167706871,-1.702,0.052,-1.65,1.436,1.528,2.964,0.284,0.303,0.587,0.089,0.449,-0.2246,5.0492,All Seasons
Elle Hartje,206,NY,F,25,414.3,0,3,3,-7,4,4.382878250698058,-1.0137581462708183,0.8433153069851856,-0.09857290335671853,-0.01064946165314029,0.0,0.0,0.0,0.6347397901083356,0.00841307470598083,0.6431528648143164,-2.015,0.058,-1.957,1.283,1.609,2.892,0.254,0.319,0.573,0.083,0.449,-0.2246,5.0492,All Seasons
Jaime Bourbonnais,87,NY,D,51,1229.4166666666665,7,6,7,-17,26,8.630108593953452,-0.8296617637090762,0.7583939492828232,-0.01575048194172124,0.072172959761857,0.0,0.0,0.0,0.42118065394472215,-0.05701663821186703,0.3641640157328551,-10.355,-1.168,-11.523,-0.57,3.433,2.863,-0.113,0.68,0.567,0.028,0.449,-0.2246,5.0492,All Seasons
Anna Meixner,221,OTT,F,27,312.95,1,1,0,-5,6,4.27786581470053,-0.9586195877935774,1.0800548799481742,-0.0074821156585762605,0.08044132604500198,0.0,0.0,0.0,0.8201691927848916,-0.06354864757555156,0.7566205452093401,-0.555,-0.331,-0.886,1.936,0.84,2.776,0.383,0.166,0.549,0.105,0.449,-0.2246,5.0492,All Seasons
Katy Knoll,191,MIN,F,20,155.88333333333333,1,0,1,-2,6,3.4275139170470226,-0.7698064792045334,1.5030995065919355,0.023541908753214935,0.11146535045679318,0.0,0.0,0.0,1.3192612104532535,-0.08805762686086661,1.231203583592387,1.02,-0.229,0.791,2.261,0.355,2.616,0.448,0.07,0.518,0.199,0.449,-0.2246,5.0492,All Seasons
Mélodie Daoust,168,MTL,F,6,109.18333333333334,3,1,1,6,4,2.412789028582948,3.297206533353686,1.0135630819252752,-0.47121741532773465,-0.3832939736241564,0.0,0.0,0.0,1.3259106247746317,0.3028022391630836,1.6287128639377153,0.727,0.551,1.278,1.596,0.96,2.556,0.316,0.19,0.506,0.278,0.449,-0.2246,5.0492,All Seasons
Sarah Lefort,158,MTL,F,22,251.31666666666666,1,1,2,0,8,2.7047109614657634,0.0,0.6793590072547492,-0.27116148957575836,-0.18323804787218012,0.0,0.0,0.0,0.6457297872058325,0.1447580578190223,0.7904878450248548,-1.176,0.606,-0.57,0.824,1.547,2.371,0.163,0.306,0.469,0.112,0.449,-0.2246,5.0492,All Seasons
Megan Keller,12,BOS,D,28,665.1999999999999,4,7,1,-7,16,9.608472170355116,-0.6313890559230307,1.5826320417073538,0.4585708232189587,0.5464942649225369,0.0,0.0,0.0,0.8666691675004614,-0.4317304692888042,0.4349386982116572,-0.664,-4.786,-5.45,4.631,-2.297,2.334,0.917,-0.455,0.462,0.042,0.449,-0.2246,5.0492,All Seasons
Megan Keller,12,BOS,D,23,579.9666666666667,4,8,3,8,12,9.608472170355116,0.8276337720558653,1.8152195542451834,0.591115025364688,0.6790384670682662,0.0,0.0,0.0,0.9940370082556014,-0.5364403889839303,0.45759661927167106,0.653,-5.185,-4.532,5.268,-3.015,2.253,1.043,-0.597,0.446,0.046,0.449,-0.2246,5.0492,All Seasons
Brittyn Fleming,105,MIN,F,23,272.05,1,1,0,4,8,2.567403303551668,0.8821907737548245,0.6082210925319244,-0.2798587288765043,-0.19193528717292607,0.0,0.0,0.0,0.5662348767252345,0.1516288768666116,0.7178637535918462,-1.634,0.688,-0.946,0.532,1.706,2.238,0.105,0.338,0.443,0.098,0.449,-0.2246,5.0492,All Seasons
