name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,FA60,FA60_resid,d_adj_FA60,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Jessica Digirolamo,5,BOS,D,23,429.01666666666665,0,1,2,-7,8,5.300417979390414,-0.978982945495513,1.8539938033518732,0.8284151129701585,0.9163385546737367,0.0,0.0,0.0,0.7412884008315719,-0.723907458192252,0.017380942639319885,-1.324,-5.176,-6.5,2.09,-3.57,-1.48,0.414,-0.707,-0.293,-0.041,0.449,-0.2246,5.0492,All Seasons
Anna Wilgren,203,MTL,D,30,497.68333333333334,3,1,5,7,8,2.791788593691799,0.8439101168748534,0.9931589591579045,0.285470240519875,0.37339368222345326,0.0,0.0,0.0,0.3365740911989042,-0.29498100895652807,0.04159308224237612,-4.893,-2.447,-7.34,-0.933,-0.584,-1.517,-0.185,-0.116,-0.301,-0.036,0.449,-0.2246,5.0492,All Seasons
Jocelyne Larocque,71,TOR,D,28,765.3166666666666,0,5,6,8,6,7.466533801824613,0.6271913586968357,1.4357452579480479,0.5326368430874662,0.6205602847910444,0.0,0.0,0.0,0.5853681849902788,-0.4902426249849251,0.09512556000535366,-4.352,-6.253,-10.605,1.739,-3.389,-1.65,0.344,-0.671,-0.327,-0.026,0.449,-0.2246,5.0492,All Seasons
Natalie Buchbinder,90,MIN,D,41,782.9166666666666,2,2,4,5,2,4.000463080452389,0.38318254390633316,0.8636658054201312,0.17953527613762643,0.2674587178412047,0.0,0.0,0.0,0.30658152399422245,-0.2112923870945517,0.09528913689967075,-8.089,-2.757,-10.846,-1.858,0.173,-1.685,-0.368,0.034,-0.334,-0.026,0.449,-0.2246,5.0492,All Seasons
Lee Stecklein,24,MIN,D,52,1302.3999999999999,5,4,7,-2,22,6.47816561875381,-0.09213759213759215,0.7927315774170678,0.11499493745749012,0.20291837916106836,0.0,0.0,0.0,0.2984412907902554,-0.160305519537244,0.13813577125301138,-13.634,-3.48,-17.114,-3.268,1.395,-1.873,-0.647,0.276,-0.371,-0.017,0.449,-0.2246,5.0492,All Seasons
Jocelyne Larocque,71,OTT,D,24,519.2833333333333,0,1,4,-2,12,7.466533801824613,-0.23108771704592868,2.115992762451982,0.995039672383248,1.082963114086826,0.0,0.0,0.0,0.8627121252549542,-0.8555408601285927,0.00717126512636157,-0.552,-7.404,-7.956,3.581,-5.461,-1.88,0.709,-1.082,-0.373,-0.043,0.449,-0.2246,5.0492,All Seasons
Klara Hymlarova,190,MIN,F,24,295.28333333333336,0,0,1,0,2,1.0753818183202535,0.0,1.0147614868550734,0.3998068273795031,0.48773026908308137,0.0,0.0,0.0,0.21851185561623934,-0.3853069125756343,-0.16679505695939498,-3.484,-1.896,-5.38,-1.134,-0.791,-1.925,-0.225,-0.157,-0.382,-0.078,0.449,-0.2246,5.0492,All Seasons
Stephanie Markowski,219,OTT,D,26,325.5833333333333,1,1,4,1,10,2.0939859354087584,0.18428461735346816,1.3308295575898486,0.584405264876622,0.6723287065802003,0.0,0.0,0.0,0.3858893968503471,-0.5311396781983583,-0.14525028134801116,-2.934,-2.882,-5.816,-0.342,-1.664,-2.006,-0.068,-0.33,-0.398,-0.073,0.449,-0.2246,5.0492,All Seasons
Amanda Boulier,51,MTL,D,30,516.8,1,7,1,-2,4,3.589494800318745,-0.2321981424148607,1.2367434614476533,0.466089366603176,0.5540128083067543,0.0,0.0,0.0,0.41673701242090694,-0.4376701185623359,-0.02093310614142896,-4.391,-3.77,-8.161,-0.278,-1.835,-2.113,-0.055,-0.363,-0.418,-0.049,0.449,-0.2246,5.0492,All Seasons
Sydney Bard,180,BOS,D,25,427.59999999999997,1,0,2,-6,12,1.6037002011623926,-0.841908325537886,0.9264806815605678,0.30640772975144237,0.3943311714550206,0.0,0.0,0.0,0.2250280918375668,-0.3115216254494663,-0.08649353361189951,-4.999,-2.22,-7.219,-1.596,-0.62,-2.216,-0.316,-0.123,-0.439,-0.062,0.449,-0.2246,5.0492,All Seasons
Amanda Boulier,51,OTT,D,15,252.7,1,4,1,6,2,3.589494800318745,1.4246141669964385,2.5292798610057274,1.4165254301022006,1.5044488718057787,0.0,0.0,0.0,0.8522741908156893,-1.1885146087265652,-0.3362404179108759,-0.313,-5.006,-5.319,1.698,-4.06,-2.362,0.336,-0.804,-0.468,-0.111,0.449,-0.2246,5.0492,All Seasons
Kaleigh Fratkin,7,BOS,D,23,410.3333333333333,2,0,1,5,22,1.0542646398422761,0.7311129163281885,0.8251871181459649,0.2607808768283395,0.34870431853191775,0.0,0.0,0.0,0.15415729908335477,-0.275476411640215,-0.12131911255686026,-5.282,-1.884,-7.166,-2.016,-0.348,-2.364,-0.399,-0.069,-0.468,-0.068,0.449,-0.2246,5.0492,All Seasons
Brooke Hobson,38,NY,D,51,780.6666666666666,2,6,1,-13,22,2.9806622960237275,-0.9991460290350128,0.8173443000432032,0.19408405955208297,0.2820075012556612,0.0,0.0,0.0,0.22908591515126855,-0.22278592599197236,0.006299989159296193,-9.074,-2.899,-11.973,-2.861,0.023,-2.838,-0.567,0.005,-0.562,-0.043,0.449,-0.2246,5.0492,All Seasons
Allie Munroe,74,TOR,D,52,981.25,2,3,3,-1,18,3.295007343151199,-0.06114649681528662,0.7149450921006631,0.11336985152938772,0.20129329323296596,0.0,0.0,0.0,0.20147815601434083,-0.1590217016540431,0.04245645436029771,-11.858,-2.601,-14.459,-4.048,1.072,-2.976,-0.802,0.212,-0.59,-0.036,0.449,-0.2246,5.0492,All Seasons
Aneta Tejralová,62,OTT,D,50,1036.6166666666666,3,4,10,0,24,3.731068125512169,0.0,0.7362085749081447,0.1232610793243365,0.21118452102791474,0.0,0.0,0.0,0.21595648104962958,-0.16683577161205265,0.04912070943757693,-12.276,-2.882,-15.158,-4.026,0.998,-3.028,-0.797,0.198,-0.599,-0.035,0.449,-0.2246,5.0492,All Seasons
Mellissa Channell-Watkins,129,MIN,D,27,474.5333333333333,1,6,0,6,2,3.6988842173126932,0.7586400674346727,1.666366035716685,0.8556924069702253,0.9436158486738035,0.0,0.0,0.0,0.46768696200919135,-0.7454565204523048,-0.27776955844311346,-3.629,-5.896,-9.525,0.148,-4.12,-3.972,0.029,-0.816,-0.787,-0.1,0.449,-0.2246,5.0492,All Seasons
Mariah Keopple,99,MTL,D,51,937.4499999999999,3,3,1,4,26,2.960136053052438,0.25601365406154997,0.803499977211808,0.2113655418726902,0.29928898357626843,0.0,0.0,0.0,0.1894588118653222,-0.23643829702525207,-0.04697948515992986,-11.516,-3.694,-15.21,-4.055,-0.185,-4.24,-0.803,-0.037,-0.84,-0.054,0.449,-0.2246,5.0492,All Seasons
Emily Brown,2,BOS,D,27,491.66666666666663,1,2,0,4,12,3.1320099351968347,0.488135593220339,1.690581487773452,0.9470461565664366,1.034969598270015,0.0,0.0,0.0,0.3822113819223256,-0.8176259826333118,-0.43541460071098614,-4.46,-6.7,-11.16,-0.547,-4.86,-5.407,-0.108,-0.963,-1.071,-0.131,0.449,-0.2246,5.0492,All Seasons
Emily Brown,2,BOS,D,23,443.0833333333333,1,0,3,2,12,3.1320099351968347,0.27082941508369385,1.8759508703899503,1.0994975136441196,1.1874209553476978,0.0,0.0,0.0,0.4241202093928383,-0.9380625547246813,-0.513942345331843,-3.71,-6.927,-10.637,-0.184,-5.269,-5.453,-0.036,-1.044,-1.08,-0.146,0.449,-0.2246,5.0492,All Seasons
Mellissa Channell,129,MIN,D,24,393.7,0,1,1,1,0,0.3720805178626623,0.1524003048006096,2.0084994398833906,1.5206386758744013,1.6085621175779794,0.0,0.0,0.0,0.0567051843326384,-1.2707640728866039,-1.2140588885539654,-5.707,-8.338,-14.045,-2.574,-6.865,-9.439,-0.51,-1.36,-1.87,-0.285,0.449,-0.2246,5.0492,All Seasons
