name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,xGA60,xGA60_resid,d_adj_xGA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Laura Stacey,32,MTL,F,27,528.2166666666667,11,10,1,12,6,13.745176300028296,1.363077020162181,1.3045877447190584,-1.1100958276689197,-0.9621830679675396,0.5882352941176471,1.4766667718423625,-1.119884735815634,-0.044795389432625364,1.5613111627205334,0.05142291736412861,1.612734080084662,8.327,0.453,8.78,10.923,0.883,11.806,2.163,0.175,2.338,0.266,0.3206,-0.0489,5.049,2024-25
Kendall Coyne Schofield,20,MIN,F,28,506.8833333333333,10,5,6,12,4,12.243410923261324,1.4204452043534017,1.076145180527422,-1.0143625632458593,-0.8664498035444792,0.7058823529411765,1.183704336961168,-0.5660079559166502,-0.02264031823666601,1.4492578609062166,0.06400466211778191,1.5132625230239984,7.044,0.541,7.585,9.535,0.954,10.489,1.888,0.189,2.077,0.246,0.3206,-0.0489,5.049,2024-25
Tereza Vanišová,161,OTT,F,29,465.95,14,5,3,-2,36,12.433978392763162,-0.2575383624852452,1.7421266709724255,-0.904157433615056,-0.7562446739136759,0.4545454545454545,0.3863075437278678,-1.4396235691041586,-0.05758494276416634,1.601113217224573,0.01803952462720125,1.6191527418517742,7.655,0.14,7.795,9.944,0.52,10.464,1.969,0.103,2.072,0.267,0.3206,-0.0489,5.049,2024-25
Daryl Watts,63,TOR,F,29,524.6333333333333,12,8,7,-2,12,11.780350643455675,-0.22873117733019888,1.1185729241365707,-1.043463421613918,-0.895550661912538,0.5236565614794862,1.3723870639811933,-0.6492897508389045,-0.02597159003355618,1.3472667360200912,0.06358347615769763,1.4108502121777888,6.399,0.556,6.955,8.977,0.984,9.961,1.778,0.195,1.973,0.226,0.3206,-0.0489,5.049,2024-25
Marie-Philip Poulin,31,MTL,F,30,589.5,19,3,4,17,21,11.63627751819811,1.7302798982188297,1.2528635935149177,-0.5823080068921991,-0.434395247190819,0.5807050092764379,2.9516539440203564,0.3551024363623597,0.014204097454494389,1.1843539458725811,0.0576436221735763,1.2419975680461575,5.59,0.566,6.156,8.486,1.047,9.533,1.681,0.207,1.888,0.192,0.3206,-0.0489,5.049,2024-25
Emily Clark,53,OTT,F,29,565.9499999999999,8,6,3,1,10,11.453967682516856,0.1060164325470448,1.6234129310836036,-0.34477307911987287,-0.19686031941849277,0.5126735602673117,2.226345083487941,0.40041397065591455,0.016016558826236583,1.2143087922095794,0.035702590768085865,1.2500113829776653,5.649,0.337,5.986,8.43,0.798,9.228,1.67,0.158,1.828,0.194,0.3206,-0.0489,5.049,2024-25
Sarah Fillier,205,NY,F,28,568.3166666666666,12,10,7,9,35,9.79659089387318,0.9501744919205843,0.9984961664376947,-0.49767385397565655,-0.3497610942742765,0.6631578947368421,2.0059239273879,0.5683779692029677,0.022735118768118706,1.0342745305710856,0.05771122819554635,1.091985758766632,3.967,0.547,4.514,6.76,1.01,7.77,1.339,0.2,1.539,0.162,0.3206,-0.0489,5.049,2024-25
Hilary Knight,13,BOS,F,28,625.1833333333333,15,7,4,-1,12,10.267360799009085,-0.09597184825784438,1.161558522188378,-0.20682528296586145,-0.05891252326448135,0.7037037037037037,2.1113806616725763,0.5620825014215843,0.022483300056863373,0.9853775926110397,0.02837455238331151,1.0137521449943512,3.855,0.296,4.151,6.927,0.805,7.732,1.372,0.159,1.531,0.147,0.3206,-0.0489,5.049,2024-25
Jesse Compher,65,TOR,F,29,501.3666666666667,8,4,4,1,10,8.022514546057645,0.11967289408948872,1.0826822719485203,-0.619481782345729,-0.47156902264434897,0.4090909090909091,2.9918223522372185,0.9701455374171207,0.03880582149668483,0.9600775336017393,0.08596272376111973,1.046040257362859,2.88,0.718,3.598,5.344,1.127,6.471,1.058,0.223,1.281,0.153,0.3206,-0.0489,5.049,2024-25
Brianne Jenner,58,OTT,F,28,495.51666666666665,8,5,3,-1,8,9.134907969418714,-0.1210857354276681,1.6952013209315435,0.11976717178771845,0.2676799314890985,0.6891891891891891,0.3632572062830043,-1.4626739065490217,-0.05850695626196087,1.1061070495411314,-0.08527494941087072,1.0208321001302607,4.052,-0.704,3.348,6.487,-0.3,6.187,1.285,-0.059,1.226,0.148,0.3206,-0.0489,5.049,2024-25
Blayre Turnbull,76,TOR,F,29,548.0666666666666,5,5,1,0,16,8.436868340575982,0.0,1.0662665575037311,-0.6013158319300802,-0.45340307222870013,0.3914373088685015,1.532660260308965,-0.4890165545111328,-0.01956066218044531,0.923632344789975,0.025779645042424706,0.9494119898323997,2.815,0.235,3.05,5.508,0.682,6.19,1.091,0.135,1.226,0.134,0.3206,-0.0489,5.049,2024-25
Britta Curl-Salemme,189,MIN,F,26,433.93333333333334,10,2,2,3,22,7.330198486909498,0.4148102627131664,1.0237020027981216,-0.5588263520405798,-0.4109135923391998,0.5694444444444444,3.456752189276387,1.7070398963985687,0.06828159585594275,1.0135471866981944,0.10937295508986272,1.1229201417880572,2.879,0.791,3.67,5.012,1.145,6.157,0.993,0.227,1.22,0.169,0.3206,-0.0489,5.049,2024-25
Sarah Nurse,75,TOR,F,21,407.0833333333333,6,5,3,-10,8,7.340686988273096,-1.473899692937564,1.1308004875765796,-0.5328860289902992,-0.3849732692889192,0.5897435897435898,2.6530194472876154,0.6313426324675177,0.025253705298700708,1.0819436297966487,0.06375103222759262,1.1456946620242414,3.165,0.433,3.598,5.166,0.764,5.93,1.023,0.151,1.174,0.173,0.3206,-0.0489,5.049,2024-25
Hayley Scamurra,61,OTT,F,5,82.01666666666667,0,0,0,1,0,5.7433451342620625,0.7315586262954684,5.2503364313677165,-1.3720267672375739,-1.2241140075361938,0.5236565614794862,8.047144889250152,6.221213776418126,0.24884855105672504,4.201593676761517,0.37125995181034444,4.5728536285718615,4.902,0.507,5.409,5.305,0.574,5.879,1.051,0.114,1.165,0.852,0.3206,-0.0489,5.049,2024-25
Grace Zumwinkle,25,MIN,F,20,325.3666666666667,4,2,2,-6,0,6.749197956248837,-1.1064440118840282,1.2448014111260834,-0.9134949236401135,-0.7655821639387335,0.4,1.6596660178260423,-0.09004627505177593,-0.003601851002071037,1.2446016106185744,0.07295636539180231,1.3175579760103768,3.412,0.396,3.808,5.011,0.661,5.672,0.992,0.131,1.123,0.207,0.3206,-0.0489,5.049,2024-25
Taylor Heise,21,MIN,F,27,469.96666666666664,7,9,6,3,6,7.518509055096513,0.38300588694233634,1.1217372263947891,-0.36021252380196733,-0.21229976410058723,0.5826330532212886,1.6596921767501243,-0.09002011612769395,-0.003600804645107758,0.9598777430437424,0.017629171764950966,0.9775069148086933,2.698,0.138,2.836,5.007,0.521,5.528,0.992,0.103,1.095,0.14,0.3206,-0.0489,5.049,2024-25
Michela Cava,115,MIN,F,28,458.6166666666667,8,8,2,11,10,7.384323136279501,1.4391103681360613,1.0763631868882138,-0.5012813425314759,-0.35336858283009587,0.5147587522713617,1.3082821528509647,-0.4414301400268535,-0.01765720560107414,0.9660778170078934,0.017679652681935446,0.9837574696898289,2.68,0.135,2.815,4.934,0.509,5.443,0.977,0.101,1.078,0.141,0.3206,-0.0489,5.049,2024-25
Kelly Pannek,23,MIN,F,28,501.71666666666664,3,6,1,3,12,7.160456627871965,0.35876822908015815,1.0884689723703962,-0.41349647747971896,-0.2655837177783389,0.4391217564870259,2.2721987841743347,0.5224864912965166,0.020899459651860665,0.856314781262302,0.04745783142969456,0.9037726126919965,2.014,0.397,2.411,4.48,0.806,5.286,0.887,0.16,1.047,0.125,0.3206,-0.0489,5.049,2024-25
Abby Roque,42,NY,F,28,616.5,6,5,5,-8,6,8.236072085802805,-0.7785888077858881,1.0280064778578795,-0.21394200475258263,-0.06602924505120253,0.5768025078369906,0.875912408759124,-0.5616335494258083,-0.022465341977032333,0.8015641932654798,-0.01586241747191208,0.7857017757935677,1.913,-0.163,1.75,4.942,0.339,5.281,0.979,0.067,1.046,0.102,0.3206,-0.0489,5.049,2024-25
Sophie Jaques,11,MIN,D,24,538.5,8,10,6,12,10,6.821369844181311,1.3370473537604457,1.0989478894801503,-1.119540602967874,-0.971627843266494,0.5147587522713617,3.0083565459610027,-0.5021311532161312,-0.02008524612864525,0.7600412082653272,0.07707753819800416,0.8371187464633313,1.298,0.692,1.99,3.944,1.131,5.075,0.781,0.224,1.005,0.112,0.3206,-0.0489,5.049,2024-25
