name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,xGA60,xGA60_resid,d_adj_xGA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win
Alina Müller,15,BOS,F,2,43.349999999999994,0,0,0,1,0,2.70475538602455,1.3840830449826993,3.7149432834882217,0.24809276460319518,0.3662338668656782,0.5225225225225225,0.0,0.0,0.0,3.743606070622215,-0.036623386686567824,3.7069826839356472,2.289,-0.026,2.263,2.515,-0.003,2.512,0.558,-0.001,0.557,0.771,0.262,-0.0326,4.508
Maureen Murphy,98,MTL,F,15,238.48333333333332,3,0,1,1,0,3.2849319387529032,0.25158990844922774,0.4848058703164935,-0.43593298744104275,-0.3177918851785597,0.5111888264445568,0.0,0.0,0.0,0.8264557257327872,0.03177918851785597,0.8582349142506432,0.999,0.126,1.125,2.244,0.256,2.5,0.498,0.057,0.555,0.14,0.262,-0.0326,4.508
Jenn Gardiner,198,VAN,F,2,32.75,0,0,0,-2,0,2.653218042311261,-3.66412213740458,5.999673803461138,1.5509590394625201,1.669100141725003,0.5241173680431338,0.0,0.0,0.0,4.860857482096967,-0.16691001417250032,4.693947467924467,2.339,-0.091,2.248,2.51,-0.073,2.437,0.557,-0.016,0.541,0.991,0.262,-0.0326,4.508
Brianne Jenner,58,OTT,F,15,285.68333333333334,8,6,1,5,6,3.5143483488709597,1.0501137623242518,0.8596160337840083,-0.05422697303062962,0.06391412923185341,0.4821428571428571,0.0,0.0,0.0,0.7380931133501811,-0.0063914129231853415,0.7317017004269958,0.776,-0.03,0.746,2.267,0.125,2.392,0.503,0.028,0.531,0.112,0.262,-0.0326,4.508
Rebecca Leslie,72,OTT,F,10,177.83333333333331,3,2,2,0,0,3.1344441794697624,0.0,1.3352949738098034,0.20569563052325024,0.3238367327857333,0.5091584771817329,0.0,0.0,0.0,1.0575444279373145,-0.032383673278573326,1.0251607546587411,1.43,-0.096,1.334,2.358,0.001,2.359,0.523,0.0,0.523,0.176,0.262,-0.0326,4.508
Britta Curl-Salemme,189,MIN,F,3,51.5,2,0,0,-1,2,2.555783112648818,-1.1650485436893203,2.7990009000798572,0.06410661878377999,0.18224772104626302,0.5454545454545454,0.0,0.0,0.0,2.977611393377264,-0.018224772104626304,2.9593866212726376,2.062,-0.016,2.046,2.331,0.012,2.343,0.517,0.003,0.52,0.606,0.262,-0.0326,4.508
Shiann Darkangelo,4,MTL,F,15,224.63333333333333,3,1,0,1,2,3.054936018992889,0.26710194390859177,0.47186371942543387,-0.4211315197568269,-0.30299041749434386,0.51875,0.0,0.0,0.0,0.8159793491893754,0.03029904174943439,0.8462783909388099,0.901,0.113,1.014,2.074,0.235,2.309,0.46,0.052,0.512,0.137,0.262,-0.0326,4.508
Dominique Petrie,195,MIN,F,10,145.95,2,0,1,-3,8,2.673968313718147,-1.2332990750256938,0.6845706026005257,-0.7266801639534289,-0.6085390616909458,0.4090909090909091,0.0,0.0,0.0,1.0992675493188682,0.060853906169094585,1.1601214554879626,1.275,0.148,1.423,2.037,0.227,2.264,0.452,0.05,0.502,0.206,0.262,-0.0326,4.508
Abby Hustler,247,MIN,F,3,52.93333333333332,0,1,0,2,2,2.4036195802762834,2.2670025188916885,2.554782041537369,-0.008792646431644346,0.10934845583083869,0.5242021329662908,0.0,0.0,0.0,2.7245058214718583,-0.01093484558308387,2.7135709758887745,1.896,-0.01,1.886,2.172,0.019,2.191,0.482,0.004,0.486,0.551,0.262,-0.0326,4.508
Taylor Girard,9,NY,F,6,87.61666666666667,1,1,0,1,0,2.3784559523873834,0.6848012174243865,1.4571643373790044,-0.2093097345207271,-0.09116863225824406,0.49572222805211874,0.0,0.0,0.0,1.6287695317851587,0.009116863225824407,1.6378863950109832,1.538,0.013,1.551,1.996,0.061,2.057,0.443,0.014,0.457,0.313,0.262,-0.0326,4.508
Maddi Wheeler,285,NY,F,5,68.95,0,2,1,5,4,2.3408394139332707,4.350978970268311,2.1241437915757415,0.10795892910210414,0.22610003136458717,0.5,0.0,0.0,0.0,2.0369886125597714,-0.02261000313645872,2.0143786094233125,1.68,-0.026,1.654,2.04,0.011,2.051,0.453,0.002,0.455,0.396,0.262,-0.0326,4.508
Taylor Girard,9,NY,F,7,91.83333333333334,4,0,0,2,30,2.3784559523873834,1.306715063520871,1.3902564286027996,-0.21023166493793566,-0.09209056267545263,0.49572222805211874,0.0,0.0,0.0,1.5539821104527367,0.009209056267545262,1.563191166720282,1.498,0.014,1.512,1.977,0.064,2.041,0.439,0.014,0.453,0.296,0.262,-0.0326,4.508
Kristin O'Neill,30,NY,F,16,282.0,4,1,0,-4,8,2.9875927099739483,-0.851063829787234,0.6177928256730434,-0.3449118803264859,-0.22677077806400286,0.4252336448598131,0.0,0.0,0.0,0.6356580233987124,0.022677077806400287,0.6583351012051126,0.284,0.107,0.391,1.756,0.26,2.016,0.39,0.058,0.448,0.095,0.262,-0.0326,4.508
Anne Cherkowski,249,NY,F,14,258.93333333333334,2,3,1,-5,2,2.971886611049561,-1.1585993820803295,0.691019683918475,-0.14596965882245994,-0.027828556559976902,0.49572222805211874,0.0,0.0,0.0,0.6886451982349653,0.0027828556559976905,0.691428053890963,0.49,0.012,0.502,1.841,0.153,1.994,0.408,0.034,0.442,0.102,0.262,-0.0326,4.508
Sophie Jaques,11,VAN,D,16,365.2833333333333,4,2,1,-3,0,3.0637546928341433,-0.4927681708262993,0.6721237076427041,-0.5598752044948866,-0.44173410223240356,0.49572222805211874,0.0,0.0,0.0,0.5032402652827903,0.04417341022324036,0.5474136755060307,-0.438,0.269,-0.169,1.469,0.467,1.936,0.326,0.104,0.43,0.071,0.262,-0.0326,4.508
Taylor Heise,21,MIN,F,15,255.85,3,7,6,11,6,2.7582720952950806,2.5796365057650967,0.546318064714484,-0.40524347970103103,-0.287102377438548,0.4338235294117647,0.0,0.0,0.0,0.6468490354414885,0.0287102377438548,0.6755592731853434,0.305,0.122,0.427,1.641,0.261,1.902,0.364,0.058,0.422,0.099,0.262,-0.0326,4.508
Sarah Wozniewicz,241,OTT,F,7,97.55,1,1,1,2,2,2.3673989034653835,1.2301383905689391,2.044895344873444,0.5636324219993754,0.6817735242618583,0.5091584771817329,0.0,0.0,0.0,1.4561141384717888,-0.06817735242618583,1.387936786045603,1.432,-0.111,1.321,1.941,-0.058,1.883,0.431,-0.013,0.418,0.257,0.262,-0.0326,4.508
Hannah Bilka,181,SEA,F,14,251.2,4,3,2,-6,2,2.751433082768204,-1.4331210191082804,0.6489099223935771,-0.275064259428789,-0.15692315716630595,0.4488275570097946,0.0,0.0,0.0,0.657189430597501,0.015692315716630597,0.6728817463141316,0.343,0.066,0.409,1.655,0.202,1.857,0.367,0.045,0.412,0.098,0.262,-0.0326,4.508
Alex Carpenter,34,SEA,F,14,284.93333333333334,5,1,3,-3,2,3.0196889939544467,-0.6317267197005147,0.6932801646823018,0.12385202009752616,0.2419931223600092,0.586046511627907,0.0,0.0,0.0,0.6358727408888634,-0.02419931223600092,0.6116734286528624,0.288,-0.115,0.173,1.775,0.04,1.815,0.394,0.009,0.403,0.085,0.262,-0.0326,4.508
Alina Müller,15,BOS,F,12,242.85,2,5,2,4,0,2.70475538602455,0.9882643607164916,0.6631368801285336,-0.0902872999684241,0.027853802294058927,0.5225225225225225,0.0,0.0,0.0,0.66825333811601,-0.0027853802294058928,0.6654679578866041,0.377,-0.011,0.366,1.644,0.121,1.765,0.365,0.027,0.392,0.097,0.262,-0.0326,4.508
Britta Curl-Salemme,189,MIN,F,12,215.33333333333334,5,5,4,13,6,2.555783112648818,3.6222910216718263,0.6694204939045477,-0.0666149576574947,0.05152614460498833,0.5454545454545454,0.0,0.0,0.0,0.7121377094067914,-0.005152614460498833,0.7069850949462926,0.491,-0.018,0.473,1.615,0.098,1.713,0.358,0.022,0.38,0.106,0.262,-0.0326,4.508
Natálie Mlýnková,274,MTL,F,4,43.8,0,0,0,0,0,1.8712417593404949,0.0,2.3594821187137587,-0.09373810859745069,0.024402993665032346,0.5111888264445568,0.0,0.0,0.0,2.5633448758088972,-0.002440299366503235,2.560904576442394,1.451,-0.002,1.449,1.68,0.022,1.702,0.373,0.005,0.378,0.518,0.262,-0.0326,4.508
Maddi Wheeler,285,NY,F,11,165.46666666666667,1,3,1,2,10,2.3408394139332707,0.7252215954875101,0.8851312314412613,-0.08271039163387484,0.0354307106286082,0.5,0.0,0.0,0.0,0.8488136472763672,-0.00354307106286082,0.8452705762135064,0.755,-0.01,0.745,1.618,0.08,1.698,0.359,0.018,0.377,0.137,0.262,-0.0326,4.508
Hilary Knight,13,SEA,F,14,285.1,3,6,1,-2,4,2.7311971842447145,-0.42090494563311115,0.6532783231827849,-0.19799122956420168,-0.07985012730171864,0.4488275570097946,0.0,0.0,0.0,0.5747872011739139,0.007985012730171865,0.5827722139040857,-0.002,0.038,0.036,1.486,0.193,1.679,0.33,0.043,0.373,0.078,0.262,-0.0326,4.508
Abby Hustler,247,MIN,F,12,193.53333333333333,2,3,2,7,0,2.4036195802762834,2.1701687909059593,0.6987588498038825,-0.11842925838224172,-0.0002881561197586868,0.5242021329662908,0.0,0.0,0.0,0.7451800283322959,2.8815611975868684e-05,0.7452088439442718,0.548,0.0,0.548,1.559,0.105,1.664,0.346,0.023,0.369,0.114,0.262,-0.0326,4.508
Sarah Wozniewicz,241,OTT,F,9,157.98333333333332,2,1,1,3,2,2.3673989034653835,1.1393606920561241,1.262661932012266,0.27285405284485253,0.39099515510733557,0.5091584771817329,0.0,0.0,0.0,0.8991070843417429,-0.03909951551073356,0.8600075688310094,0.853,-0.103,0.75,1.678,-0.017,1.661,0.372,-0.004,0.368,0.14,0.262,-0.0326,4.508
Jill Saulnier,149,BOS,F,12,149.41666666666666,1,3,0,1,8,2.138863563430734,0.4015616285554936,0.6381568773318985,-0.36534651219530645,-0.24720540993282342,0.4890567507619902,0.0,0.0,0.0,0.8588855357892518,0.024720540993282344,0.8836060767825341,0.706,0.062,0.768,1.486,0.143,1.629,0.33,0.032,0.362,0.145,0.262,-0.0326,4.508
Maggie Connors,66,TOR,F,14,187.23333333333335,1,0,1,-3,2,2.2985160952755113,-0.9613672779063556,0.6675237565843374,-0.24363198918672047,-0.12549088692423743,0.4826928958693229,0.0,0.0,0.0,0.7365727205796546,0.012549088692423743,0.7491218092720784,0.504,0.039,0.543,1.481,0.141,1.622,0.329,0.031,0.36,0.115,0.262,-0.0326,4.508
Jenn Gardiner,198,VAN,F,14,251.61666666666667,3,2,3,-3,0,2.653218042311261,-0.71537391534742,0.7809074003975053,0.06277135314691118,0.1809124554093942,0.5241173680431338,0.0,0.0,0.0,0.6326809930662078,-0.01809124554093942,0.6145897475252684,0.241,-0.076,0.165,1.554,0.061,1.615,0.345,0.014,0.359,0.086,0.262,-0.0326,4.508
Casey O'Brien,280,NY,F,16,317.7833333333333,4,4,3,-3,0,2.8511326856088766,-0.5664236639219595,0.622975629705376,-0.06532377000016598,0.05281733226231705,0.502283105022831,0.0,0.0,0.0,0.538316340703412,-0.0052817332262317055,0.5330346074771803,-0.195,-0.028,-0.223,1.463,0.144,1.607,0.325,0.032,0.357,0.067,0.262,-0.0326,4.508
Michela Cava,115,OTT,F,3,40.53333333333333,0,1,0,1,0,1.648547193628,1.480263157894737,0.4697612084525501,-1.431731065369802,-1.3135899631073191,0.6923076923076923,0.0,0.0,0.0,2.4402836747782897,0.13135899631073192,2.5716426710890214,1.26,0.089,1.349,1.472,0.111,1.583,0.327,0.025,0.352,0.521,0.262,-0.0326,4.508
Emma Maltais,73,TOR,F,5,91.03333333333333,1,0,2,-2,2,2.002464573983044,-1.3181984621017944,2.0027217780701503,0.8245649612539563,0.9427060635164393,0.5838926174496645,0.0,0.0,0.0,1.3198228609188865,-0.09427060635164393,1.2255522545672426,1.13,-0.143,0.987,1.605,-0.094,1.511,0.356,-0.021,0.335,0.221,0.262,-0.0326,4.508
Mannon McMahon,220,VAN,F,3,26.68333333333333,0,0,0,0,0,1.4916411591026832,0.0,0.09496828324162035,-2.821169072255957,-2.703027969993474,0.6071428571428571,0.0,0.0,0.0,3.354096297794916,0.2703027969993474,3.6243990947942635,1.236,0.12,1.356,1.375,0.135,1.51,0.305,0.03,0.335,0.753,0.262,-0.0326,4.508
Hayley Scamurra,61,MTL,F,3,45.583333333333336,0,1,1,0,10,1.623626378225687,0.0,2.157940013174514,-0.31100932099385403,-0.192868218731371,0.351063829787234,0.0,0.0,0.0,2.137131613021014,0.0192868218731371,2.1564184348941513,1.187,0.015,1.202,1.425,0.039,1.464,0.316,0.009,0.325,0.428,0.262,-0.0326,4.508
Paetyn Levis,40,NY,F,4,65.48333333333333,0,2,0,2,4,1.8135177250163241,1.8325273606515653,2.547131126528516,0.7796551893900634,0.8977962916525464,0.4663026716254589,0.0,0.0,0.0,1.6616604250594977,-0.08977962916525464,1.5718807958942431,1.186,-0.098,1.088,1.528,-0.062,1.466,0.339,-0.014,0.325,0.298,0.262,-0.0326,4.508
Shay Maloney,183,BOS,F,5,78.73333333333333,1,0,0,-1,0,1.6970007305591368,-0.7620660457239627,1.5484983058869177,0.12737663972537838,0.24551774198786142,0.475,0.0,0.0,0.0,1.2932266363278773,-0.024551774198786142,1.268674862129091,0.942,-0.032,0.91,1.353,0.011,1.364,0.3,0.002,0.302,0.23,0.262,-0.0326,4.508
Savannah Harmon,56,TOR,D,2,51.55,0,0,0,-1,2,1.7263949392605846,-1.1639185257032008,4.428461495148407,1.8675719274529312,1.9857130297154142,0.49572222805211874,0.0,0.0,0.0,2.0093830524856466,-0.19857130297154144,1.8108117495141052,1.232,-0.171,1.061,1.501,-0.143,1.358,0.333,-0.032,0.301,0.35,0.262,-0.0326,4.508
Blayre Turnbull,76,TOR,F,16,288.7,4,4,0,-3,6,2.3953174447988657,-0.6234845860755109,0.6027609484019572,-0.22113563476518405,-0.10299453250270102,0.432258064516129,0.0,0.0,0.0,0.49781450186329046,0.010299453250270103,0.5081139551135606,-0.372,0.05,-0.322,1.135,0.206,1.341,0.252,0.046,0.298,0.062,0.262,-0.0326,4.508
Olivia Mobley,256,BOS,F,10,126.2,3,1,1,0,4,1.7543193362528047,0.0,0.5167195643047807,-0.4648854213684248,-0.3467443191059418,0.4890567507619902,0.0,0.0,0.0,0.8340662454450735,0.03467443191059418,0.8687406773556676,0.544,0.073,0.617,1.203,0.141,1.344,0.267,0.031,0.298,0.142,0.262,-0.0326,4.508
Kelly Pannek,23,MIN,F,15,256.8666666666667,8,5,2,10,2,2.2908558541636928,2.3358422008824293,0.5596469002776044,-0.16277604731773743,-0.044634945055254394,0.4871794871794871,0.0,0.0,0.0,0.5351077780294117,0.004463494505525439,0.5395712725349371,-0.172,0.019,-0.153,1.169,0.159,1.328,0.259,0.035,0.294,0.069,0.262,-0.0326,4.508
Kati Tabin,84,MTL,D,3,66.78333333333333,0,0,1,0,0,1.6130193526607004,0.0,2.2187514877985017,0.15213564630180532,0.27027674856428835,0.49572222805211874,0.0,0.0,0.0,1.4491813500320743,-0.027027674856428836,1.4221536751756454,0.973,-0.03,0.943,1.321,0.006,1.327,0.293,0.001,0.294,0.264,0.262,-0.0326,4.508
Denisa Křížová,104,MIN,F,15,204.35,0,2,0,-4,0,2.087409128867085,-1.1744555908979692,0.559899556802556,-0.1405692821183846,-0.022428179855901564,0.5242021329662908,0.0,0.0,0.0,0.6128923304723519,0.0022428179855901566,0.615135148457942,0.128,0.008,0.136,1.195,0.119,1.314,0.265,0.026,0.291,0.085,0.262,-0.0326,4.508
Natálie Mlýnková,274,MTL,F,11,164.21666666666667,4,1,1,2,0,1.8712417593404949,0.7307419060184716,0.6293229481355684,-0.16545824696226352,-0.04731714469978049,0.5111888264445568,0.0,0.0,0.0,0.6836973849209156,0.004731714469978049,0.6884290993908936,0.297,0.013,0.31,1.154,0.102,1.256,0.256,0.023,0.279,0.102,0.262,-0.0326,4.508
Kendall Cooper,236,MIN,D,3,65.19999999999999,0,0,0,1,0,1.589953675066776,0.9202453987730064,2.860129234717612,0.7811908181224547,0.8993319203849377,0.49572222805211874,0.0,0.0,0.0,1.463147553742432,-0.08993319203849377,1.3732143617039383,0.965,-0.098,0.867,1.305,-0.062,1.243,0.289,-0.014,0.275,0.253,0.262,-0.0326,4.508
Lexie Adzija,49,SEA,F,3,41.15,0,0,0,-2,2,1.4367256238863473,-2.9161603888213854,3.738361805358305,1.1468154329353437,1.2649565351978267,0.2857142857142857,0.0,0.0,0.0,2.094861176991029,-0.12649565351978267,1.968365523471246,1.042,-0.087,0.955,1.257,-0.064,1.193,0.279,-0.014,0.265,0.386,0.262,-0.0326,4.508
Tereza Vanišová,161,VAN,F,5,93.36666666666666,1,2,2,6,4,1.6913173075722272,3.8557657979293114,1.923829857947814,0.8049413457163108,0.9230824479787938,0.5241173680431338,0.0,0.0,0.0,1.086887237997147,-0.09230824479787939,0.9945789931992677,0.796,-0.144,0.652,1.284,-0.093,1.191,0.285,-0.021,0.264,0.17,0.262,-0.0326,4.508
Sara Hjalmarsson,313,TOR,F,3,26.5,0,0,0,-1,2,1.3289736447314544,-2.2641509433962264,3.9120257402189713,0.8272992819342506,0.9454403841967336,0.4137931034482758,0.0,0.0,0.0,3.008996931467444,-0.09454403841967336,2.9144528930477707,1.075,-0.042,1.033,1.213,-0.027,1.186,0.269,-0.006,0.263,0.595,0.262,-0.0326,4.508
Emma Gentry,244,TOR,F,3,36.3,0,0,0,0,0,1.3532604890800313,0.0,3.0516965248947248,0.8995511757729466,1.0176922780354296,0.5164835164835165,0.0,0.0,0.0,2.2367941968264984,-0.10176922780354297,2.1350249690229552,1.005,-0.062,0.943,1.195,-0.042,1.153,0.265,-0.009,0.256,0.423,0.262,-0.0326,4.508
Shay Maloney,183,BOS,F,9,140.78333333333333,1,0,1,3,2,1.6970007305591368,1.27856043565763,0.8660004731869065,-0.0522134938464337,0.06592760841604933,0.475,0.0,0.0,0.0,0.723239331125002,-0.006592760841604934,0.7166465702833971,0.347,-0.015,0.332,1.082,0.061,1.143,0.24,0.014,0.254,0.108,0.262,-0.0326,4.508
Ronja Savolainen,223,OTT,D,15,331.81666666666666,3,1,1,-2,2,2.3093112391216506,-0.36164548696569393,0.8839022133304966,-0.2725139248246897,-0.1543728225622067,0.49572222805211874,0.0,0.0,0.0,0.41757599381374966,0.01543728225622067,0.4330132760699703,-0.872,0.085,-0.787,0.86,0.265,1.125,0.191,0.059,0.25,0.045,0.262,-0.0326,4.508
Haley Winn,246,BOS,D,14,391.8833333333333,1,4,3,-1,2,2.3294057551377643,-0.15310679198741123,0.5659772873183845,-0.5366810984152436,-0.41853999615276055,0.49572222805211874,0.0,0.0,0.0,0.3566478424061562,0.041853999615276055,0.39850184202143224,-1.428,0.273,-1.155,0.618,0.486,1.104,0.137,0.108,0.245,0.038,0.262,-0.0326,4.508
Abby Roque,42,MTL,F,14,285.0333333333333,5,4,3,2,27,2.4097051718454416,0.4210033914162087,0.48474001654113896,0.34839265537817654,0.4665337576406596,0.7166666666666667,0.0,0.0,0.0,0.5072470248300545,-0.04665337576406596,0.4605936490659885,-0.323,-0.222,-0.545,1.165,-0.067,1.098,0.258,-0.015,0.243,0.051,0.262,-0.0326,4.508
Hayley Scamurra,61,MTL,F,12,172.1,1,3,0,1,4,1.623626378225687,0.3486345148169669,0.5715636196041348,-0.5112005693071134,-0.3930594670446304,0.351063829787234,0.0,0.0,0.0,0.5660521946167416,0.039305946704463045,0.6053581413212047,-0.026,0.113,0.087,0.872,0.206,1.078,0.193,0.046,0.239,0.083,0.262,-0.0326,4.508
Anna Shokhina,239,VAN,F,3,26.099999999999998,0,0,0,0,0,1.0648210734697046,0.0,0.11665525815499588,-2.2396427862660673,-2.1215016840035843,0.5091584771817329,0.0,0.0,0.0,2.4478645367119647,0.21215016840035844,2.660014705112323,0.815,0.092,0.907,0.951,0.106,1.057,0.211,0.024,0.235,0.54,0.262,-0.0326,4.508
Elle Hartje,206,NY,F,3,36.63333333333334,0,1,0,0,0,1.2383903280260027,0.0,3.2410593898747826,0.9349643652728736,1.0531054675353566,0.3783783783783784,0.0,0.0,0.0,2.028300810233671,-0.10531054675353567,1.9229902634801355,0.887,-0.064,0.823,1.078,-0.044,1.034,0.239,-0.01,0.229,0.375,0.262,-0.0326,4.508
Emma Maltais,73,TOR,F,11,213.58333333333331,1,3,1,1,8,2.002464573983044,0.2809207959422552,0.85359862284972,0.3436083148798412,0.46174941714232426,0.5838926174496645,0.0,0.0,0.0,0.5625339419694857,-0.04617494171423243,0.5163590002552533,-0.045,-0.164,-0.209,1.07,-0.048,1.022,0.237,-0.011,0.226,0.063,0.262,-0.0326,4.508
Peyton Hemp,286,OTT,F,16,205.11666666666667,0,4,0,1,23,1.8435061322957762,0.29251645405054033,0.8503176605542466,0.04438805138756374,0.16252915365004678,0.4545454545454545,0.0,0.0,0.0,0.5392558768395868,-0.01625291536500468,0.523002961474582,-0.123,-0.056,-0.179,0.948,0.056,1.004,0.21,0.012,0.222,0.065,0.262,-0.0326,4.508
Mannon McMahon,220,OTT,F,11,155.51666666666665,1,0,0,-2,6,1.4916411591026832,-0.7716214767977709,0.01629452593182233,-0.44824102138585387,-0.33009991912337083,0.6071428571428571,0.0,0.0,0.0,0.5754911770195756,0.03300999191233708,0.6085011689319128,0.001,0.086,0.087,0.813,0.17,0.983,0.18,0.038,0.218,0.084,0.262,-0.0326,4.508
Jessie Eldridge,36,SEA,F,14,234.6833333333333,5,2,3,-1,4,1.8849183502179478,-0.25566366025140264,0.6802282226309747,-0.08909018673525593,0.029050915527227106,0.4488275570097946,0.0,0.0,0.0,0.48190512469175584,-0.0029050915527227108,0.4790000331390331,-0.365,-0.011,-0.376,0.86,0.116,0.976,0.191,0.026,0.217,0.055,0.262,-0.0326,4.508
Susanna Tapani,78,BOS,F,14,271.0,4,1,3,3,6,2.227546694134542,0.6642066420664207,0.5466412231339797,0.36541150840267567,0.4835526106651587,0.6932515337423313,0.0,0.0,0.0,0.4931837699190868,-0.04835526106651587,0.4448285088525709,-0.371,-0.218,-0.589,1.044,-0.071,0.973,0.232,-0.016,0.216,0.048,0.262,-0.0326,4.508
Paetyn Levis,40,NY,F,12,206.08333333333334,3,0,1,3,4,1.8135177250163241,0.8734330772341286,0.8093552928532582,0.04212767020410546,0.1602687724665885,0.4663026716254589,0.0,0.0,0.0,0.527995455726548,-0.01602687724665885,0.5119685784798892,-0.162,-0.055,-0.217,0.914,0.057,0.971,0.203,0.013,0.216,0.063,0.262,-0.0326,4.508
Fanuza Kadirova,240,OTT,F,5,62.53333333333333,1,0,1,0,0,1.330836372282383,0.0,2.45223839583779,1.1290792752065557,1.2472203774690387,0.5091584771817329,0.0,0.0,0.0,1.2769218923818175,-0.12472203774690388,1.1521998546349137,0.731,-0.13,0.601,1.058,-0.096,0.962,0.235,-0.021,0.214,0.205,0.262,-0.0326,4.508
Anna Meixner,221,VAN,F,3,37.016666666666666,0,0,1,1,0,0.9979238832112803,1.6208914903196758,0.06910216102570914,-1.5874518783641667,-1.4693107761016837,0.49572222805211874,0.0,0.0,0.0,1.6175263302839302,0.14693107761016838,1.7644574078940987,0.643,0.091,0.734,0.836,0.111,0.947,0.185,0.025,0.21,0.34,0.262,-0.0326,4.508
Jamie Lee Rattray,16,BOS,F,6,84.98333333333332,2,1,0,-2,2,1.3223586566394823,-1.412041576779761,1.3088430570715823,0.23940685373655657,0.3575479559990396,0.4890567507619902,0.0,0.0,0.0,0.9336127012947906,-0.03575479559990396,0.8978579056948867,0.508,-0.051,0.457,0.951,-0.005,0.946,0.211,-0.001,0.21,0.148,0.262,-0.0326,4.508
Elle Hartje,206,NY,F,5,65.65,0,1,1,2,4,1.2383903280260027,1.8278750952018277,1.8085424064343165,0.2934323963008154,0.41157349856329845,0.3783783783783784,0.0,0.0,0.0,1.131811419368776,-0.04115734985632985,1.0906540695124463,0.609,-0.045,0.564,0.952,-0.009,0.943,0.211,-0.002,0.209,0.191,0.262,-0.0326,4.508
Theresa Schafzahl,17,BOS,F,3,44.8,0,0,1,1,0,1.1870538630842398,1.3392857142857144,2.657331472971943,1.0089283444396264,1.1270694467021094,0.4890567507619902,0.0,0.0,0.0,1.5898042809163928,-0.11270694467021095,1.477097336246182,0.758,-0.084,0.674,0.991,-0.06,0.931,0.22,-0.013,0.207,0.277,0.262,-0.0326,4.508
Michela Cava,115,VAN,F,13,188.85,1,3,1,-2,4,1.648547193628,-0.6354249404289118,0.10082598702291073,-0.109694416726062,0.008446685536421028,0.6923076923076923,0.0,0.0,0.0,0.5237640011526609,-0.0008446685536421029,0.5229193325990188,-0.162,-0.003,-0.165,0.824,0.1,0.924,0.183,0.022,0.205,0.065,0.262,-0.0326,4.508
Tereza Vanišová,161,VAN,F,11,178.18333333333334,0,2,1,0,2,1.6913173075722272,0.0,1.0080717298871624,0.34566317313641526,0.4638042753988983,0.5241173680431338,0.0,0.0,0.0,0.5695203729548235,-0.04638042753988983,0.5231399454149337,-0.017,-0.138,-0.155,0.913,-0.041,0.872,0.203,-0.009,0.194,0.065,0.262,-0.0326,4.508
Megan Keller,12,BOS,D,14,375.75,5,3,3,-1,0,2.049442808095549,-0.1596806387225549,0.5662082041531894,-0.5105176486750961,-0.39237654641261305,0.49572222805211874,0.0,0.0,0.0,0.3272563366220438,0.039237654641261305,0.36649399126330506,-1.553,0.246,-1.307,0.409,0.45,0.859,0.091,0.1,0.191,0.03,0.262,-0.0326,4.508
Abby Newhook,259,BOS,F,13,163.83333333333334,4,1,0,5,2,1.4703293016044827,1.8311291963377414,0.5362000744349267,-0.18459852561913592,-0.06645742335665289,0.4890567507619902,0.0,0.0,0.0,0.5384725824797698,0.0066457423356652895,0.5451183248154351,-0.1,0.018,-0.082,0.755,0.107,0.862,0.167,0.024,0.191,0.07,0.262,-0.0326,4.508
Skylar Irving,272,MTL,F,12,96.23333333333333,0,2,1,2,10,1.1921259831654338,1.2469691721510219,0.5128235693774938,-0.33452128882931054,-0.2163801865668275,0.5111888264445568,0.0,0.0,0.0,0.743272175163762,0.021638018656682752,0.7649101938204448,0.27,0.035,0.305,0.772,0.087,0.859,0.171,0.019,0.19,0.118,0.262,-0.0326,4.508
Brooke McQuigge,192,OTT,F,3,36.33333333333333,0,0,0,0,0,0.936620087964505,0.0,0.45057488947808394,-1.0740234466269236,-0.9558823443644406,0.5241173680431338,0.0,0.0,0.0,1.54671207186799,0.09558823443644407,1.6423003063044341,0.588,0.058,0.646,0.778,0.078,0.856,0.173,0.017,0.19,0.314,0.262,-0.0326,4.508
Lexie Adzija,49,SEA,F,11,164.03333333333333,3,0,0,1,2,1.4367256238863473,0.3657793131477342,0.9378190710658052,-0.26907981149046756,-0.15093870922798452,0.2857142857142857,0.0,0.0,0.0,0.5255245118868981,0.015093870922798453,0.5406183828096965,-0.136,0.041,-0.095,0.72,0.13,0.85,0.16,0.029,0.189,0.069,0.262,-0.0326,4.508
Elle Hartje,206,NY,F,7,98.63333333333333,0,0,0,-2,2,1.2383903280260027,-1.2166272389320716,1.2037594692370353,0.022589123246523624,0.14073022550900666,0.3783783783783784,0.0,0.0,0.0,0.7533297027532291,-0.014073022550900666,0.7392566802023284,0.293,-0.023,0.27,0.808,0.03,0.838,0.179,0.007,0.186,0.113,0.262,-0.0326,4.508
