name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,xGA60,xGA60_resid,d_adj_xGA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win
Madison Bizal,162,MIN,D,6,43.266666666666666,0,0,0,-1,0,0.062360033056677956,-1.386748844375963,0.5343726810944014,-0.32991084689923045,-0.21176974463674741,0.49572222805211874,0.0,0.0,0.0,0.08647770377659501,0.021176974463674742,0.10765467824026975,-0.352,0.015,-0.337,-0.127,0.039,-0.088,-0.028,0.009,-0.019,-0.026,0.262,-0.0326,4.508
Rylind MacKinnon,232,BOS,D,10,89.31666666666666,0,0,1,4,0,0.22274288562422068,2.687068482925919,0.593259438864417,-0.3267454237704601,-0.2086043215079771,0.49572222805211874,0.0,0.0,0.0,0.14963134693920405,0.02086043215079771,0.17049177909000177,-0.634,0.031,-0.603,-0.167,0.08,-0.087,-0.037,0.018,-0.019,-0.013,0.262,-0.0326,4.508
Jincy Roese,60,NY,D,14,238.53333333333333,0,4,1,4,4,0.7677592074114656,1.0061486864169926,0.7037288628052304,-0.25464662307416364,-0.1365055208116806,0.49572222805211874,0.0,0.0,0.0,0.19311997950539941,0.013650552081168062,0.20677053158656747,-1.519,0.054,-1.465,-0.274,0.184,-0.09,-0.061,0.041,-0.02,-0.005,0.262,-0.0326,4.508
Riley Brengman,255,BOS,D,13,248.98333333333332,2,0,0,1,2,0.7673573902684216,0.24097998527344536,0.6031144292502895,-0.3480241358034656,-0.22988303354098255,0.49572222805211874,0.0,0.0,0.0,0.1849177726063537,0.022988303354098256,0.20790607596045196,-1.62,0.095,-1.525,-0.32,0.231,-0.089,-0.071,0.051,-0.02,-0.005,0.262,-0.0326,4.508
Aneta Tejralová,62,SEA,D,6,89.11666666666667,0,1,0,3,21,0.29816922258638884,2.019824200486254,1.1616137039017138,0.1965063182367779,0.3146474204992609,0.49572222805211874,0.0,0.0,0.0,0.2007498038733869,-0.031464742049926095,0.16928506182346081,-0.556,-0.047,-0.603,-0.091,0.002,-0.089,-0.02,0.0,-0.02,-0.013,0.262,-0.0326,4.508
Jocelyne Larocque,71,OTT,D,12,279.21666666666664,0,0,4,3,14,1.085978380987113,0.6446606577926342,1.1009973313731247,0.10711530090949961,0.22525640317198264,0.49572222805211874,0.0,0.0,0.0,0.23336251247857742,-0.022525640317198267,0.21083687216137914,-1.591,-0.105,-1.696,-0.133,0.047,-0.086,-0.03,0.01,-0.02,-0.004,0.262,-0.0326,4.508
Megan Carter,208,SEA,D,14,246.26666666666665,1,2,1,-1,10,0.7503572058296399,-0.24363833243096916,0.7101042752798067,-0.3539183699438021,-0.23577726768131907,0.4488275570097946,0.0,0.0,0.0,0.18281577835589496,0.02357772676813191,0.20639350512402688,-1.611,0.097,-1.514,-0.325,0.23,-0.095,-0.072,0.051,-0.021,-0.005,0.262,-0.0326,4.508
Amanda Boulier,51,MTL,D,15,240.8,0,0,1,-2,6,0.6858183786843649,-0.4983388704318936,0.4793535364407043,-0.4594036995125141,-0.34126259725003105,0.49572222805211874,0.0,0.0,0.0,0.17088497807749956,0.034126259725003105,0.20501123780250266,-1.623,0.137,-1.486,-0.366,0.268,-0.098,-0.081,0.059,-0.022,-0.005,0.262,-0.0326,4.508
Claire Butorac,102,MIN,F,14,134.56666666666666,0,1,0,-1,0,0.4985341613059679,-0.4458756502353233,0.6148953083221473,0.2590653983195952,0.3772065005820782,0.5242021329662908,0.0,0.0,0.0,0.22228424333681998,-0.03772065005820782,0.18456359327861216,-0.792,-0.085,-0.877,-0.089,-0.012,-0.101,-0.02,-0.003,-0.023,-0.01,0.262,-0.0326,4.508
Hadley Hartmetz,182,BOS,D,11,129.21666666666667,0,2,0,2,2,0.34060195235463997,0.9286727718302592,0.5847082179354698,-0.34281619337713154,-0.2246750911146485,0.49572222805211874,0.0,0.0,0.0,0.15815387959199068,0.02246750911146485,0.18062138870345554,-0.898,0.048,-0.85,-0.224,0.119,-0.105,-0.05,0.026,-0.024,-0.011,0.262,-0.0326,4.508
Marah Wagner,295,SEA,F,10,85.61666666666666,0,0,0,-1,2,0.2972186091062204,-0.7007981312049836,0.8575164396726255,0.44435092893329575,0.5624920311957788,0.49572222805211874,0.0,0.0,0.0,0.20829024582098374,-0.05624920311957789,0.15204104270140584,-0.524,-0.08,-0.604,-0.077,-0.034,-0.111,-0.017,-0.008,-0.025,-0.018,0.262,-0.0326,4.508
Taylor House,217,OTT,F,4,34.68333333333334,0,0,0,-2,0,0.14848449621340784,-3.459875060067275,2.603227048709447,2.26888157517352,2.387022677436003,0.5454545454545454,0.0,0.0,0.0,0.2568689026277117,-0.2387022677436003,0.018166634884111438,-0.184,-0.138,-0.322,-0.003,-0.119,-0.122,-0.001,-0.026,-0.027,-0.047,0.262,-0.0326,4.508
Rory Guilday,242,OTT,D,13,269.68333333333334,0,3,2,4,10,0.9843457559021256,0.889932637043446,1.033792242361887,0.052582143748689636,0.17072324601117267,0.49572222805211874,0.0,0.0,0.0,0.21900035357812572,-0.017072324601117267,0.20192802897700846,-1.601,-0.077,-1.678,-0.193,0.07,-0.123,-0.043,0.016,-0.027,-0.006,0.262,-0.0326,4.508
Daniela Pejšová,185,BOS,D,12,151.75,1,0,0,0,2,0.3695793655417504,0.0,0.5081946915267154,-0.40871817724656057,-0.29057707498407753,0.49572222805211874,0.0,0.0,0.0,0.1461269320099178,0.029057707498407755,0.17518463950832555,-1.085,0.073,-1.012,-0.293,0.156,-0.137,-0.065,0.035,-0.03,-0.012,0.262,-0.0326,4.508
Lyndie Lobdell,294,SEA,D,10,127.11666666666667,0,1,1,-2,2,0.28003591336336353,-0.9440146846728726,0.5702559991094219,-0.4490891211446514,-0.33094801888216835,0.4488275570097946,0.0,0.0,0.0,0.13217900722539774,0.033094801888216833,0.16527380911361458,-0.939,0.07,-0.869,-0.275,0.139,-0.136,-0.061,0.031,-0.03,-0.014,0.262,-0.0326,4.508
Allyson Simpson,230,NY,D,15,273.8,0,0,1,3,12,0.828004947190529,0.6574141709276844,0.6601457870445289,-0.2879308160085785,-0.16978971374609547,0.49572222805211874,0.0,0.0,0.0,0.1814473952937609,0.016978971374609547,0.19842636666837044,-1.797,0.077,-1.72,-0.368,0.226,-0.142,-0.082,0.05,-0.032,-0.007,0.262,-0.0326,4.508
Sydney Bard,180,VAN,D,11,169.53333333333333,0,0,0,-3,0,0.5131900205312655,-1.0617381046008652,0.8981212439056299,-0.05011159158537404,0.068029510677109,0.49572222805211874,0.0,0.0,0.0,0.18162446656631498,-0.0068029510677109,0.17482151549860409,-1.112,-0.019,-1.131,-0.227,0.073,-0.154,-0.05,0.016,-0.034,-0.012,0.262,-0.0326,4.508
Allie Munroe,74,TOR,D,10,162.25,0,2,0,0,8,0.3863201853020286,0.0,0.5452536384518177,-0.4006570144727599,-0.2825159122102769,0.4826928958693229,0.0,0.0,0.0,0.14286108547378562,0.02825159122102769,0.1711126766948133,-1.169,0.076,-1.093,-0.322,0.164,-0.158,-0.071,0.036,-0.035,-0.013,0.262,-0.0326,4.508
Kateřina Mrázová,88,OTT,F,16,277.75,1,2,2,-6,4,1.2579518111101562,-1.296129612961296,0.8394370146133665,0.7486165854032114,0.8667576876656944,0.6503496503496503,0.0,0.0,0.0,0.27174476567636136,-0.08667576876656945,0.1850689969097919,-1.405,-0.401,-1.806,0.045,-0.251,-0.206,0.01,-0.056,-0.046,-0.01,0.262,-0.0326,4.508
Taylor House,217,OTT,F,7,59.88333333333333,0,0,0,-1,0,0.14848449621340784,-1.0019482326746452,1.5077415776132366,1.2687699301877258,1.3869110324502087,0.5454545454545454,0.0,0.0,0.0,0.14877377856060903,-0.13869110324502087,0.010082675315588152,-0.426,-0.138,-0.564,-0.113,-0.106,-0.219,-0.025,-0.024,-0.049,-0.049,0.262,-0.0326,4.508
Madison Samoskevich,310,VAN,D,7,52.8,0,0,0,-2,2,0.062048530791662164,-2.272727272727273,1.7549777591845077,0.9047830274537888,1.022924129716272,0.49572222805211874,0.0,0.0,0.0,0.07050969408143429,-0.1022924129716272,-0.03178271889019291,-0.444,-0.09,-0.534,-0.169,-0.061,-0.23,-0.037,-0.014,-0.051,-0.058,0.262,-0.0326,4.508
Samantha Isbell,108,OTT,D,7,92.63333333333334,0,1,0,-3,0,0.13076941625921254,-1.943145016192875,1.0448221170676757,0.18210592313658402,0.30024702539906706,0.49572222805211874,0.0,0.0,0.0,0.08470131315818012,-0.030024702539906706,0.05467661061827342,-0.757,-0.046,-0.803,-0.274,0.004,-0.27,-0.061,0.001,-0.06,-0.039,0.262,-0.0326,4.508
Ashton Bell,50,VAN,D,15,310.1166666666667,1,0,2,-4,0,0.8402203964961259,-0.773902294835277,0.7196297974643545,-0.21178406832730423,-0.0936429660648212,0.49572222805211874,0.0,0.0,0.0,0.16256212325393957,0.00936429660648212,0.17192641986042168,-2.133,0.048,-2.085,-0.514,0.217,-0.297,-0.114,0.048,-0.066,-0.013,0.262,-0.0326,4.508
Jenna Buglioni,237,SEA,F,9,65.88333333333333,0,0,0,0,2,0.0,0.0,0.8092720136967885,0.32440129011706687,0.4425423923795499,0.391304347826087,0.0,0.0,0.0,0.0,-0.04425423923795499,-0.04425423923795499,-0.632,-0.049,-0.681,-0.288,-0.013,-0.301,-0.064,-0.003,-0.067,-0.061,0.262,-0.0326,4.508
Madison Samoskevich,310,VAN,D,6,81.43333333333334,0,0,0,2,4,0.062048530791662164,1.4735980352026197,1.137897982213778,0.30957792645250426,0.4277190287149873,0.49572222805211874,0.0,0.0,0.0,0.04571729653090131,-0.042771902871498735,0.0029453936594025718,-0.719,-0.058,-0.777,-0.294,-0.014,-0.308,-0.065,-0.003,-0.068,-0.05,0.262,-0.0326,4.508
Kathryn Reilly,289,OTT,D,11,134.35,0,0,0,-1,2,0.1828080821159067,-0.446594715295869,0.6485969150131903,-0.2114192310694578,-0.09327812880697478,0.49572222805211874,0.0,0.0,0.0,0.0816411233863372,0.009327812880697478,0.09096893626703467,-1.105,0.021,-1.084,-0.404,0.094,-0.31,-0.09,0.021,-0.069,-0.031,0.262,-0.0326,4.508
Mariah Keopple,99,SEA,D,13,201.1,0,0,2,-1,0,0.3930351934290235,-0.29835902536051717,0.7489499626440581,-0.1424981504610232,-0.024357048198540177,0.49572222805211874,0.0,0.0,0.0,0.11726559724386577,0.002435704819854018,0.11970130206371979,-1.535,0.008,-1.527,-0.485,0.117,-0.368,-0.108,0.026,-0.082,-0.024,0.262,-0.0326,4.508
Emily Brown,2,SEA,D,11,209.88333333333333,0,0,1,-1,0,0.36300137269476335,-0.2858731041054554,0.8897986981917991,0.010255882485979861,0.1283969847484629,0.49572222805211874,0.0,0.0,0.0,0.1037723292067933,-0.01283969847484629,0.09093263073194702,-1.649,-0.045,-1.694,-0.554,0.069,-0.485,-0.123,0.015,-0.108,-0.031,0.262,-0.0326,4.508
Brooke Hobson,38,OTT,D,16,256.0,1,0,2,-3,4,0.47654570760293646,-0.703125,0.7967333779731482,-0.05692075894251869,0.06122034331996434,0.5091584771817329,0.0,0.0,0.0,0.11169040021943824,-0.006122034331996435,0.10556836588744181,-1.978,-0.026,-2.004,-0.641,0.113,-0.528,-0.142,0.025,-0.117,-0.027,0.262,-0.0326,4.508
Natalie Buchbinder,90,MIN,D,15,255.33333333333331,0,0,1,10,4,0.202239731016105,2.349869451697128,0.5661362904736592,-0.2637775770897798,-0.14563647482729675,0.49572222805211874,0.0,0.0,0.0,0.047523696583418935,0.014563647482729675,0.06208734406614861,-2.246,0.062,-2.184,-0.913,0.201,-0.712,-0.203,0.045,-0.158,-0.037,0.262,-0.0326,4.508
Mellissa Channell-Watkins,129,VAN,D,16,305.31666666666666,0,0,0,-6,2,0.40781768361093285,-1.1791036628636935,0.6686397911532631,-0.19005473467699863,-0.0719136324145156,0.49572222805211874,0.0,0.0,0.0,0.08014322075437297,0.007191363241451559,0.08733458399582453,-2.519,0.037,-2.482,-0.925,0.202,-0.723,-0.205,0.045,-0.16,-0.031,0.262,-0.0326,4.508
