Name,PlayerID,Team,position,GP,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,pm60_resid,d_adj_pm60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,o_replacement_val60,d_replacement_val60,goals_per_win
Claire Dalton,26,MTL,F,30,395.65,3,5,1,2,4,3.0110598363507104,0.3032983697712625,0.502533965542437,0.3216550064115531,0.45662476982444744,0.03216550064115531,0.48879027046560275,0.155,0.212,0.367,1.865,0.774,2.639,0.369,0.153,0.522,0.1737,-0.0852,5.0492
Grace Zumwinkle,25,MIN,F,20,325.3666666666667,4,2,2,-6,0,3.299122665814924,-1.1064440118840282,-0.990079881249049,-1.170958840379933,0.6083824196769658,-0.1170958840379933,0.4912865356389725,0.95,-0.635,0.315,2.357,-0.173,2.184,0.467,-0.034,0.501,0.1737,-0.0852,5.0492
Micah Zandee-Hart,47,NY,D,28,678.85,1,3,4,-3,16,3.690047784391367,-0.2651543050747588,0.005333916393035598,-0.1755450427378483,0.32614401865431536,-0.01755450427378483,0.3085895143805305,-1.211,-0.199,-1.41,1.724,0.766,2.49,0.341,0.152,0.493,0.1737,-0.0852,5.0492
Claire Thompson,169,MIN,D,28,615.8333333333334,4,9,3,2,8,2.99148763038806,0.19485791610284167,0.48428765867574586,0.30340869954486194,0.2914575228524226,0.030340869954486194,0.3217983928069088,-1.454,0.311,-1.143,1.208,1.186,2.394,0.239,0.235,0.474,0.1737,-0.0852,5.0492
Hannah Brandt,1,BOS,C,28,439.05,3,3,3,5,14,2.3574455310319555,0.683293474547318,0.9559543146947923,0.7750753555639084,0.32216542959097444,0.07750753555639084,0.3996729651473653,-0.812,0.567,-0.245,1.086,1.191,2.277,0.215,0.236,0.451,0.1737,-0.0852,5.0492
Alexandra Labelle,39,MTL,F,19,307.4,1,1,2,4,2,2.2724103682267263,0.7807417046193885,0.987121844191124,0.8062428850602401,0.44354138612102667,0.08062428850602402,0.5241656746270507,0.053,0.413,0.466,1.382,0.85,2.232,0.274,0.168,0.442,0.1737,-0.0852,5.0492
Paetyn Levis,40,NY,F,28,401.98333333333335,5,2,2,-1,10,2.903103478668075,-0.1492599195654878,0.0627035335675391,-0.11817542556334479,0.4333169917162847,-0.011817542556334479,0.4214994491599502,0.001,-0.079,-0.078,1.739,0.492,2.231,0.344,0.097,0.441,0.1737,-0.0852,5.0492
Victoria Bach,125,OTT,F,24,287.95,3,3,0,4,4,2.21031779662999,0.8334780343809689,1.0305631416879615,0.8496841825570776,0.4605628331231095,0.08496841825570776,0.5455312513788173,0.132,0.408,0.54,1.377,0.817,2.194,0.273,0.162,0.435,0.1737,-0.0852,5.0492
Gabby Rosenthal,227,NY,F,27,369.01666666666665,1,2,1,-1,8,2.788060228800545,-0.16259428210107946,0.03844452685748076,-0.14243443227340313,0.45332265135639593,-0.014243443227340315,0.4390792081290556,0.124,-0.088,0.036,1.72,0.437,2.157,0.341,0.087,0.428,0.1737,-0.0852,5.0492
Hayley Scamurra,61,TOR,F,18,261.98333333333335,1,0,1,-4,6,2.788248465916832,-0.9160888097207202,-0.8162098822370039,-0.9970888413678878,0.6385708045868437,-0.09970888413678879,0.5388619204500549,0.897,-0.435,0.462,2.03,-0.063,1.967,0.402,-0.012,0.414,0.1737,-0.0852,5.0492
Jamie Lee Rattray,16,BOS,LW,28,422.23333333333335,3,4,1,0,8,2.650975015521007,0.0,0.2428765844363762,0.0619976253054923,0.3767075888480155,0.006199762530549231,0.3829073513785647,-0.397,0.044,-0.353,1.428,0.643,2.071,0.283,0.127,0.41,0.1737,-0.0852,5.0492
Maggie Connors,66,TOR,F,29,224.55,2,0,0,-8,6,2.115535744358015,-2.1376085504342015,-1.9977035529540872,-2.178582512084971,0.5652734119861096,-0.2178582512084971,0.3474151607776125,0.494,-0.815,-0.321,1.465,-0.496,0.969,0.29,-0.098,0.388,0.1737,-0.0852,5.0492
Sidney Morin,167,BOS,RD,28,554.0666666666666,3,2,2,0,10,2.6618307619985098,0.0,0.2911811720136563,0.1103022128827724,0.28825023292006485,0.01103022128827724,0.2992804542083421,-1.338,0.102,-1.236,1.058,0.889,1.947,0.21,0.176,0.386,0.1737,-0.0852,5.0492
Cayla Barnes,196,MTL,D,30,654.35,2,8,3,-1,12,2.8596096660104333,-0.0916940475280813,0.2137075596849371,0.032828600554053206,0.26220918462692133,0.003282860055405321,0.2654920446823267,-1.864,0.036,-1.828,0.965,0.965,1.93,0.191,0.191,0.382,0.1737,-0.0852,5.0492
Ella Shelton,44,NY,D,22,539.0833333333334,8,4,3,-1,10,2.724015894065948,-0.11130004637501931,0.1717266227962808,-0.009152336334603106,0.3031830953358297,-0.0009152336334603107,0.3022678617023694,-1.168,-0.008,-1.176,1.163,0.758,1.921,0.23,0.15,0.38,0.1737,-0.0852,5.0492
Danielle Serdachny,224,OTT,F,29,448.5833333333333,1,1,5,-7,16,3.156911486380043,-0.9362808842652796,-0.7182744525375151,-0.899153411668399,0.4222508397164464,-0.08991534116683991,0.3323354985496065,-0.082,-0.672,-0.754,1.858,-0.035,1.823,0.368,-0.007,0.375,0.1737,-0.0852,5.0492
Hannah Bilka,181,BOS,LW,16,327.8833333333333,5,2,4,-4,6,2.7782517094592705,-0.7319676714278454,-0.5610040672698507,-0.7418830264007347,0.5083976086033333,-0.07418830264007346,0.4342093059632598,0.411,-0.405,0.006,1.829,0.06,1.889,0.362,0.012,0.374,0.1737,-0.0852,5.0492
Maureen Murphy,98,MTL,F,28,370.3333333333333,3,1,2,-5,10,2.896479131866535,-0.8100810081008102,-0.6177542654487312,-0.7986332245796152,0.4692765470170804,-0.07986332245796152,0.38941322455911886,0.223,-0.493,-0.27,1.824,0.033,1.857,0.361,0.007,0.368,0.1737,-0.0852,5.0492
Izzy Daniel,209,TOR,F,29,394.35,2,5,0,-5,8,2.921479595253819,-0.7607455306200075,-0.5548891466311288,-0.7357681057620127,0.4445005089773783,-0.07357681057620127,0.370923698401177,0.075,-0.484,-0.409,1.78,0.077,1.857,0.353,0.015,0.368,0.1737,-0.0852,5.0492
Mannon McMahon,220,OTT,F,29,418.06666666666666,3,3,0,2,6,2.177810806877076,0.287035560516664,0.564944675015608,0.38406571588472405,0.3125545728256049,0.03840657158847241,0.35096114441407733,-0.84,0.268,-0.572,0.967,0.862,1.829,0.192,0.171,0.363,0.1737,-0.0852,5.0492
Alexa Vasko,101,OTT,F,23,206.55,2,2,0,6,8,1.4706682943913298,1.7429193899782134,1.958218072945375,1.7773391138144912,0.42720938108680606,0.17773391138144912,0.6049432924682552,-0.02,0.612,0.592,0.873,0.905,1.778,0.173,0.179,0.352,0.1737,-0.0852,5.0492
Mae Batherson,188,MIN,D,23,364.4166666666667,0,1,2,12,6,0.966950168529825,1.9757603475874683,2.3374101588636704,2.1565311997327865,0.1592051500895207,0.21565311997327866,0.37485827006279937,-1.664,1.31,-0.354,-0.088,1.827,1.739,-0.017,0.362,0.345,0.1737,-0.0852,5.0492
Elle Hartje,206,NY,F,25,414.3,0,3,3,-7,4,2.827892917419713,-1.0137581462708183,-0.7888121284958836,-0.9696910876267675,0.4095427831165406,-0.09696910876267675,0.31257367435386385,-0.163,-0.67,-0.833,1.628,-0.081,1.547,0.322,-0.016,0.338,0.1737,-0.0852,5.0492
Amanda Pelkey,110,BOS,LW,23,212.73333333333332,2,1,1,-4,8,2.1992958785627295,-1.1281729865246004,-1.0183148964597735,-1.1991938555906574,0.6202965498923398,-0.11991938555906574,0.5003771643332741,0.664,-0.425,0.239,1.583,-0.123,1.46,0.314,-0.024,0.338,0.1737,-0.0852,5.0492
Emma Woods,86,TOR,F,29,334.6166666666667,3,0,1,2,14,1.9061614044842488,0.358619315634806,0.6205618962320127,0.4396829371011288,0.34179314918281095,0.043968293710112884,0.38576144289292386,-0.51,0.245,-0.265,0.937,0.721,1.658,0.186,0.143,0.329,0.1737,-0.0852,5.0492
Emma Maltais,73,TOR,F,29,561.9666666666667,3,3,2,-4,14,2.795510986426138,-0.42707159380746185,-0.14147166342444584,-0.32235062255532976,0.29847083311982014,-0.03223506225553298,0.2662357708642872,-1.261,-0.302,-1.563,1.168,0.496,1.664,0.231,0.098,0.329,0.1737,-0.0852,5.0492
Elizabeth Giguère,37,NY,F,27,282.46666666666664,2,0,2,-1,4,2.1715773197133794,-0.2124144441822044,-0.01571790185627986,-0.19659686098716375,0.46127438936559867,-0.019659686098716378,0.4416147032668823,0.132,-0.093,0.039,1.354,0.309,1.663,0.268,0.061,0.329,0.1737,-0.0852,5.0492
Kati Tabin,84,MTL,D,28,521.65,4,2,2,3,23,1.9583905157085586,0.34505894757020994,0.6706412892713751,0.4897623301404912,0.22525339009395864,0.048976233014049124,0.27422962310800775,-1.808,0.426,-1.382,0.448,1.167,1.615,0.089,0.231,0.32,0.1737,-0.0852,5.0492
Lexie Adzija,49,BOS,C,28,286.3833333333333,2,3,1,-5,6,2.34379260414611,-1.0475469941220974,-0.8671083802508288,-1.0479873393817127,0.49104657946377217,-0.10479873393817128,0.3862478455256009,0.276,-0.5,-0.224,1.515,-0.093,1.422,0.3,-0.018,0.318,0.1737,-0.0852,5.0492
Jaime Bourbonnais,87,NY,D,28,650.9833333333333,2,3,2,-4,14,2.7826264048236067,-0.3686730331037661,-0.06013729198376205,-0.24101625111464595,0.25646982916523675,-0.024101625111464596,0.23236820405377215,-1.917,-0.261,-2.178,0.898,0.663,1.561,0.178,0.131,0.309,0.1737,-0.0852,5.0492
Sophie Shirley,18,BOS,RW,26,261.9,0,0,4,1,29,1.8196766561735835,0.22909507445589922,0.4500349703175004,0.2691560111866165,0.4168789590317488,0.026915601118661647,0.44379456015041047,-0.071,0.117,0.046,1.061,0.49,1.551,0.21,0.097,0.307,0.1737,-0.0852,5.0492
Mellissa Channell-Watkins,129,MIN,D,27,474.5333333333333,1,6,0,6,2,1.5147422270234538,0.7586400674346727,1.1026412629577105,0.9217623038268266,0.19152402420920323,0.09217623038268266,0.28370025459188586,-1.911,0.729,-1.182,0.141,1.403,1.544,0.028,0.278,0.306,0.1737,-0.0852,5.0492
Jessica Digirolamo,5,BOS,RD,28,484.66666666666663,1,1,3,6,12,1.4408334635323254,0.7427785419532326,1.0939628401670842,0.9130838810362003,0.17837002987332778,0.09130838810362003,0.2696784179769478,-2.058,0.738,-1.32,0.037,1.426,1.463,0.007,0.282,0.289,0.1737,-0.0852,5.0492
Emmy Fecteau,204,NY,F,28,222.89999999999998,1,0,0,-8,6,1.6310985335923265,-2.1534320323014806,-1.94460333100697,-2.1254822901378536,0.4390574787597111,-0.21254822901378537,0.2265092497459257,0.022,-0.79,-0.768,0.986,-0.473,0.513,0.195,-0.094,0.289,0.1737,-0.0852,5.0492
Theresa Schafzahl,17,BOS,RW,28,357.8833333333333,3,1,0,0,6,1.9254784590849345,0.0,0.2723082615174831,0.09142930238659921,0.32281108614100334,0.009142930238659922,0.33195401637966326,-0.658,0.055,-0.603,0.889,0.563,1.452,0.176,0.112,0.288,0.1737,-0.0852,5.0492
Liz Schepers,97,MIN,F,25,270.1,2,5,0,-1,0,1.9336129479365929,-0.22213994816734542,-0.008109966893886628,-0.18898892602477052,0.4295326800303427,-0.018898892602477055,0.4106337874278656,-0.016,-0.085,-0.101,1.152,0.299,1.451,0.228,0.059,0.287,0.1737,-0.0852,5.0492
Anna Wilgren,203,MTL,D,30,497.68333333333334,3,1,5,7,8,1.2269659864594629,0.8439101168748534,1.2117217939095557,1.0308428347786718,0.14792128700492502,0.10308428347786719,0.2510055704827922,-2.366,0.855,-1.511,-0.214,1.562,1.348,-0.042,0.309,0.267,0.1737,-0.0852,5.0492
Clair DeGeorge,116,MTL,F,26,222.21666666666667,0,1,1,4,6,1.1959589537694402,1.0800270006750168,1.352277430217383,1.171398471086499,0.3229169904425099,0.11713984710864991,0.44005683755115976,-0.408,0.434,0.026,0.553,0.75,1.303,0.11,0.149,0.259,0.1737,-0.0852,5.0492
Claire Butorac,102,MIN,F,25,265.66666666666663,2,0,3,1,8,1.4977053721494378,0.2258469259723965,0.48972316482831135,0.30884420569742743,0.33825215431229466,0.030884420569742745,0.3691365748820374,-0.42,0.137,-0.283,0.728,0.514,1.242,0.144,0.102,0.246,0.1737,-0.0852,5.0492
Natalie Snodgrass,142,OTT,F,20,173.61666666666667,1,1,0,-2,2,1.6636714994400825,-0.6911778823077661,-0.5565551269406543,-0.7374340860715383,0.5749464719193911,-0.07374340860715382,0.5012030633122373,0.41,-0.213,0.197,1.161,0.033,1.194,0.23,0.007,0.237,0.1737,-0.0852,5.0492
Rebecca Leslie,72,OTT,F,26,277.1333333333333,1,0,2,-6,2,1.7786195632611719,-1.2990137118114025,-1.060706493118337,-1.241585452249221,0.38507520012871177,-0.12415854522492209,0.2609166549037897,-0.222,-0.573,-0.795,0.976,-0.18,0.796,0.193,-0.036,0.229,0.1737,-0.0852,5.0492
Kateřina Mrázová,88,OTT,F,13,215.46666666666667,3,3,1,-4,4,1.6653739140541246,-1.1138613861386137,-0.9185161319888049,-1.0993950911196888,0.46374892408685403,-0.10993950911196888,0.35380941497488516,0.11,-0.395,-0.285,1.041,-0.089,0.952,0.206,-0.018,0.224,0.1737,-0.0852,5.0492
Chloe Aurard,33,NY,F,25,191.81666666666666,2,0,2,-2,2,1.545451445128539,-0.6255973585889304,-0.4409914028722288,-0.6218703620031127,0.48341517094992964,-0.062187036200311276,0.42122813474961834,0.161,-0.199,-0.038,0.99,0.074,1.064,0.196,0.015,0.211,0.1737,-0.0852,5.0492
Loren Gabel,8,BOS,RW,19,168.71666666666667,1,0,1,-2,4,1.5041281235231136,-0.7112516052553591,-0.554764063059491,-0.7356430221903749,0.5349067711827727,-0.0735643022190375,0.46134246896373526,0.286,-0.207,0.079,1.016,0.033,1.049,0.201,0.007,0.208,0.1737,-0.0852,5.0492
Kali Flanagan,68,TOR,D,29,642.5333333333333,3,3,1,-4,6,2.2233651435196973,-0.3735214774849554,-0.03830920241036112,-0.219188161541245,0.2076186583490068,-0.021918816154124502,0.1856998421948823,-2.415,-0.235,-2.65,0.363,0.678,1.041,0.072,0.134,0.206,0.1737,-0.0852,5.0492
Maja Nylen Persson,229,NY,D,21,409.8333333333333,2,2,2,0,2,1.5016688263301063,0.0,0.3285353158776798,0.14765635674679592,0.219845781813273,0.014765635674679593,0.23461141748795258,-1.457,0.101,-1.356,0.315,0.683,0.998,0.062,0.135,0.197,0.1737,-0.0852,5.0492
Hayley Scamurra,61,OTT,F,5,82.01666666666667,0,0,0,1,0,1.0377315014031723,0.7315586262954684,0.7655857041065388,0.5847067449756549,0.7591614316300387,0.05847067449756549,0.8176321061276042,0.446,0.08,0.526,0.8,0.196,0.996,0.158,0.039,0.197,0.1737,-0.0852,5.0492
Dara Greig,199,MTL,F,29,230.5333333333333,0,2,1,-2,16,1.4706480365183268,-0.520532099479468,-0.280960467897747,-0.4618394270286309,0.38275975502212095,-0.04618394270286309,0.33657581231925787,-0.194,-0.177,-0.371,0.803,0.15,0.953,0.159,0.03,0.189,0.1737,-0.0852,5.0492
Aneta Tejralová,62,OTT,D,29,562.6,1,2,6,3,18,1.2693775004595766,0.3199431212228937,0.6946053903363734,0.5137264312054894,0.13537619983571736,0.05137264312054895,0.18674884295626631,-2.792,0.482,-2.31,-0.36,1.281,0.921,-0.071,0.254,0.183,0.1737,-0.0852,5.0492
Emily Brown,2,BOS,LD,27,491.66666666666663,1,2,0,4,12,1.0217208358604717,0.488135593220339,0.8686363191416377,0.6877573600107538,0.12468457657958298,0.06877573600107538,0.19346031258065838,-2.528,0.564,-1.964,-0.402,1.262,0.86,-0.08,0.25,0.17,0.1737,-0.0852,5.0492
Victoria Bach,125,TOR,F,6,75.81666666666666,1,0,0,-2,2,0.9346866221295473,-1.5827654429544955,-1.5381080954777964,-1.7189870546086803,0.7396948427492571,-0.17189870546086805,0.5677961372883891,0.387,-0.217,0.17,0.715,-0.11,0.605,0.142,-0.022,0.164,0.1737,-0.0852,5.0492
Lee Stecklein,24,MIN,D,28,647.2833333333333,3,1,5,-2,6,1.7882663317315268,-0.1853902206658599,0.17267819758372357,-0.008200761547160318,0.16576354492451778,-0.0008200761547160319,0.16494346876980176,-2.885,-0.009,-2.894,-0.086,0.911,0.825,-0.017,0.18,0.163,0.1737,-0.0852,5.0492
Anna Meixner,221,OTT,F,27,312.95,1,1,0,-5,6,1.71302487823876,-0.9586195877935774,-0.689378510474723,-0.8702574696056069,0.3284278405314766,-0.0870257469605607,0.2414020935709159,-0.546,-0.454,-1.0,0.807,-0.009,0.798,0.16,-0.002,0.162,0.1737,-0.0852,5.0492
Daniela Pejsova,185,BOS,LD,26,327.4,0,1,1,-1,8,1.2912040091742463,-0.1832620647525962,0.13610846716610803,-0.044770491964775866,0.2366287127381026,-0.004477049196477587,0.232151663541625,-1.072,-0.024,-1.096,0.343,0.441,0.784,0.068,0.087,0.155,0.1737,-0.0852,5.0492
Taylor Girard,9,NY,LW,16,151.35,1,0,2,-1,10,1.0588679780224681,-0.39643211100099107,-0.17707054824124108,-0.35794950737212494,0.4197692677987981,-0.0357949507372125,0.3839743170615856,-0.034,-0.09,-0.124,0.621,0.125,0.746,0.123,0.025,0.148,0.1737,-0.0852,5.0492
Klara Hymlarova,190,MIN,F,24,295.28333333333336,0,0,1,0,2,1.0753818183202535,0.0,0.3292637431987352,0.1483847840678513,0.21851185561623934,0.01483847840678513,0.23335033402302446,-1.056,0.073,-0.983,0.22,0.493,0.713,0.044,0.098,0.142,0.1737,-0.0852,5.0492
Jill Saulnier,149,BOS,F,17,231.81666666666666,2,3,0,-1,8,1.0486915030193364,-0.2588252210798763,0.041542300527818876,-0.13933665860306502,0.2714278101135676,-0.013933665860306503,0.2574941442532611,-0.625,-0.054,-0.679,0.377,0.275,0.652,0.075,0.054,0.129,0.1737,-0.0852,5.0492
Megan Keller,12,BOS,LD,28,665.1999999999999,4,7,1,-7,16,2.0913275751040428,-0.6313890559230307,-0.2858099435010477,-0.46668890263193163,0.1886344776101061,-0.046668890263193166,0.14196558734691295,-2.711,-0.517,-3.228,0.165,0.428,0.593,0.033,0.085,0.118,0.1737,-0.0852,5.0492
Zoe Boyd,52,OTT,D,23,291.55,0,1,2,2,25,0.7406520426099439,0.41159320871205624,0.7769462319557207,0.5960672728248367,0.1524236753784827,0.059606727282483674,0.21203040266096637,-1.364,0.29,-1.074,-0.104,0.704,0.6,-0.021,0.139,0.118,0.1737,-0.0852,5.0492
Jincy Roese,60,OTT,D,26,563.2833333333333,3,4,7,-8,14,2.0820026068397506,-0.8521466402343404,-0.5246628837443166,-0.7055418428752005,0.22177144079720396,-0.07055418428752006,0.1512172565096839,-1.984,-0.662,-2.646,0.451,0.138,0.589,0.089,0.027,0.116,0.1737,-0.0852,5.0492
