Name,PlayerID,Team,position,GP,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,pm60_resid,d_adj_pm60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,o_replacement_val60,d_replacement_val60,goals_per_win
Kayla Vespa,45,NY,F,9,44.46666666666667,0,0,0,-1,0,0.3370533321023268,-1.3493253373313343,-1.1490903272376651,-1.329969286368549,0.45479460103762237,-0.13299692863685492,0.32179767240076745,0.016,-0.099,-0.083,0.208,-0.035,0.173,0.041,-0.007,0.048,0.1737,-0.0852,5.0492
Kaitlin Willoughby,128,MTL,F,7,76.63333333333334,0,1,0,0,0,0.3179013076635324,0.0,0.3126691580459965,0.1317901989151126,0.24890054536509712,0.01317901989151126,0.26207956525660836,-0.235,0.017,-0.218,0.096,0.126,0.222,0.019,0.025,0.044,0.1737,-0.0852,5.0492
Maggie Flaherty,79,MIN,D,20,302.51666666666665,1,0,0,-4,12,0.9714158790389626,-0.7933447192992122,-0.44996763063650513,-0.630846589767389,0.19266691446974082,-0.06308465897673891,0.1295822554930019,-1.213,-0.318,-1.531,0.095,0.112,0.207,0.019,0.022,0.041,0.1737,-0.0852,5.0492
Kaitlin Willoughby,128,TOR,F,20,90.73333333333333,0,0,0,-4,0,0.2260611252891965,-2.645113886847906,-2.278158496986646,-2.45903745611753,0.1494893554447295,-0.245903745611753,-0.0964143901670235,-0.429,-0.372,-0.801,-0.037,-0.243,-0.28,-0.007,-0.048,0.041,0.1737,-0.0852,5.0492
Rylind MacKinnon,232,TOR,D,21,246.63333333333333,0,1,1,-1,27,0.5542250668138389,-0.24327611839437766,0.1316845695365941,-0.04919438959428979,0.1348297229713353,-0.004919438959428979,0.12991028401190632,-1.226,-0.02,-1.246,-0.16,0.33,0.17,-0.032,0.065,0.033,0.1737,-0.0852,5.0492
Brooke Hobson,38,NY,D,28,324.8,1,3,0,-7,8,0.9500868133846085,-1.2931034482758619,-0.9403566131779413,-1.1212355723088252,0.17550864779272324,-0.11212355723088252,0.06338509056184072,-1.395,-0.607,-2.002,0.01,-0.146,-0.136,0.002,-0.029,0.031,0.1737,-0.0852,5.0492
Jillian Dempsey,27,BOS,LW,7,52.43333333333333,0,0,1,0,0,0.2043830845612311,0.0,0.3208728228311498,0.13999386370026592,0.2338776555691138,0.013999386370026594,0.2478770419391404,-0.174,0.012,-0.162,0.053,0.087,0.14,0.01,0.017,0.027,0.1737,-0.0852,5.0492
Anna Kjellbin,200,MTL,D,18,197.01666666666668,0,0,1,-5,4,0.5066072211872457,-1.522713814398105,-1.1583764341791623,-1.3392553933100462,0.15428356283513106,-0.13392553933100462,0.020358023504126438,-0.916,-0.44,-1.356,-0.064,-0.16,-0.224,-0.013,-0.032,0.019,0.1737,-0.0852,5.0492
Jill Saulnier,149,NY,F,5,33.483333333333334,0,0,0,-1,0,0.12096401436597509,-1.7919362867098059,-1.461715788721706,-1.64259474785259,0.216759806728477,-0.164259474785259,0.05250033194321799,-0.121,-0.092,-0.213,0.024,-0.044,-0.02,0.005,-0.009,0.014,0.1737,-0.0852,5.0492
Savannah Harmon,56,OTT,D,5,106.69999999999999,0,0,0,-1,0,0.23624108275126388,-0.5623242736644799,-0.186279278766672,-0.36715823789755586,0.13284409526781474,-0.03671582378975559,0.09612827147805915,-0.534,-0.065,-0.599,-0.073,0.086,0.013,-0.014,0.017,0.003,0.1737,-0.0852,5.0492
Kelly Ann Nadeau,202,MTL,D,4,36.71666666666667,0,0,0,-1,0,0.0397281139004915,-1.634135270086246,-1.2209990502400214,-1.4018780093709053,0.06492111213879682,-0.14018780093709055,-0.07526668879829372,-0.225,-0.086,-0.311,-0.067,-0.034,-0.101,-0.013,-0.007,-0.006,0.1737,-0.0852,5.0492
Lauren Bernard,207,NY,D,8,38.58333333333333,0,0,2,0,0,0.0,0.0,0.4485881900529445,0.26770923092206056,0.0,0.026770923092206057,0.026770923092206057,-0.279,0.017,-0.262,-0.112,0.072,-0.04,-0.022,0.014,-0.008,0.1737,-0.0852,5.0492
Taylor Girard,9,BOS,LW,5,41.6,0,0,0,0,6,0.0,0.0,0.4485881900529445,0.26770923092206056,0.0,0.026770923092206057,0.026770923092206057,-0.3,0.019,-0.281,-0.12,0.078,-0.042,-0.024,0.015,-0.009,0.1737,-0.0852,5.0492
Taylor Baker,150,NY,D,3,31.799999999999994,0,0,0,-1,0,0.0,-1.8867924528301891,-1.4382042627772447,-1.6190832219081286,0.0,-0.16190832219081286,-0.16190832219081286,-0.23,-0.086,-0.316,-0.092,-0.041,-0.133,-0.018,-0.008,-0.01,0.1737,-0.0852,5.0492
Anna Kjellbin,200,TOR,D,7,79.68333333333334,0,2,0,-1,0,0.1147664772418731,-0.7529805480025099,-0.35158271170197203,-0.5324616708328559,0.0864169249259032,-0.05324616708328559,0.0331707578426176,-0.46,-0.071,-0.531,-0.116,0.042,-0.074,-0.023,0.008,-0.015,0.1737,-0.0852,5.0492
Dominika Lásková,82,MTL,D,5,50.75,0,0,0,-1,2,0.0561166124655327,-1.1822660098522169,-0.7699072142397094,-0.9507861733705933,0.06634476350604851,-0.09507861733705934,-0.028733853831010833,-0.31,-0.08,-0.39,-0.091,-0.008,-0.099,-0.018,-0.002,-0.016,0.1737,-0.0852,5.0492
Lauren Bernard,207,TOR,D,12,114.53333333333333,0,1,0,-2,2,0.21286222767770652,-1.0477299185098952,-0.6600354304536288,-0.8409143895845127,0.11151106222929912,-0.08409143895845128,0.027419623270847834,-0.614,-0.161,-0.775,-0.119,0.002,-0.117,-0.024,0.0,-0.024,0.1737,-0.0852,5.0492
Sydney Bard,180,BOS,RD,25,427.59999999999997,1,0,2,-6,12,0.8206389069218962,-0.841908325537886,-0.45620122845501504,-0.6370801875858989,0.11515045466630912,-0.06370801875858989,0.05144243590771923,-2.266,-0.454,-2.72,-0.417,0.153,-0.264,-0.083,0.03,-0.053,0.1737,-0.0852,5.0492
