Season,name,player_id,team,pos,gp,toi_min,ixG,xGA,ixG60,xGA60,xGA60_resid,d_adj_xGA60,blocks60,blocks60_adj,block_val60,d_value60,value60,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60
2023-24,Sarah Nurse,75,TOR,LW,29,564.45,7.521,4.384284228884705,0.7994685091682168,0.46604137431673714,0.002900628216222209,0.002900628216222216,1.0629816635663034,0.3167915105562271,0.012671660422249084,0.011627434264409087,0.8110959434326258,4.656,0.287,4.943,1.028,0.063,1.091,0.116
2023-24,Brianne Jenner,58,OTT,F,24,444.41666666666663,7.058,3.7037948112978634,0.9528895555972248,0.5000435522472271,0.006364079343779789,0.006364079343779796,0.6750421901368836,-0.31245532244359536,-0.012498212897743815,-0.01478928146150454,0.9381002741357203,4.802,0.031,4.833,1.06,0.007,1.067,0.144
2023-24,Blayre Turnbull,76,TOR,C,29,559.35,7.185999999999999,4.346724181528419,0.7708232770179672,0.46626164457263813,0.002808235202354889,0.002808235202354896,1.5017430946634485,0.7555529416533722,0.030222117666134887,0.029211152993287123,0.8000344300112543,4.346,0.449,4.795,0.96,0.099,1.059,0.114
2023-24,Daryl Watts,63,OTT,F,24,417.09999999999997,6.725999999999998,3.480347317626845,0.9675377607288419,0.5006493384263024,0.007129750968665733,0.00712975096866574,0.7192519779429394,-0.2682455346375396,-0.010729821385501584,-0.01329653173422125,0.9542412289946206,4.609,0.039,4.648,1.018,0.009,1.027,0.148
2023-24,Emily Clark,53,OTT,F,24,447.99999999999994,6.777,3.756022175829311,0.9076339285714288,0.5030386842628541,0.008865245304354936,0.008865245304354943,0.5357142857142858,-0.45178322686619315,-0.018071329074647726,-0.021262817384215506,0.8863711111872132,4.503,-0.018,4.485,0.994,-0.004,0.99,0.133
2023-24,Maureen Murphy,98,MTL,RW,27,501.3500000000001,7.010000000000001,4.481686168883389,0.8389348758352447,0.5363541839692895,-2.705160919938554e-05,-2.705160919937852e-05,0.7180612346664006,-0.48044534803763533,-0.019217813921505414,-0.019208075342193636,0.8197268004930511,4.465,-0.002,4.463,0.986,-0.0,0.986,0.118
2023-24,Michela Cava,115,MIN,F,34,542.4333333333334,6.625000000000002,3.755221719712283,0.7328089473360783,0.41537510572617886,-0.009517023620981876,-0.00951702362098187,0.33183801388803535,-0.09759761502021164,-0.0039039046008084656,-0.00047777609725499276,0.7323311712388233,3.871,0.167,4.038,0.855,0.037,0.892,0.099
2023-24,Denisa Křížová,104,MIN,F,34,561.8833333333333,6.702000000000002,3.967614585130553,0.7156645804289149,0.42367669760834076,-0.0014025628392832917,-0.0014025628392832848,0.10678373327796399,-0.322651895630283,-0.01290607582521132,-0.012401153203069337,0.7032634272258456,3.85,0.061,3.911,0.85,0.013,0.863,0.092
2023-24,Alina Müller,15,BOS,C,32,678.3666666666667,7.213000000000002,5.771577270729631,0.6379735639526315,0.5104829781000116,-0.00027426114238964547,-0.0002742611423896385,0.0,-0.5076091519134311,-0.020304366076537246,-0.020205632065276976,0.6177679318873546,3.769,-0.015,3.754,0.832,-0.003,0.829,0.073
2023-24,Gabbie Hughes,57,OTT,F,24,446.74999999999994,5.729,3.709379045037576,0.7694236149972021,0.4981818527190925,0.0024998454818944537,0.0024998454818944606,0.5372132064913263,-0.45028430608915265,-0.018011372243566106,-0.01891131661704811,0.750512298380154,3.461,0.0,3.461,0.764,0.0,0.764,0.103
2023-24,Loren Gabel,8,BOS,LW,23,270.96666666666664,4.706000000000001,2.2826187826354074,1.0420469922499696,0.5054390218653874,-0.0009077479957467136,-0.0009077479957467065,0.0,-0.5076091519134311,-0.020304366076537246,-0.01997757679806843,1.0220694154519012,3.33,-0.005,3.325,0.735,-0.001,0.734,0.163
2023-24,Kelly Pannek,23,MIN,F,34,696.0166666666667,6.188,5.051128001703652,0.533435502023419,0.43543164210945967,0.008363347703154847,0.008363347703154854,1.4654821484159861,1.036046519507739,0.041441860780309564,0.03843105560717382,0.5718665576305929,2.655,0.665,3.32,0.586,0.147,0.733,0.063
2023-24,Jade Downie-Landry,35,NY,C,24,334.8833333333333,4.655000000000001,3.5139418443270762,0.8340217986363413,0.6295819757914435,0.006192280738202591,0.006192280738202598,1.254168118250137,0.5314120539874208,0.02125648215949683,0.019027261093743895,0.8530490597300852,2.955,0.212,3.167,0.652,0.047,0.699,0.125
2023-24,Kristin O'Neill,30,MTL,C,26,539.3833333333333,5.269,4.760755422420514,0.5861137719000092,0.5295775892443176,-0.009563193633638806,-0.009563193633638799,1.557333992522325,0.35882740981828914,0.014353096392731565,0.017795846100841534,0.6039096180008507,2.531,0.33,2.861,0.559,0.073,0.632,0.07
2023-24,Sidney Morin,167,BOS,RD,32,620.9166666666667,6.001999999999998,5.318932510066155,0.5799812105757614,0.5139754941950921,0.002585267280143141,0.002585267280143148,0.8696819218896792,-0.5943285272184327,-0.023773141088737307,-0.02470383730958884,0.5552773732661725,2.85,-0.06,2.79,0.629,-0.013,0.616,0.06
2023-24,Liz Schepers,97,MIN,F,29,397.53333333333336,4.58,2.79020344413706,0.6912627871876572,0.4211274693482063,-0.004218137150411735,-0.0042181371504117285,0.30186147912124767,-0.12757414978699932,-0.005102965991479973,-0.0035844366173317507,0.6876783505703254,2.562,0.102,2.664,0.566,0.023,0.589,0.089
2023-24,Rebecca Leslie,72,TOR,RW,29,306.58333333333337,3.9890000000000008,2.3623773867532543,0.7806686599619462,0.4623299044474974,-0.0010160423751884445,-0.0010160423751884376,0.978526773579777,0.2323366205697007,0.009293464822788028,0.009659240077855865,0.7903279000398021,2.433,0.146,2.579,0.537,0.032,0.569,0.111
2023-24,Emma Maltais,73,TOR,C,29,566.8500000000001,5.168000000000003,4.386510698757181,0.5470230219634826,0.4643038580319852,-0.0015923355040295545,-0.0015923355040295475,0.6350886477904206,-0.1111015052196557,-0.0044440602087862284,-0.0038708194273355916,0.543152202536147,2.29,0.142,2.432,0.506,0.031,0.537,0.057
2023-24,Brittany Howard,69,TOR,RW,28,335.5333333333334,4.066000000000001,2.6129201970547227,0.727081263659845,0.4672418393302702,0.0033109850277529412,0.003310985027752948,0.3576395787800516,-0.3885505742300247,-0.015542022969200988,-0.01673397757919205,0.710347286080653,2.363,0.012,2.375,0.522,0.003,0.525,0.094
2023-24,Sophie Jaques,11,MIN,RD,25,645.1833333333333,5.514999999999999,4.293255209045259,0.5128774766862131,0.39925909308886187,-0.028033592566506657,-0.02803359256650665,0.9299682260856088,-0.4558687000173189,-0.018234748000692757,-0.008142654676750363,0.5047348220094627,2.24,0.116,2.356,0.495,0.026,0.521,0.048
2023-24,Sophia Kunin,103,MIN,F,33,417.53333333333336,4.271000000000001,2.9796635854398716,0.6137474053967747,0.42818093994824913,0.001989251539700823,0.00198925153970083,0.2874022034168928,-0.14203342549135417,-0.005681337019654167,-0.0063974675739464654,0.6073499378228283,2.151,0.087,2.238,0.475,0.019,0.494,0.071
2023-24,Hannah Miller,89,TOR,LW,28,430.6,4.348,3.3314242024398895,0.6058522991175104,0.4642021647617124,-0.001051906062340749,-0.001051906062340742,0.41802136553646074,-0.32816878747361555,-0.013126751498944622,-0.012748065316501956,0.5931042338010084,2.162,0.044,2.206,0.477,0.01,0.487,0.068
2023-24,Élizabeth Giguère,37,NY,RW,24,306.3833333333333,3.682,3.1874473529252025,0.7210574987760431,0.6242077174852162,-0.0004149851127413645,-0.0004149851127413575,0.5874993200239352,-0.13525674423878098,-0.005410269769551239,-0.00526087512896435,0.7157966236470787,2.127,0.07,2.197,0.47,0.015,0.485,0.095
2023-24,Paetyn Levis,40,NY,LW,23,306.4166666666667,3.557,3.243724150630442,0.6965025836279575,0.6351594746951097,0.010268754717547221,0.010268754717547228,0.5874354093010606,-0.13532065496165557,-0.005412826198466223,-0.009109577896783225,0.6873930057311742,2.001,0.05,2.051,0.442,0.011,0.453,0.089
2023-24,Tereza Vanišová,161,MTL,LW,17,279.41666666666663,3.479,2.606629532442245,0.7470563674321504,0.5597295745178695,0.022345483221260592,0.0223454832212606,0.6441992245750076,-0.5543073581290283,-0.022172294325161133,-0.030216668284814948,0.7168396991473355,2.061,-0.053,2.008,0.455,-0.012,0.443,0.095
2023-24,Abby Boreen,114,MIN,LW,14,235.11666666666662,3.1710000000000003,1.6401433829924028,0.8092152831927414,0.4185522207962466,-0.00550593189906988,-0.005505931899069873,0.0,-0.429435628908247,-0.01717742515632988,-0.015195289672664725,0.7940199935200767,1.977,0.015,1.992,0.436,0.003,0.439,0.112
2023-24,Kati Tabin,84,MTL,LD,27,648.2333333333335,4.930000000000001,5.835676923963999,0.4563171697434051,0.5401459589209233,-0.0004115564108756742,-0.0004115564108756672,2.4065408546305336,0.25163297473181695,0.010065318989272678,0.010213479297187918,0.466530649040593,1.639,0.315,1.954,0.362,0.07,0.432,0.04
2023-24,Susanna Tapani,78,BOS,C,25,586.35,4.680000000000001,4.940524797633044,0.47889485801995396,0.5055538293817389,-0.006939757050538445,-0.006939757050538438,0.4093118444614991,-0.0982973074519321,-0.003931892298077284,-0.0014335797598834465,0.4774612782600705,1.703,0.171,1.874,0.376,0.038,0.414,0.042
2023-24,Natalie Snodgrass,142,OTT,C,23,294.7833333333333,3.1470000000000007,2.456373840761993,0.6405382484310512,0.4999686677640739,0.0028798742273443544,0.0028798742273443614,1.0176966133318257,0.03019910075134674,0.0012079640300538697,0.00017120930820989973,0.6407094577392611,1.651,0.094,1.745,0.365,0.021,0.386,0.079
2023-24,Sophie Shirley,18,BOS,RW,28,368.5833333333333,3.529000000000001,3.101376589894709,0.5744698168663804,0.5048589520063738,-0.006591431878821322,-0.006591431878821315,0.32557087949355645,-0.18203827241987475,-0.00728153089679499,-0.004908615420419317,0.5695612014459611,1.658,0.086,1.744,0.366,0.019,0.385,0.063
2023-24,Jaime Bourbonnais,87,NY,RD,24,606.2833333333335,4.652,6.302703085172416,0.4603788107870356,0.6237383815768395,-0.003729634004377161,-0.003729634004377154,1.3854908321191957,-0.29366652933820125,-0.01174666117352805,-0.010403992931952275,0.4499748178550833,1.574,0.086,1.66,0.348,0.019,0.367,0.036
2023-24,Jesse Compher,65,TOR,C,29,444.8833333333334,3.7340000000000004,3.4345568317127775,0.503592702206571,0.46320775462353414,-0.0031624817029547586,-0.0031624817029547517,0.8092009140973289,0.06301076108725254,0.0025204304434901016,0.003658923856553812,0.5072516260631249,1.476,0.167,1.643,0.326,0.037,0.363,0.049
2023-24,Hannah Brandt,1,BOS,C,32,608.8333333333333,4.193000000000001,5.248202321175474,0.41321653435532457,0.5172058132009775,0.003995346579976974,0.003995346579976981,1.1825896523405421,0.674980500427111,0.02699922001708444,0.025560895248292727,0.4387774296036173,1.102,0.451,1.553,0.243,0.1,0.343,0.034
2023-24,Claire Dalton,26,MTL,LW,23,319.36666666666673,2.9160000000000004,2.803112706152949,0.5478342552969417,0.5266259128562057,-0.012932691694952397,-0.01293269169495239,1.315102807640121,0.11659622493608507,0.004663848997443403,0.009319618007626262,0.557153873304568,1.295,0.15,1.445,0.286,0.033,0.319,0.06
2023-24,Ella Shelton,44,NY,LD,24,635.2666666666668,4.523,6.633807713737249,0.427190681078812,0.6265533573684041,-0.0012769072983721125,-0.0012769072983721055,1.4167278833035994,-0.26242947815379747,-0.010497179126151899,-0.01003749249873794,0.41715318858007405,1.298,0.094,1.392,0.287,0.021,0.308,0.029
2023-24,Taylor Girard,9,BOS,LW,23,283.95,2.5309999999999997,2.3596710378433485,0.5348124669836238,0.49860983367001555,-0.013273410965605794,-0.013273410965605787,1.479133650290544,0.971524498377113,0.03886097993508452,0.043639407882702604,0.5784518748663264,1.09,0.296,1.386,0.241,0.065,0.306,0.065
2023-24,Maggie Connors,66,TOR,LW,29,440.7166666666666,3.5280000000000014,3.4018730673419855,0.4803085882842343,0.4631374292792478,-0.003486953606585866,-0.003486953606585859,0.5445675604129638,-0.2016225925971125,-0.0080649037038845,-0.0068096004055135904,0.4734989878787207,1.291,0.089,1.38,0.285,0.02,0.305,0.042
2023-24,Mélodie Daoust,168,MTL,RW,9,201.4333333333333,2.3529999999999998,1.6643139101690343,0.7008770478239285,0.4957413599709188,-0.04214677950336429,-0.04214677950336428,0.5957305973854047,-0.6027759853186312,-0.02411103941274525,-0.008938198791534107,0.6919388490323943,1.33,0.033,1.363,0.294,0.007,0.301,0.09
2023-24,Sarah Bujold,81,MTL,C,21,294.1166666666667,2.6610000000000005,2.6965463900498765,0.5428458094860317,0.5500972972278322,0.010484243692978484,0.010484243692978491,1.6320054400181334,0.4334988573140975,0.0173399542925639,0.013565626563091645,0.5564114360491234,1.168,0.159,1.327,0.258,0.035,0.293,0.06
2023-24,Sarah Lefort,158,MTL,LW,26,305.91666666666663,2.8360000000000003,2.749692200535559,0.5562299101062382,0.539302202229802,-0.00016476358473319075,-0.00016476358473318373,0.7845273767365841,-0.4139792059674518,-0.01655916823869807,-0.016499853348194125,0.5397300567580441,1.283,0.012,1.295,0.283,0.003,0.286,0.056
2023-24,Mikyla Grant-Mentis,138,MTL,RW,10,166.75,1.969,1.305363928139579,0.7084857571214394,0.4696961660472248,-0.06810892421610412,-0.06810892421610411,0.7196401799100449,-0.478866402793991,-0.019154656111759642,0.005364556606037834,0.7138503137274772,1.122,0.067,1.189,0.248,0.015,0.263,0.095
2023-24,Brittyn Fleming,105,MIN,F,32,357.69999999999993,2.8640000000000008,2.551106262680975,0.4804025719876994,0.42791829958305433,0.0002711497070715524,0.0002711497070715594,0.5032149846239866,0.07377935571573963,0.002951174228629585,0.0028535603340838233,0.48325613232178327,1.048,0.13,1.178,0.231,0.029,0.26,0.044
2023-24,Kateřina Mrázová,88,OTT,F,23,390.7333333333333,2.993000000000001,3.2483867616413202,0.4595973383381678,0.4988138688751388,-0.0002498982379182269,-0.00024989823791821993,1.0749018938747656,0.08740438129428668,0.003496175251771467,0.0035861386174220263,0.4631834769555898,1.009,0.147,1.156,0.223,0.032,0.255,0.039
2023-24,Fanni Garát-Gasparics,137,OTT,F,15,125.59999999999998,1.791,1.0181132670788853,0.8555732484076434,0.48635984096125096,-0.008381841340538225,-0.008381841340538218,0.0,-0.987497512580479,-0.03949990050321916,-0.0364824376206254,0.819090810787018,1.153,-0.037,1.116,0.255,-0.008,0.247,0.118
2023-24,Shiann Darkangelo,4,BOS,RW,17,202.79999999999995,2.1220000000000003,1.7205852809551596,0.6278106508875742,0.5090488996908757,-0.0018192679466115167,-0.0018192679466115097,0.0,-0.5076091519134311,-0.020304366076537246,-0.0196494296157571,0.608161221271817,1.092,-0.002,1.09,0.241,-0.0,0.241,0.071
2023-24,Samantha Cogan,126,TOR,RW,28,239.35000000000002,2.072,1.8307938812742393,0.5194067265510758,0.45894143670964843,-0.007256189231495583,-0.007256189231495576,1.5040735324838101,0.7578833794737339,0.030315335178949354,0.032927563302287764,0.5523342898533635,0.857,0.207,1.064,0.189,0.046,0.235,0.059
2023-24,Becca Gilmore,55,OTT,F,22,260.51666666666665,2.072,2.1929719616168892,0.4772055530676221,0.5050667943075172,0.00619522120298553,0.006195221202985537,2.3031156036082145,1.3156180910277355,0.05262472364110942,0.050394444008034625,0.5275999970756567,0.749,0.301,1.05,0.165,0.066,0.231,0.053
2023-24,Abby Roque,42,NY,C,24,497.93333333333334,3.554,5.216643458464208,0.42825010041504885,0.6285954093744527,0.0007767082904739792,0.0007767082904739862,0.24099611728477707,-0.4817599469779391,-0.019270397879117565,-0.0195500128636882,0.40870008755136067,1.026,-0.005,1.021,0.227,-0.001,0.226,0.027
2023-24,Susanna Tapani,78,MIN,F,9,148.8,1.688,1.2657929030586832,0.6806451612903225,0.5104003641365658,0.08493886604339458,0.0849388660433946,1.6129032258064515,1.1834675968982045,0.04733870387592818,0.01676071210030613,0.6974058733906287,0.933,0.088,1.021,0.206,0.019,0.225,0.091
2023-24,Victoria Bach,125,TOR,LW,21,271.8166666666666,2.301,2.172801505788809,0.5079158746704274,0.479617721554952,0.013294672740550004,0.01329467274055001,0.6622110491139863,-0.08397910389609001,-0.0033591641558436,-0.008145246342441605,0.4997706283279858,0.921,0.049,0.97,0.203,0.011,0.214,0.047
2023-24,Lexie Adzija,49,OTT,F,17,266.68333333333334,2.3280000000000003,2.2148932668540815,0.5237672645459659,0.4983198400521651,-4.3511059943062216e-05,-4.3511059943055196e-05,0.2249859383788513,-0.7625115742016277,-0.03050046296806511,-0.03048479898648561,0.4932824655594803,0.974,-0.051,0.923,0.215,-0.011,0.204,0.046
2023-24,Megan Keller,12,BOS,LD,32,854.8999999999999,4.932000000000001,7.326293570359952,0.3461457480407067,0.5141860033004997,0.0002434577336882318,0.0002434577336882388,1.5440402386244008,0.08002978951628886,0.0032011915806515545,0.003113546796523789,0.3492592948372305,0.592,0.314,0.906,0.131,0.069,0.2,0.014
2023-24,Kayla Vespa,45,NY,LW,23,234.66666666666666,1.9699999999999998,2.4415480003968426,0.5036931818181818,0.6242594319196473,-0.0027358064537071486,-0.0027358064537071416,1.022727272727273,0.2999712084645567,0.01199884833858227,0.01298373866191684,0.5166769204800986,0.779,0.125,0.904,0.172,0.028,0.2,0.051
2023-24,Theresa Schafzahl,17,BOS,LW,28,421.21666666666664,2.9930000000000003,3.6531840557363697,0.42633640644165716,0.5203759981264959,0.0073087351661933,0.007308735166193307,0.2848890119890793,-0.2227201399243519,-0.008908805596974077,-0.011539950256803667,0.4147964561848535,0.855,0.052,0.907,0.189,0.011,0.2,0.028
2023-24,Catherine Dubois,157,MTL,LW,24,247.05,2.0709999999999997,2.2145879396893617,0.5029751062537947,0.5378477084855766,-0.0022005345556901645,-0.0022005345556901576,1.2143290831815423,0.015822500477506385,0.0006329000191002554,0.001425092459148712,0.5044001987129434,0.817,0.084,0.901,0.18,0.019,0.199,0.048
2023-24,Madison Packer,148,NY,D,23,170.83333333333334,1.6879999999999997,1.785338630169159,0.5928585365853657,0.6270457627911192,0.0010237660108276952,0.0010237660108277022,1.7560975609756095,0.07694019951821261,0.0030776079807285045,0.002709052216830532,0.5955675888021962,0.821,0.062,0.883,0.181,0.014,0.195,0.068
2023-24,Jill Saulnier,149,NY,LW,18,225.03333333333333,1.866,2.296966850750437,0.49752629240112584,0.6124337626056564,-0.014628787486427444,-0.014628787486427437,1.0665086653829061,0.3437526011201899,0.013750104044807596,0.019016467539921474,0.5165427599410473,0.724,0.142,0.866,0.16,0.031,0.191,0.051
2023-24,Gigi Marvin,109,BOS,C,32,382.35,2.7880000000000003,3.3369529014748918,0.4375049038838761,0.5236489449156362,0.010703586323584766,0.010703586323584773,0.15692428403295408,-0.3506848678804771,-0.014027394715219084,-0.0178806857917096,0.4196242180921665,0.847,0.007,0.854,0.187,0.002,0.189,0.03
2023-24,Mikyla Grant-Mentis,138,OTT,F,6,77.85000000000001,1.1509999999999998,0.6062012979529549,0.887090558766859,0.4672071660523736,-0.0271905041897635,-0.027190504189763494,1.541425818882466,0.5539283063019871,0.022157132252079485,0.031945713760394345,0.9190362725272534,0.756,0.066,0.822,0.167,0.015,0.182,0.14
2023-24,Alexandra Labelle,39,NY,C,24,254.35000000000002,1.7890000000000001,2.6410814081684575,0.4220169058384116,0.6230190072345485,-0.004867729290274639,-0.004867729290274632,1.6512679378808726,0.9285118736181563,0.037140474944726255,0.03889285748922512,0.4609097633276367,0.498,0.245,0.743,0.11,0.054,0.164,0.039
2023-24,Chloé Aurard-Bushee,33,NY,RW,21,251.69999999999996,2.047,2.6939232322270694,0.48796185935637676,0.6421747871816615,0.015007841115631068,0.015007841115631075,0.23837902264600722,-0.484377041616709,-0.01937508166466836,-0.024777904466295547,0.46318395489008124,0.769,-0.025,0.744,0.17,-0.006,0.164,0.039
2023-24,Lexie Adzija,49,BOS,C,15,194.51666666666665,1.637,1.6530395860877571,0.5049438779881759,0.5098913983305566,-0.0023178625387507068,-0.0023178625387507,0.30845685888098706,-0.19915229303244414,-0.007966091721297766,-0.007131661207347514,0.4978122167808283,0.65,0.038,0.688,0.144,0.008,0.152,0.047
2023-24,Amanda Pelkey,110,BOS,RW,31,372.7333333333334,2.403,3.2520366773529155,0.3868181005186907,0.5234900750523382,0.009991469009152773,0.00999146900915278,0.6438919692362725,0.13628281732284125,0.00545131269291365,0.0018543838496186491,0.38867248436830937,0.511,0.129,0.64,0.113,0.028,0.141,0.023
2023-24,Emma Woods,86,NY,LW,24,375.95000000000005,2.531,3.8896458423497613,0.4039366937092698,0.6207707156296999,-0.0073133667645075146,-0.007313366764507508,0.15959569091634523,-0.563160373346371,-0.022526414933854842,-0.01989360289863214,0.3840430908106377,0.622,-0.006,0.616,0.137,-0.001,0.136,0.022
2023-24,Gabrielle David,156,MTL,RW,26,360.65000000000003,2.3280000000000003,3.2352207297011266,0.38730070705670316,0.5382316478083117,-0.0030791835649941757,-0.0030791835649941687,1.1645639816997087,-0.03394260100432728,-0.0013577040401730911,-0.00024919795677519037,0.38705150909992797,0.497,0.112,0.609,0.11,0.025,0.135,0.022
2023-24,Jillian Dempsey,27,MTL,C,26,201.83333333333331,1.4580000000000002,1.9213953121726026,0.4334269199009084,0.5711827517606416,0.03037538890364086,0.030375388903640867,2.0809248554913298,0.8824182727872938,0.035296730911491755,0.024361590906181042,0.4577885108070895,0.433,0.146,0.579,0.096,0.032,0.128,0.038
2023-24,Clair DeGeorge,116,MIN,F,33,344.7666666666666,2.1750000000000003,2.43487196281312,0.37851687131393225,0.4237425827190967,-0.00501665157457247,-0.005016651574572463,0.5220922362950788,0.09265660738683185,0.003706264295473274,0.005512258862319361,0.3840291301762516,0.425,0.14,0.565,0.094,0.031,0.125,0.022
2023-24,Sophie Jaques,11,BOS,RD,6,105.68333333333335,0.767,0.9266106725426108,0.4354518214792619,0.5260681944730166,0.01310042644632121,0.013100426446321216,5.6773379593124105,4.213327510204298,0.16853310040817193,0.1638169468874963,0.5992687683667582,0.23,0.322,0.552,0.051,0.071,0.122,0.069
2023-24,Kaitlin Willoughby,128,TOR,LW,27,184.66666666666663,1.2790000000000001,1.4257113854091763,0.41555956678700373,0.4632275259452198,-0.004103593777984929,-0.004103593777984922,1.2996389891696754,0.5534488361595991,0.022137953446383963,0.023615247206458533,0.43917481399346225,0.342,0.131,0.473,0.076,0.029,0.105,0.034
2023-24,Ann-Sophie Bettez,80,MTL,LW,15,217.53333333333333,1.6369999999999998,2.149835259096634,0.45151700888752677,0.5929671263214743,0.052357217139950535,0.05235721713995054,0.5516395954642966,-0.6468669872397392,-0.02587467948958957,-0.044723277659971764,0.406793731227555,0.533,-0.094,0.439,0.118,-0.021,0.097,0.027
2023-24,Kennedy Marchment,29,MTL,RW,9,97.71666666666667,1.0230000000000001,1.0537739845101148,0.628142589118199,0.6470384349712457,0.108356397456113,0.10835639745611302,0.0,-1.198506582704036,-0.04794026330816144,-0.08694856639236212,0.5411940227258368,0.527,-0.111,0.416,0.116,-0.025,0.091,0.056
2023-24,Micah Zandee-Hart,47,NY,LD,18,397.5166666666667,2.0180000000000002,4.025010802382412,0.30459100247369086,0.6075233276833961,-0.021645114875748675,-0.021645114875748668,2.5659301496792586,0.8867727882218617,0.035470911528874466,0.043263152884143986,0.34785415535783487,0.0,0.412,0.412,0.0,0.091,0.091,0.014
2023-24,Amanda Boulier,51,MTL,RD,9,214.0,0.8929999999999999,1.7214887145598978,0.2503738317757009,0.4826603872597845,-0.060145003638121114,-0.06014500363812111,5.327102803738318,3.172194923839601,0.12688779695358404,0.14853999826330763,0.3989138300390085,-0.193,0.597,0.404,-0.043,0.132,0.089,0.025
2023-24,Tereza Vanišová,161,OTT,LW,6,78.46666666666667,0.6649999999999999,0.6368222323176905,0.5084961767204756,0.4869498802769086,-0.011580155057809254,-0.011580155057809247,2.293967714528462,1.306470201947983,0.05225880807791932,0.05642766389873065,0.5649238406192063,0.267,0.099,0.366,0.059,0.022,0.081,0.062
2023-24,Brooke Bryant,91,MIN,F,25,172.81666666666666,1.049,1.328770051742874,0.3642009837014177,0.46133399423997945,0.03241850175272716,0.03241850175272717,1.7359436782717717,1.3065080493635246,0.05226032197454099,0.04058966134355921,0.40479064504497686,0.172,0.171,0.343,0.038,0.038,0.076,0.026
