season,PlayerID,name,team,pos,GP,TOI,xG_season,actual_goals,changed_team
2023-24,68,Kali Flanagan,TOR,D,23,488.5,1.9361781606553032,3,False
2023-24,69,Brittany Howard,TOR,F,22,243.16666666666666,2.6547029143476495,2,False
2023-24,71,Jocelyne Larocque,TOR,D,22,610.6166666666667,3.110930241874553,0,False
2023-24,72,Rebecca Leslie,TOR,F,23,243.1,3.0476717109675557,2,False
2023-24,73,Emma Maltais,TOR,F,23,432.3,4.5825087427853015,5,False
2023-24,74,Allie Munroe,TOR,D,23,431.81666666666666,1.1734140807146332,1,False
2023-24,75,Sarah Nurse,TOR,F,23,429.8333333333333,5.882387687414192,11,False
2023-24,76,Blayre Turnbull,TOR,F,23,441.56666666666666,6.230327732214614,3,False
2023-24,78,Susanna Tapani,BOS,F,25,481.01666666666665,5.231449448268285,4,True
2023-24,79,Maggie Flaherty,MIN,D,24,459.18333333333334,2.4524082180916866,1,False
2023-24,80,Ann-Sophie Bettez,MTL,F,14,208.66666666666666,1.5615980317274043,2,False
