Season,Name,PlayerID,Team,position,GP,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,pm60_resid,d_adj_pm60,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win
2023-24,Natalie Spooner,100,TOR,F,23,432.81666666666666,19,6,1,10,4,9.730306585875761,1.3862682429050022,0.4699075861144707,0.4699075861144707,1.247641418614502,0.31684761639563014,0.012673904655825206,1.348881501372896,0.18184063565703465,1.5307221370299307,6.539,1.312,7.851,8.062,2.863,10.925,1.344,0.477,1.821,0.252,0.2312,-0.215,6.0
2023-24,Kendall Coyne Schofield,20,MIN,F,24,458.96666666666664,6,4,6,12,6,7.65130359401475,1.5687413755537802,0.7291647469547279,0.7291647469547279,1.0458275837025204,0.3713625914409805,0.01485450365763922,1.0002430437378567,0.2773538125613413,1.277596856299198,4.267,2.122,6.389,5.883,3.766,9.649,0.98,0.628,1.608,0.21,0.2312,-0.215,6.0
2023-24,Hilary Knight,13,BOS,F,23,498.54999999999995,5,3,2,6,6,6.378798726574693,0.7220940728111523,0.546792759608306,0.546792759608306,1.3238391334871127,0.5144943296975278,0.020579773187901114,0.7676821253524855,0.21742516664689124,0.9851072919993767,2.703,1.807,4.51,4.458,3.593,8.051,0.743,0.599,1.342,0.162,0.2312,-0.215,6.0
2023-24,Marie-Philip Poulin,31,MTL,F,20,437.3833333333333,10,6,7,9,14,5.474204912587396,1.2346149449376975,0.8616756614018031,0.8616756614018031,1.783332698243341,0.22198668618926543,0.008879467447570618,0.750948355192418,0.31908270555221974,1.0700310607446377,2.249,2.326,4.575,3.789,3.893,7.682,0.632,0.649,1.281,0.176,0.2312,-0.215,6.0
2023-24,Hayley Scamurra,61,OTT,F,22,425.91666666666663,4,4,0,2,2,6.927951333588318,0.2817452553316377,0.19277761403091434,0.19277761403091434,1.5495989043240073,0.5664013245504809,0.022656052982019236,0.9759587087035002,0.0920559940331484,1.0680147027366487,3.787,0.653,4.44,5.287,2.18,7.467,0.881,0.363,1.244,0.175,0.2312,-0.215,6.0
2023-24,Grace Zumwinkle,25,MIN,F,24,452.71666666666664,11,7,1,6,4,7.787596228336375,0.7951993520597873,-0.059927114883794985,-0.059927114883795,0.39759967602989366,-0.27686531623164623,-0.011074612649265849,1.0321152458127214,-0.03264837400743205,0.9994668718052894,4.449,-0.246,4.203,6.043,1.376,7.419,1.007,0.229,1.236,0.164,0.2312,-0.215,6.0
2023-24,Laura Stacey,32,MTL,F,21,455.0333333333333,9,5,3,6,2,6.586869042569863,0.7911508314409201,0.3608435213498569,0.3608435213498569,1.3185847190682003,-0.24276129298587534,-0.009710451719435013,0.8685344866036009,0.12019321596651347,0.9887277025701143,3.232,0.912,4.144,4.833,2.542,7.375,0.806,0.424,1.23,0.162,0.2312,-0.215,6.0
2023-24,Kelly Pannek,23,MIN,F,24,480.0,4,6,5,11,2,4.452894906635858,1.375,0.7518625469476999,0.7518625469476999,2.125,1.45053500773846,0.0580214003095384,0.5566118633294822,0.32869191721071034,0.8853037805401925,0.913,2.63,3.543,2.603,4.35,6.953,0.434,0.725,1.159,0.145,0.2312,-0.215,6.0
2023-24,Emily Clark,53,OTT,F,22,409.51666666666665,3,7,3,4,8,5.54185304699903,0.5860567335476782,0.577100892439017,0.577100892439017,0.5860567335476782,-0.3971408462258482,-0.01588563384903393,0.8119600736313748,0.19187068742901217,1.003830761060387,2.522,1.31,3.832,3.964,2.777,6.741,0.661,0.463,1.124,0.165,0.2312,-0.215,6.0
2023-24,Alina Müller,15,BOS,F,23,455.5,5,8,3,7,6,4.451371275655548,0.9220636663007684,0.8352309909856188,0.8352309909856188,0.0,-0.8093448037895848,-0.0323737921515834,0.5863496740709833,0.2683093646032394,0.8546590386742227,1.093,2.037,3.13,2.696,3.669,6.365,0.449,0.612,1.061,0.14,0.2312,-0.215,6.0
2023-24,Alex Carpenter,34,NY,F,23,495.7833333333333,8,6,8,-9,0,6.591315124941964,-1.0891854640804115,-0.07181851931277627,-0.07181851931277629,0.8471442498403201,0.17073366440246307,0.006829346576098523,0.7976849581400166,-0.01902532037650094,0.7786596377635157,2.936,-0.157,2.779,4.681,1.619,6.3,0.78,0.27,1.05,0.127,0.2312,-0.215,6.0
2023-24,Gabbie Hughes,57,OTT,F,22,411.54999999999995,9,0,3,3,18,5.176853387732041,0.43737091483416357,0.45633407701982087,0.45633407701982087,0.5831612197788848,-0.4000363599946416,-0.016001454399785665,0.7547350340515672,0.14827881332734982,0.903013847378917,2.142,1.017,3.159,3.591,2.492,6.083,0.598,0.415,1.013,0.148,0.2312,-0.215,6.0
2023-24,Megan Keller,12,BOS,D,23,579.9666666666667,4,8,3,8,12,2.7760619754334868,0.8276337720558653,0.8867527843994158,0.8867527843994158,2.2759928731536294,0.20440126902814018,0.008176050761125608,0.2871953305236092,0.3274070531449153,0.6146023836685245,-1.5,3.165,1.665,0.541,5.243,5.784,0.09,0.874,0.964,0.1,0.2312,-0.215,6.0
2023-24,Jessie Eldridge,36,NY,F,23,425.5833333333333,7,5,2,-10,10,6.635428213520057,-1.409829645584492,-0.4596914105684695,-0.4596914105684695,1.1278637164675935,0.4514531310297365,0.018058125241189462,0.935482340656832,-0.14743078256345957,0.7880515580933725,3.497,-1.046,2.451,4.995,0.479,5.474,0.832,0.08,0.912,0.129,0.2312,-0.215,6.0
2023-24,Susanna Tapani,78,BOS,F,16,332.21666666666664,2,2,4,8,6,2.74862228154519,1.4448402147193098,1.40188494786204,1.40188494786204,0.7224201073596549,-0.08692469642992992,-0.003476987857197197,0.49641500093125396,0.5012015933731372,0.9976165943043911,0.299,2.775,3.074,1.468,3.966,5.434,0.245,0.661,0.906,0.164,0.2312,-0.215,6.0
2023-24,Emma Maltais,73,TOR,F,23,432.3,5,6,7,9,14,3.5858355382359584,1.2491325468424705,0.7480533741265812,0.7480533741265812,0.8327550312283136,-0.0980387709905582,-0.0039215508396223285,0.4976870976038804,0.2653776638459469,0.7630647614498274,0.398,1.912,2.31,1.92,3.461,5.381,0.32,0.577,0.897,0.124,0.2312,-0.215,6.0
2023-24,Ella Shelton,44,NY,D,23,605.8333333333334,6,11,3,-6,10,3.326444601808575,-0.5942228335625859,0.6515911193389332,0.6515911193389332,1.485557083906465,-0.45310030186729655,-0.018124012074691862,0.3294415561626099,0.21644879088732408,0.545890347049934,-1.141,2.186,1.045,0.992,4.357,5.349,0.165,0.726,0.891,0.088,0.2312,-0.215,6.0
2023-24,Brianne Jenner,58,OTT,F,22,404.31666666666666,9,5,3,1,4,4.9473386669983315,0.1483985325034008,0.17739117733899126,0.17739117733899126,0.741992662517004,-0.2412049172565224,-0.009648196690260897,0.7341777979798835,0.05421262715177596,0.7883904251316595,1.966,0.365,2.331,3.389,1.814,5.203,0.565,0.302,0.867,0.129,0.2312,-0.215,6.0
2023-24,Blayre Turnbull,76,TOR,F,23,441.56666666666666,3,3,2,5,14,4.721211360354964,0.6793991092322791,0.10814790066443603,0.10814790066443601,1.9023175058503812,0.9715237036315093,0.03886094814526037,0.6415173585444958,0.07779419238445734,0.7193115509289532,1.465,0.573,2.038,3.02,2.155,5.175,0.503,0.359,0.862,0.117,0.2312,-0.215,6.0
2023-24,Sarah Nurse,75,TOR,F,23,429.8333333333333,11,8,3,4,12,5.04509640424648,0.5583559519193486,-0.04349638670450512,-0.04349638670450513,1.3958898797983714,0.4650960775794996,0.018603843103179984,0.7042399013294816,0.0029451438895581362,0.7071850452190397,1.876,0.021,1.897,3.389,1.561,4.95,0.565,0.26,0.825,0.115,0.2312,-0.215,6.0
2023-24,Daryl Watts,63,OTT,F,22,377.26666666666665,10,3,2,-1,6,5.135105093860574,-0.1590386994168581,-0.17029751487782432,-0.17029751487782432,0.7951934970842905,-0.18800408268923588,-0.007520163307569435,0.8166804354964687,-0.06882726866358618,0.7478531668328825,2.353,-0.433,1.92,3.681,0.919,4.6,0.614,0.153,0.767,0.122,0.2312,-0.215,6.0
2023-24,Taylor Heise,21,MIN,F,19,369.6166666666667,4,6,3,5,8,3.907293339774998,0.8116517112323579,0.15062523217195734,0.15062523217195734,1.4609730802182441,0.7865080879567042,0.03146032351826817,0.6342722651030344,0.0856854071001728,0.7199576722032072,1.182,0.528,1.71,2.483,1.852,4.335,0.414,0.309,0.723,0.117,0.2312,-0.215,6.0
2023-24,Erin Ambrose,83,MTL,D,22,560.75,4,10,4,6,4,2.610614979753562,0.6419973250111458,0.4991493615407186,0.4991493615407186,2.8889879625501558,0.06539515016017572,0.002615806006407029,0.2793346389393022,0.18230957616106572,0.4616442151003679,-1.524,1.704,0.18,0.45,3.713,4.163,0.075,0.619,0.694,0.074,0.2312,-0.215,6.0
2023-24,Kati Tabin,84,MTL,D,22,493.79999999999995,0,3,2,6,14,2.443652886878644,0.7290400972053465,0.5776124958259297,0.5776124958259297,3.159173754556501,0.3355809421665208,0.013423237686660832,0.2969201563643553,0.22136373618399552,0.5182838925483508,-1.197,1.822,0.625,0.541,3.591,4.132,0.09,0.598,0.688,0.084,0.2312,-0.215,6.0
2023-24,Hannah Miller,89,TOR,F,22,331.35,7,4,3,6,8,3.1297158170948047,1.086464463558171,0.5517050490234486,0.5517050490234486,0.5432322317790855,-0.3875615704397863,-0.015502462817591451,0.5667208360515716,0.18311135483085003,0.7498321908824217,0.686,1.011,1.697,1.853,2.199,4.052,0.309,0.366,0.675,0.122,0.2312,-0.215,6.0
2023-24,Ashton Bell,50,OTT,D,22,494.2333333333333,2,4,1,4,0,1.8175666608681573,0.4856005935118365,0.7651322414793242,0.7651322414793242,2.3066028191812236,0.061158439071792726,0.002446337562871709,0.22065286231622602,0.2778939444954284,0.4985468068116544,-1.827,2.289,0.462,-0.087,4.06,3.973,-0.014,0.677,0.663,0.08,0.2312,-0.215,6.0
2023-24,Jocelyne Larocque,71,TOR,D,22,610.6166666666667,0,5,4,8,6,2.770055030502952,0.7860905641837487,0.39502747483724987,0.39502747483724987,1.5721811283674973,-0.6208594741872789,-0.024834378967491157,0.2721892652185121,0.1173755119739188,0.3895647771924309,-1.732,1.195,-0.537,0.417,3.383,3.8,0.069,0.564,0.633,0.062,0.2312,-0.215,6.0
2023-24,Amanda Boulier,51,OTT,D,15,252.7,1,4,1,6,2,0.7197000547164204,1.4246141669964385,1.7284278322975541,1.7284278322975541,4.511278195488722,2.265833815379291,0.09063335261517164,0.17088248232285408,0.7128673722422911,0.8837498545651452,-1.144,3.002,1.858,-0.254,3.908,3.654,-0.042,0.651,0.609,0.145,0.2312,-0.215,6.0
2023-24,Susanna Tapani,78,MIN,F,9,148.8,2,3,0,7,2,1.676370067881372,2.8225806451612905,2.1412176281466024,2.1412176281466024,1.6129032258064515,0.9384382335449116,0.037537529341796466,0.6759556725328112,0.8083758754745732,1.4843315480073844,0.579,2.005,2.584,1.103,2.538,3.641,0.184,0.423,0.607,0.245,0.2312,-0.215,6.0
2023-24,Maureen Murphy,98,MTL,F,22,379.68333333333334,3,6,4,1,2,4.228928291390185,0.15802642553004698,-0.1745817287286176,-0.1745817287286176,0.9481585531802817,-0.6131874588737939,-0.024527498354951757,0.6682824217112797,-0.0873769206972541,0.5809055010140256,1.429,-0.553,0.876,2.766,0.808,3.574,0.461,0.135,0.596,0.094,0.2312,-0.215,6.0
2023-24,Kristin O'Neill,30,MTL,F,21,390.5,4,0,5,-1,6,4.630893967603056,-0.15364916773367476,-0.507358454605801,-0.507358454605801,2.151088348271447,0.5897423362173713,0.02358969344869485,0.7115330039851046,-0.1590593502093935,0.5524736537757111,1.751,-1.035,0.716,3.126,0.364,3.49,0.521,0.061,0.582,0.089,0.2312,-0.215,6.0
2023-24,Emma Greco,118,MIN,D,22,294.2,0,0,0,8,10,1.163122954697203,1.6315431679129844,1.1642354566681639,1.1642354566681639,3.2630863358259687,1.3263745432285243,0.05305498172914097,0.23721066377237318,0.47217974612967994,0.7093904099020532,-1.006,2.315,1.309,0.029,3.37,3.399,0.005,0.562,0.567,0.116,0.2312,-0.215,6.0
2023-24,Jamie Lee Rattray,16,BOS,F,23,369.4,2,5,3,-2,8,4.531134790963046,-0.3248511099079589,-0.4846816993929119,-0.4846816993929119,0.6497022198159178,-0.159642583973667,-0.006385703358946681,0.7359720829934564,-0.18087111514039494,0.5551009678530614,1.807,-1.114,0.693,3.108,0.21,3.318,0.518,0.035,0.553,0.09,0.2312,-0.215,6.0
2023-24,Michela Cava,115,MIN,F,24,360.0833333333333,5,2,1,3,4,3.6594159139792235,0.499884286044897,-0.14918386096974112,-0.14918386096974112,0.499884286044897,-0.1745807062166429,-0.006983228248665716,0.6097615038336128,-0.060689418197772516,0.5490720856358403,1.004,-0.364,0.64,2.272,0.926,3.198,0.379,0.154,0.533,0.089,0.2312,-0.215,6.0
2023-24,Alexandra Labelle,39,NY,F,23,243.65,1,2,0,-2,4,2.127175271502889,-0.4925097475887544,0.6584671261456105,0.6584671261456105,1.7237841165606402,1.0473735311227832,0.041894941244911325,0.523827278022464,0.27894310665733113,0.8027703846797951,0.331,1.133,1.464,1.188,2.006,3.194,0.198,0.334,0.532,0.131,0.2312,-0.215,6.0
2023-24,Theresa Schafzahl,17,BOS,F,20,269.1166666666667,3,3,0,5,0,1.4512645964545492,1.1147581594104168,1.1561346613114039,1.1561346613114039,0.4459032637641667,-0.3634415400254182,-0.014537661601016728,0.3235618100722349,0.40167081647108865,0.7252326265433235,-0.533,1.802,1.269,0.414,2.766,3.18,0.069,0.461,0.53,0.118,0.2312,-0.215,6.0
2023-24,Jade Downie-Landry,35,NY,F,23,319.21666666666664,8,3,2,-8,18,3.9596320539485323,-1.503680885500966,-0.46024545042716314,-0.46024545042716314,1.3157207748133453,0.6393101893754882,0.02557240757501953,0.7442528791424172,-0.1401159545787592,0.6041369245636581,1.606,-0.745,0.861,2.729,0.398,3.127,0.455,0.066,0.521,0.098,0.2312,-0.215,6.0
2023-24,Mélodie Daoust,168,MTL,F,6,109.18333333333334,3,1,1,6,4,1.1417792291430784,3.297206533353686,2.9845212063899345,2.9845212063899345,1.0990688444512289,-0.46227716760284676,-0.01849108670411387,0.627446988996349,1.0559365475962625,1.6833835365926115,0.337,1.922,2.259,0.721,2.313,3.034,0.12,0.386,0.506,0.278,0.2312,-0.215,6.0
2023-24,Kayla Vespa,45,NY,F,22,222.83333333333334,2,1,0,0,2,1.385545153195527,0.0,1.224527861226451,1.224527861226451,1.0770381451009723,0.40062755966311525,0.01602510238652461,0.3730712454378382,0.45685513242804693,0.8299263778658852,-0.258,1.697,1.439,0.527,2.495,3.022,0.088,0.416,0.504,0.136,0.2312,-0.215,6.0
2023-24,Jaime Bourbonnais,87,NY,D,23,578.4333333333333,5,3,5,-13,12,3.822507884462106,-1.3484700051864233,-0.1353739827045779,-0.1353739827045779,1.4521984671238404,-0.4864589186499211,-0.019458356745996844,0.39650286359890463,-0.06819299051964489,0.32830987307925974,-0.443,-0.657,-1.1,1.593,1.415,3.008,0.266,0.236,0.502,0.052,0.2312,-0.215,6.0
2023-24,Paetyn Levis,40,NY,F,22,292.7166666666667,0,1,2,-3,4,2.0738322730238776,-0.6149291123384387,0.5842214450534245,0.5842214450534245,0.6149291123384387,-0.061481473099418316,-0.0024592589239767326,0.4250866129297933,0.20786046129525612,0.6329470742250494,-0.085,1.014,0.929,0.946,2.063,3.009,0.158,0.344,0.502,0.103,0.2312,-0.215,6.0
2023-24,Taylor Baker,150,NY,D,21,311.43333333333334,0,0,0,0,6,0.35969292632821165,0.0,1.3727332289421077,1.3727332289421077,2.5045488601091725,0.5658914743354111,0.022635658973416444,0.06929757758651194,0.5168196213925752,0.5861171989790871,-1.937,2.683,0.746,-0.84,3.799,2.959,-0.14,0.633,0.493,0.095,0.2312,-0.215,6.0
2023-24,Sophie Jaques,11,MIN,D,15,387.56666666666666,2,4,4,3,4,3.4766608607725598,0.46443622602563,-0.14973261983818448,-0.14973261983818448,1.5481207534187666,-0.38859103917867766,-0.015543641567147106,0.5382290831160753,-0.06944738470889351,0.4687816984071818,0.619,-0.449,0.17,1.983,0.94,2.923,0.33,0.157,0.487,0.075,0.2312,-0.215,6.0
2023-24,Kali Flanagan,68,TOR,D,23,488.5,3,1,2,7,2,1.6396673557476804,0.8597748208802456,0.5032523150824032,0.5032523150824032,1.4738996929375638,-0.7191409096172124,-0.028765636384688497,0.20139210101302116,0.15240519704497665,0.3537972980579978,-1.962,1.241,-0.721,-0.243,2.991,2.748,-0.04,0.498,0.458,0.056,0.2312,-0.215,6.0
2023-24,Brittyn Fleming,105,MIN,F,23,272.05,1,1,0,4,8,2.3475143669925265,0.8821907737548245,0.27801870695295416,0.27801870695295416,0.6616430803161183,-0.012821911945421594,-0.0005128764778168638,0.5177388789544259,0.09957385802524663,0.6173127369796726,0.341,0.451,0.792,1.299,1.426,2.725,0.216,0.238,0.454,0.1,0.2312,-0.215,6.0
2023-24,Claire Dalton,26,MTL,F,18,236.41666666666666,5,3,1,4,0,1.5831221529468211,1.0151568558336272,0.8125704689604565,0.8125704689604565,1.7765244977088472,0.2151784856547716,0.008607139426190864,0.40177932679651435,0.30113250825195514,0.7029118350484695,-0.16,1.187,1.027,0.672,2.034,2.706,0.112,0.339,0.451,0.114,0.2312,-0.215,6.0
2023-24,Denisa Křížová,104,MIN,F,24,382.93333333333334,3,1,2,0,8,4.4653387384367695,0.0,-0.692924323145709,-0.692924323145709,0.15668523676880222,-0.5177797554927377,-0.02071119021970951,0.6996526574848699,-0.27016394655216475,0.4294887109327052,1.642,-1.724,-0.082,2.99,-0.352,2.638,0.498,-0.059,0.439,0.069,0.2312,-0.215,6.0
2023-24,Abby Boreen,114,MIN,F,9,148.91666666666666,4,0,1,2,4,2.6352596380715942,0.8058198097369894,-0.06377572335552639,-0.0637757233555264,0.0,-0.6744649922615399,-0.026978599690461597,1.0617722100792097,-0.0499378600984511,1.0118343499807587,1.537,-0.124,1.413,2.061,0.41,2.471,0.344,0.068,0.412,0.166,0.2312,-0.215,6.0
2023-24,Brooke Hobson,38,NY,D,23,455.8666666666667,1,3,1,-6,14,1.1200231698257297,-0.7897045919859608,0.5449168474457564,0.5449168474457564,1.7110266159695817,-0.22763076980417973,-0.00910523079216719,0.14741457339034172,0.18706483428830512,0.3344794076786468,-2.241,1.421,-0.82,-0.637,3.055,2.418,-0.106,0.509,0.403,0.053,0.2312,-0.215,6.0
2023-24,Savannah Norcross,147,NY,F,20,148.2,0,0,1,2,2,0.6036950190162338,0.8097165991902835,2.097015365412318,2.097015365412318,0.0,-0.676410585437857,-0.027056423417514283,0.24441093887296916,0.7278691081309202,0.9722800470038894,-0.489,1.798,1.309,0.033,2.329,2.362,0.006,0.388,0.394,0.16,0.2312,-0.215,6.0
