name,player_id,team,pos,gp,toi_min,ixG,FA,ixG60,FA60,FA60_resid,d_adj_FA60,blocks60,blocks60_adj,block_val60,d_value60,value60,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60
Natalie Spooner,100,TOR,RW,27,504.9333333333332,11.128000000000002,46.922586307780094,1.322313176656985,5.575696815025362,0.15668945469073947,0.15668945469073953,1.0694481119619754,0.3232579589518991,0.012930318358075966,0.0068194296251371245,1.329132606282122,8.565,0.215,8.78,1.891,0.047,1.938,0.23
Grace Zumwinkle,25,MIN,F,34,660.7166666666668,10.482000000000005,55.25230402945322,0.9518754887369776,5.017488447040626,0.07040861581401392,0.07040861581401399,0.27243145069747493,-0.157004178210772,-0.00628016712843088,-0.009026103145177426,0.9428493855918002,7.128,0.107,7.235,1.574,0.024,1.598,0.145
Laura Stacey,32,MTL,RW,26,617.1833333333333,10.024000000000001,62.20480392273559,0.9744916421376687,6.047292649991849,0.040138921229236346,0.040138921229236416,0.9721584618292782,-0.2263481208747577,-0.009053924834990307,-0.010619342762930528,0.9638722993747382,6.891,0.083,6.974,1.521,0.018,1.539,0.15
Kendall Coyne Schofield,20,MIN,F,34,676.5,9.666999999999998,55.887924041677046,0.8573835920177382,4.956800358463596,6.313071817642957e-06,6.313071817709499e-06,0.7095343680709534,0.2800987391627064,0.011203949566508256,0.011203703356707366,0.8685872953744456,6.233,0.337,6.57,1.376,0.074,1.45,0.129
Hilary Knight,13,BOS,RW,32,761.0,9.869000000000002,74.94301946514113,0.7781077529566361,5.908779458486817,0.04384280498162237,0.04384280498162244,0.8672798948751642,0.359670742961733,0.01438682971846932,0.012676960324186045,0.7907847132808222,6.006,0.398,6.404,1.326,0.088,1.414,0.111
Alex Carpenter,34,NY,C,24,522.1333333333333,8.389000000000001,61.2007039786166,0.9640066394279878,7.032767311128056,0.022823895178042397,0.022823895178042463,0.8043922369765066,0.08163617271379041,0.0032654469085516163,0.00237531499660796,0.9663819544245957,5.738,0.184,5.922,1.267,0.041,1.308,0.15
Hayley Scamurra,61,OTT,F,24,464.8,7.952000000000002,44.33730976399465,1.0265060240963857,5.723404874870221,0.048108224826657914,0.04810822482665798,1.4199655765920827,0.4324680640116037,0.01729872256046415,0.015422501792224489,1.0419285258886102,5.592,0.264,5.856,1.235,0.058,1.293,0.167
Jessie Eldridge,36,NY,RW,24,446.5,7.878,52.56131039584772,1.0586338185890258,7.063110019598798,0.06289472548919117,0.06289472548919124,1.0750279955207167,0.3522719312580005,0.01409087725032002,0.011637982956241561,1.0702718015452675,5.611,0.226,5.837,1.239,0.05,1.289,0.173
Marie-Philip Poulin,31,MTL,C,24,556.9333333333334,8.236,55.97503455604045,0.8872875269332057,6.030348467852095,0.014229743353424973,0.014229743353425039,1.4005266937993774,0.20202011109534151,0.00808080444381366,0.007525844453030083,0.8948133713862357,5.409,0.244,5.653,1.194,0.054,1.248,0.134
Jamie Lee Rattray,16,BOS,C,30,497.2,7.572000000000001,47.16251574258442,0.9137570394207564,5.691373581164653,-0.1596176837324608,-0.15961768373246074,0.48270313757039424,-0.024906014343036964,-0.0009962405737214785,0.005228849091844491,0.9189858885126009,5.048,0.198,5.246,1.114,0.044,1.158,0.14
Taylor Heise,21,MIN,F,29,565.6666666666666,7.750000000000001,46.900738534316226,0.8220388921626401,4.974739502755994,0.014311854950495806,0.014311854950495872,0.9546258102533883,0.5251901813451414,0.021007607253805655,0.020449444910736317,0.8424883370733764,4.878,0.369,5.247,1.077,0.081,1.158,0.123
Sarah Nurse,75,TOR,LW,29,564.45,7.521,51.84802527746964,0.7994685091682168,5.511350016207243,0.03859174969500245,0.03859174969500252,1.0629816635663034,0.3167915105562271,0.012671660422249084,0.011166582184143986,0.8106350913523608,4.656,0.281,4.937,1.028,0.062,1.09,0.116
Brianne Jenner,58,OTT,F,24,444.41666666666663,7.058,42.610594827797634,0.9528895555972248,5.752789851118376,0.06992507972352971,0.06992507972352978,0.6750421901368836,-0.31245532244359536,-0.012498212897743815,-0.015225291006961477,0.9376642645902633,4.802,0.026,4.828,1.06,0.006,1.066,0.144
Blayre Turnbull,76,TOR,C,29,559.35,7.185999999999999,51.3596960557549,0.7708232770179672,5.50921920683882,0.03351607489811592,0.03351607489811599,1.5017430946634485,0.7555529416533722,0.030222117666134887,0.028914990745108362,0.7997382677630755,4.346,0.444,4.79,0.96,0.098,1.058,0.113
Daryl Watts,63,OTT,F,24,417.09999999999997,6.725999999999998,40.10350138561788,0.9675377607288419,5.768904538808615,0.0875456722238567,0.08754567222385677,0.7192519779429394,-0.2682455346375396,-0.010729821385501584,-0.014144102602231999,0.9533936581266099,4.609,0.032,4.641,1.018,0.007,1.025,0.147
Emily Clark,53,OTT,F,24,447.99999999999994,6.777,43.13606152074111,0.9076339285714288,5.777151096527827,0.08963383250270165,0.08963383250270172,0.5357142857142858,-0.45178322686619315,-0.018071329074647726,-0.021567048542253095,0.8860668800291757,4.503,-0.021,4.482,0.994,-0.005,0.989,0.132
Maureen Murphy,98,MTL,RW,27,501.3500000000001,7.010000000000001,50.297359152895844,0.8389348758352447,6.019430635631296,-0.0016589702289241393,-0.0016589702289240727,0.7180612346664006,-0.48044534803763533,-0.019217813921505414,-0.019153114082577374,0.8197817617526674,4.465,-0.004,4.461,0.986,-0.001,0.985,0.118
Michela Cava,115,MIN,F,34,542.4333333333334,6.625000000000002,44.06747721391405,0.7328089473360783,4.8744213719071645,-0.09517953650677191,-0.09517953650677184,0.33183801388803535,-0.09759761502021164,-0.0039039046008084656,-0.00019190267704436359,0.7326170446590339,3.871,0.167,4.038,0.855,0.037,0.892,0.099
Denisa Křížová,104,MIN,F,34,561.8833333333333,6.702000000000002,46.54165563704085,0.7156645804289149,4.96989174186062,-0.0014716886070035295,-0.001471688607003463,0.10678373327796399,-0.322651895630283,-0.01290607582521132,-0.012848679969538186,0.7028159004593767,3.85,0.055,3.905,0.85,0.012,0.862,0.092
Alina Müller,15,BOS,C,32,678.3666666666667,7.213000000000002,66.52480364649769,0.6379735639526315,5.88396867788786,0.004625566568705573,0.00462556656870564,0.0,-0.5076091519134311,-0.020304366076537246,-0.020484763172716768,0.6174888007799147,3.769,-0.02,3.749,0.832,-0.004,0.828,0.073
Gabbie Hughes,57,OTT,F,24,446.74999999999994,5.729,42.668841056697644,0.7694236149972021,5.730566230334324,0.02884029199414964,0.028840291994149708,0.5372132064913263,-0.45028430608915265,-0.018011372243566106,-0.019136143631337945,0.7502874713658642,3.461,-0.003,3.458,0.764,-0.001,0.763,0.102
Loren Gabel,8,BOS,LW,23,270.96666666666664,4.706000000000001,25.543299890881343,1.0420469922499696,5.6560388490080475,-0.1817636016066633,-0.18176360160666324,0.0,-0.5076091519134311,-0.020304366076537246,-0.01321558561387738,1.0288314066360922,3.33,0.025,3.355,0.735,0.006,0.741,0.164
Kelly Pannek,23,MIN,F,34,696.0166666666667,6.188,58.813580473608454,0.533435502023419,5.070014839323542,0.07991739719763158,0.07991739719763165,1.4654821484159861,1.036046519507739,0.041441860780309564,0.03832508228960193,0.571760584313021,2.655,0.662,3.317,0.586,0.146,0.732,0.063
Jade Downie-Landry,35,NY,C,24,334.8833333333333,4.655000000000001,39.36309544725193,0.8340217986363413,7.052562763654355,0.02925629091835158,0.029256290918351645,1.254168118250137,0.5314120539874208,0.02125648215949683,0.020115486813681114,0.8541372854500224,2.955,0.217,3.172,0.652,0.048,0.7,0.125
Kristin O'Neill,30,MTL,C,26,539.3833333333333,5.269,54.62476030199543,0.5861137719000092,6.076356860834395,0.029276049015024008,0.029276049015024074,1.557333992522325,0.35882740981828914,0.014353096392731565,0.013211330481145627,0.5993251023811549,2.531,0.287,2.818,0.559,0.063,0.622,0.069
Sidney Morin,167,BOS,RD,32,620.9166666666667,6.001999999999998,61.03986536391788,0.5799812105757614,5.898363046842151,0.01305804714733224,0.013058047147332306,0.8696819218896792,-0.5943285272184327,-0.023773141088737307,-0.024282404927483268,0.5556988056482781,2.85,-0.058,2.792,0.629,-0.013,0.616,0.06
Liz Schepers,97,MIN,F,29,397.53333333333336,4.58,32.68010090543341,0.6912627871876572,4.932431798572878,-0.04144025172131072,-0.04144025172131065,0.30186147912124767,-0.12757414978699932,-0.005102965991479973,-0.0034867961743488577,0.6877759910133083,2.562,0.101,2.663,0.566,0.022,0.588,0.089
Rebecca Leslie,72,TOR,RW,29,306.58333333333337,3.9890000000000008,27.659936567005502,0.7806686599619462,5.413197697266638,-0.06149328271419996,-0.06149328271419989,0.978526773579777,0.2323366205697007,0.009293464822788028,0.011691702848641823,0.7923603628105881,2.433,0.155,2.588,0.537,0.034,0.571,0.112
