name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,xGA60,xGA60_resid,d_adj_xGA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Gabrielle David,156,MTL,F,21,284.6166666666667,2,1,1,3,4,2.0180214665406946,0.632429583650524,1.5198840131158309,0.2927331215480202,0.40117689260623723,0.4567901234567901,1.4756690285178895,-0.08567698353618614,-0.0034270793414474454,0.4254188252940505,-0.043544768602071175,0.3818740566919793,-0.907,-0.207,-1.114,0.442,0.003,0.445,0.097,0.001,0.098,0.021,0.3322,-0.0442,4.569,2023-24
Alexa Vasko,101,TOR,F,23,211.43333333333334,2,0,0,-1,4,1.2565748550984517,-0.283777392401072,1.279013879151772,0.18111203147497013,0.28955580253318713,0.4621212121212121,2.8377739240107207,1.906980121791849,0.07627920487167396,0.3565875357365936,0.047323624618355244,0.40391116035494884,-0.916,0.167,-0.749,0.086,0.323,0.409,0.019,0.071,0.09,0.026,0.3322,-0.0442,4.569,2023-24
Jocelyne Larocque,71,TOR,D,22,610.6166666666667,0,5,4,8,6,3.3618557509177283,0.7860905641837487,1.3280621117016642,-0.28525591859554744,-0.17681214753733043,0.5308168796073996,1.5721811283674973,-0.6208594741872789,-0.024834378967491157,0.3303403854929121,-0.007153164213758112,0.323187221279154,-2.913,-0.073,-2.986,-0.019,0.377,0.358,-0.004,0.083,0.079,0.008,0.3322,-0.0442,4.569,2023-24
Renata Fast,67,TOR,D,23,635.2333333333333,3,5,5,0,12,3.5028691648031955,0.0,1.3325999568308973,-0.2816011074538969,-0.17315733639567987,0.5308168796073996,1.511255706564517,-0.6817848959902594,-0.027271395839610375,0.33085818841610704,-0.009955662200042386,0.32090252621606463,-3.025,-0.105,-3.13,-0.014,0.363,0.349,-0.003,0.079,0.076,0.007,0.3322,-0.0442,4.569,2023-24
Jillian Dempsey,27,MTL,F,22,183.05,1,2,0,1,2,1.2201054810907914,0.32777929527451516,1.3834021921977804,0.2241069015734769,0.3325506726316939,0.4677419354838709,2.294455066921606,0.7331090548675305,0.02932436219470122,0.39992531475251286,-0.003930705068468175,0.3959946096840447,-0.661,-0.012,-0.673,0.207,0.123,0.33,0.045,0.027,0.072,0.024,0.3322,-0.0442,4.569,2023-24
Kaitlin Willoughby,128,TOR,F,21,135.25,0,0,0,-2,2,1.0138899187983146,-0.8872458410351202,1.4624447390858495,0.4386930598796752,0.5471368309378922,0.5668242255597484,1.7744916820702403,0.8436978798513685,0.03374791519405474,0.44978480686062017,-0.020965767899734485,0.4288190389608857,-0.376,-0.047,-0.423,0.265,0.052,0.317,0.058,0.011,0.069,0.031,0.3322,-0.0442,4.569,2023-24
Kennedy Marchment,29,MTL,F,9,97.71666666666667,1,0,1,0,0,0.8778099616586306,0.0,1.368104096180746,0.0670230917430703,0.17546686280128732,0.5105841929948152,0.0,-1.5613460120540756,-0.06245384048216303,0.5389929834506345,-0.08000052676229176,0.45899245668834276,-0.126,-0.13,-0.256,0.337,-0.058,0.279,0.074,-0.013,0.061,0.037,0.3322,-0.0442,4.569,2023-24
Ann-Sophie Bettez,80,MTL,F,14,208.66666666666666,2,2,1,-2,2,1.4861175173575383,-0.5750798722044728,1.3100131157956485,0.19937654775656655,0.30782031881478356,0.5105841929948152,0.5750798722044728,-0.9862661398496029,-0.03945064559398412,0.4273181359814008,-0.07023267747546247,0.3570854585059383,-0.658,-0.244,-0.902,0.331,-0.09,0.241,0.072,-0.02,0.052,0.015,0.3322,-0.0442,4.569,2023-24
Savannah Harmon,56,OTT,D,22,562.4833333333333,3,2,7,-1,8,3.180745673463655,-0.10666982725414086,1.1910556474717944,-0.4456974849108226,-0.3372537138526056,0.527145240536056,0.746688790778986,-1.4987555893304447,-0.05995022357321779,0.33928959152772403,-0.026224852187957226,0.3130647393397668,-2.6,-0.246,-2.846,0.066,0.169,0.235,0.014,0.037,0.051,0.005,0.3322,-0.0442,4.569,2023-24
Rosalie Demers,136,OTT,F,11,63.3,0,0,0,0,4,0.5117124935778239,0.0,1.3616286707514724,0.19760472653553895,0.30604849759375596,0.5308168796073996,1.8957345971563984,0.912537017382872,0.03650148069531488,0.48503553893632595,0.005896630935939281,0.49093216987226523,-0.139,0.006,-0.133,0.161,0.053,0.214,0.035,0.012,0.047,0.045,0.3322,-0.0442,4.569,2023-24
Ashton Bell,50,OTT,D,22,494.2333333333333,2,4,1,4,0,2.3486746429617975,0.4856005935118365,1.180865467219059,-0.3553522016618884,-0.2469084306036714,0.5308168796073996,2.3066028191812236,0.061158439071792726,0.002446337562871709,0.2851294501471124,0.027137180623238853,0.3122666307703512,-2.731,0.224,-2.507,-0.388,0.588,0.2,-0.085,0.129,0.044,0.005,0.3322,-0.0442,4.569,2023-24
Jessica Digirolamo,5,BOS,D,23,429.01666666666665,0,1,2,-7,8,2.2023027271783056,-0.978982945495513,1.9092737039425935,0.33187374518334667,0.4403175162415637,0.5298394239166777,3.356512955984616,1.2849213518591267,0.05139685407436507,0.30800240153225983,0.007365102450208695,0.31536750398246854,-2.207,0.053,-2.154,-0.173,0.369,0.196,-0.038,0.081,0.043,0.006,0.3322,-0.0442,4.569,2023-24
Nicole Kosta,14,BOS,F,9,67.2,1,1,1,1,2,0.5533518534853374,0.8928571428571428,1.5168388729700704,0.3374179999275073,0.4458617709857243,0.5308168796073996,0.8928571428571428,0.08351233906755798,0.003340493562702319,0.49406415489762273,-0.04124568353587011,0.45281847136175263,-0.137,-0.046,-0.183,0.181,0.003,0.184,0.04,0.001,0.041,0.037,0.3322,-0.0442,4.569,2023-24
Micah Zandee-Hart,47,NY,D,17,371.2833333333333,0,3,0,-18,10,1.8228427051138507,-2.908829734703955,1.558742191405019,0.006417612726062005,0.114861383784279,0.5308168796073996,2.7472280827759574,0.808570697002196,0.03234282788008784,0.2945743923512979,0.02085668950165994,0.3154310818529578,-1.993,0.129,-1.864,-0.233,0.403,0.17,-0.051,0.088,0.037,0.006,0.3322,-0.0442,4.569,2023-24
Kayla Vespa,45,NY,F,22,222.83333333333334,2,1,0,0,2,1.371618306261638,0.0,1.5278944854913858,0.43189167071608336,0.5403354417743004,0.472729039075736,1.0770381451009723,0.40062755966311525,0.01602510238652461,0.369321309090643,-0.03800844179090543,0.3313128672997375,-0.918,-0.141,-1.059,0.138,0.023,0.161,0.03,0.005,0.035,0.009,0.3322,-0.0442,4.569,2023-24
Natalie Buchbinder,90,MIN,D,24,481.84999999999997,2,1,3,6,0,2.595271128223953,0.7471204731762998,1.4850801244642085,-0.1159985918982056,-0.00755482083998861,0.5308168796073996,1.4942409463525996,-0.4424708462448447,-0.017698833849793788,0.32316336555657815,-0.016943351765794926,0.30622001379078323,-2.357,-0.136,-2.493,-0.073,0.219,0.146,-0.016,0.048,0.032,0.004,0.3322,-0.0442,4.569,2023-24
Brooke Bryant,91,MIN,F,22,157.95,1,0,0,1,6,0.8727039876777565,0.3798670465337132,1.185775946227016,0.38087266431455513,0.48931643537277214,0.574528702760077,1.8993352326685662,1.2248702404070264,0.048994809616281054,0.3315114862973434,6.316607900383464e-05,0.3315746523763472,-0.751,0.0,-0.751,-0.002,0.117,0.115,-0.0,0.026,0.026,0.01,0.3322,-0.0442,4.569,2023-24
Akane Shiga,141,OTT,F,21,215.58333333333334,2,0,0,-1,4,1.3345107739945503,-0.27831465017394663,1.2101830412101893,0.23174989615175823,0.34019366720997524,0.527145240536056,0.5566293003478933,-0.42656827942563313,-0.017062731177025326,0.37141389921765605,-0.05108209789802286,0.3203318013196332,-0.881,-0.184,-1.065,0.141,-0.025,0.116,0.031,-0.005,0.026,0.007,0.3322,-0.0442,4.569,2023-24
Kristin Della Rovere,54,OTT,F,8,70.8,1,0,0,2,0,0.4671675025843422,1.694915254237288,1.0301767604026781,-0.3287187617136582,-0.2202749906554412,0.375,0.0,-0.9831975797735264,-0.03932790319094106,0.3959046632070697,-0.017300404125396938,0.3786042590816727,-0.26,-0.02,-0.28,0.075,0.032,0.107,0.016,0.007,0.023,0.019,0.3322,-0.0442,4.569,2023-24
Jincy Roese,60,OTT,D,22,451.8833333333333,0,4,1,-9,14,1.9797217269168474,-1.1949987091063328,1.1738793652503627,-0.32436586926830313,-0.21592209821008612,0.5308168796073996,2.5227750525578134,0.2773306724483826,0.011093226897935305,0.2628627675617103,0.03268543671894392,0.2955482042806542,-2.664,0.246,-2.418,-0.522,0.579,0.057,-0.114,0.127,0.013,0.002,0.3322,-0.0442,4.569,2023-24
Maude Poulin-Labelle,165,TOR,D,9,63.36666666666667,0,0,0,-4,0,0.34327747493798744,-3.787480273540242,1.1504032883511603,-0.4538743201399247,-0.34543054908170767,0.5308168796073996,0.0,-2.193040602554776,-0.08772162410219105,0.325039166169583,-0.053178569194020274,0.27186059697556275,-0.308,-0.056,-0.364,-0.008,-0.009,-0.017,-0.002,-0.002,-0.004,-0.004,0.3322,-0.0442,4.569,2023-24
Taylor Wenczkowski,111,BOS,F,15,77.06666666666666,0,0,0,1,2,0.4889296827178884,0.7785467128027682,2.1311417423200263,1.1429476330739186,1.2513914041321355,0.5298394239166777,0.7785467128027682,-0.0307980909868166,-0.001231923639472664,0.3806545972717124,-0.12637106405268622,0.2542835332190262,-0.303,-0.162,-0.465,0.062,-0.106,-0.044,0.014,-0.023,-0.009,-0.007,0.3322,-0.0442,4.569,2023-24
Chloe Aurard,33,NY,F,20,246.36666666666667,1,1,6,-7,2,1.3725295087397829,-1.7047760790150182,1.5392870854209029,0.5030673487145791,0.6115111197727962,0.472729039075736,0.24353943985928833,-0.43287114557856876,-0.01731484582314275,0.33426506774883086,-0.07846595780042237,0.2557991099484085,-1.159,-0.322,-1.481,0.008,-0.141,-0.133,0.002,-0.031,-0.029,-0.007,0.3322,-0.0442,4.569,2023-24
Madison Bizal,162,MTL,D,19,203.95000000000002,0,1,0,-1,2,0.6227263229667205,-0.2941897523902917,1.3683654998608703,0.005973484054068168,0.11441725511228516,0.5308168796073996,4.707036038244667,1.8834432258546874,0.07533772903418749,0.18319970276049632,0.06389600352295897,0.24709570628345529,-1.473,0.217,-1.256,-0.506,0.368,-0.138,-0.111,0.081,-0.03,-0.009,0.3322,-0.0442,4.569,2023-24
Olivia Zafuto,46,NY,D,11,87.35,0,0,1,1,4,0.36065514953420263,0.6868918145392101,1.5177448268452354,0.045304396745238895,0.1537481678034559,0.5308168796073996,0.6868918145392101,-1.2517655712345515,-0.05007062284938206,0.24773107008645862,-0.06544543962972765,0.18228563045673096,-0.537,-0.095,-0.632,-0.123,-0.031,-0.154,-0.027,-0.007,-0.034,-0.023,0.3322,-0.0442,4.569,2023-24
Savannah Norcross,147,NY,F,20,148.2,0,0,1,2,2,0.7212193032491034,0.8097165991902835,1.440313761701133,0.4761849476244374,0.5846287186826544,0.472729039075736,0.0,-0.676410585437857,-0.027056423417514283,0.2919916207486249,-0.08551929528577973,0.20647232546284516,-0.802,-0.211,-1.013,-0.099,-0.102,-0.201,-0.022,-0.022,-0.044,-0.018,0.3322,-0.0442,4.569,2023-24
Abby Cook,117,MIN,D,9,105.23333333333333,1,0,0,3,6,0.4476388283994347,1.7104846373139055,1.7621692420674724,0.2747706333734903,0.3832144044317073,0.5298394239166777,0.5701615457713018,-1.3665502468261423,-0.054662009873045696,0.25522644634747627,-0.09298345031621644,0.16224299603125983,-0.634,-0.163,-0.797,-0.135,-0.086,-0.221,-0.03,-0.019,-0.049,-0.028,0.3322,-0.0442,4.569,2023-24
Dominique Kremer,119,MIN,D,12,63.483333333333334,0,0,0,-1,0,0.03564148416290609,-0.9451299553688631,0.989327561501244,-0.11809133322124787,-0.009647562163030879,0.5308168796073996,1.8902599107377263,-0.04645188185971805,-0.0018580752743887219,0.03368583433616748,-0.0008933190580856339,0.032792515278081844,-0.617,-0.001,-0.618,-0.316,0.046,-0.27,-0.069,0.01,-0.059,-0.056,0.3322,-0.0442,4.569,2023-24
Jess Healey,10,BOS,D,20,205.43333333333334,1,1,1,2,8,0.9185681642212508,0.5841311049813402,1.6154250542496729,0.10793794265381407,0.21638171371203108,0.5308168796073996,0.8761966574720104,-1.1953949466534788,-0.047815797866139154,0.26828211838362026,-0.06945396923734226,0.198828149146278,-1.193,-0.238,-1.431,-0.219,-0.086,-0.305,-0.048,-0.019,-0.067,-0.02,0.3322,-0.0442,4.569,2023-24
Kali Flanagan,68,TOR,D,23,488.5,3,1,2,7,2,2.1766354055066057,0.8597748208802456,1.3066486975859888,-0.19924062197467807,-0.09079685091646107,0.5308168796073996,1.4738996929375638,-0.7191409096172124,-0.028765636384688497,0.2673451879844347,-0.01968595129304239,0.24765923669139228,-2.844,-0.16,-3.004,-0.528,0.2,-0.328,-0.116,0.044,-0.072,-0.009,0.3322,-0.0442,4.569,2023-24
Zoe Boyd,52,OTT,D,16,238.45,0,1,2,-3,2,0.7318772711985881,-0.7548752358985112,1.0224982803414902,-0.3415291180609139,-0.2330853470026969,0.5308168796073996,1.7613755504298596,-0.4840688296795712,-0.01936275318718285,0.18415867591493099,0.003945781513086843,0.18810445742801782,-1.719,0.016,-1.703,-0.588,0.191,-0.397,-0.129,0.042,-0.087,-0.022,0.3322,-0.0442,4.569,2023-24
Dominika Lásková,82,MTL,D,7,126.7,0,0,0,0,8,0.4236713308864141,0.0,1.413087956898653,-0.024075811154361748,0.08436795990385525,0.5105841929948152,0.0,-2.82359281238998,-0.1129437124955992,0.20063362157209824,-0.12138050848598472,0.07925311308611352,-0.878,-0.256,-1.134,-0.278,-0.163,-0.441,-0.061,-0.036,-0.097,-0.046,0.3322,-0.0442,4.569,2023-24
Brigitte Laganière,164,MTL,D,15,123.71666666666667,0,0,1,-1,0,0.23453021086730041,-0.48497911895460055,1.279129528131453,0.0351866061501509,0.1436303772083679,0.5308168796073996,1.4549373568638018,-1.3686554555261783,-0.05474621822104713,0.11374225503466004,-0.06910925594188393,0.04463299909277611,-1.037,-0.142,-1.179,-0.45,-0.051,-0.501,-0.098,-0.011,-0.109,-0.053,0.3322,-0.0442,4.569,2023-24
Olivia Knowles,131,TOR,D,19,187.81666666666666,0,1,0,7,6,0.47779860732546164,2.236223267370663,1.3992245383387278,0.08895124873781901,0.19739501979603602,0.5308168796073996,1.2778418670689502,-0.9151987354858261,-0.036607949419433045,0.15263776611692803,-0.056347451399036644,0.09629031471789139,-1.452,-0.176,-1.628,-0.562,-0.038,-0.6,-0.123,-0.008,-0.131,-0.042,0.3322,-0.0442,4.569,2023-24
Leah Lum,159,MTL,F,21,197.45,1,1,2,-2,6,0.8120514121995489,-0.607748797163839,1.4805133397786328,0.7228292336486235,0.8312730047068405,0.5308168796073996,0.0,-1.5613460120540756,-0.06245384048216303,0.24676163449973632,-0.14558114095284708,0.10118049354688924,-1.217,-0.479,-1.696,-0.281,-0.334,-0.615,-0.062,-0.073,-0.135,-0.041,0.3322,-0.0442,4.569,2023-24
Mariah Keopple,99,MTL,D,22,441.26666666666665,0,2,1,3,12,1.43096932944329,0.4079166037165735,1.588583771853326,0.2067979512720799,0.3152417223302969,0.5308168796073996,3.5352772322103037,0.7116844198203236,0.028467376792812943,0.1945720496296965,-0.003056795440216746,0.19151525418947973,-3.104,-0.022,-3.126,-1.012,0.303,-0.709,-0.221,0.066,-0.155,-0.021,0.3322,-0.0442,4.569,2023-24
Taylor Baker,150,NY,D,21,311.43333333333334,0,0,0,0,6,0.7787501785642763,0.0,1.5684555475009403,0.26262574939599936,0.3710695204542164,0.5308168796073996,2.5045488601091725,0.5658914743354111,0.022635658973416444,0.15003214400253637,-0.014471293072005193,0.13556085093053116,-2.422,-0.075,-2.497,-0.946,0.154,-0.792,-0.207,0.034,-0.173,-0.033,0.3322,-0.0442,4.569,2023-24
Lauriane Rougeau,133,TOR,D,23,280.3833333333333,0,1,0,4,4,0.6414648839422024,0.8559709920941568,1.289422909859671,0.005358993446940685,0.11380276450515768,0.5308168796073996,1.9259347322118527,-0.2671058703429235,-0.01068423481371694,0.13726883327539255,-0.022064511264232707,0.11520432201115985,-2.24,-0.103,-2.343,-0.911,0.104,-0.807,-0.199,0.023,-0.176,-0.038,0.3322,-0.0442,4.569,2023-24
Aneta Tejralová,62,OTT,D,21,474.01666666666665,2,2,4,-3,6,1.2418584659896448,-0.37973348335149965,1.1944883965237123,-0.1235510136487108,-0.0151072425904938,0.5308168796073996,2.911290039028164,0.6658456589187332,0.026633826356749327,0.15719174703993255,0.028144550615798708,0.18533629765573126,-3.63,0.222,-3.408,-1.383,0.572,-0.811,-0.303,0.125,-0.178,-0.023,0.3322,-0.0442,4.569,2023-24
Allie Munroe,74,TOR,D,23,431.81666666666666,1,3,2,1,10,1.1407842928406364,0.13894785595738934,1.3187024824531115,0.07857330413374242,0.18701707519195943,0.5668242255597484,3.056852831062565,0.8638122285077888,0.03455248914031155,0.158509531600073,0.015850781621115608,0.1743603132211886,-3.297,0.114,-3.183,-1.25,0.432,-0.818,-0.274,0.095,-0.179,-0.025,0.3322,-0.0442,4.569,2023-24
Lee Stecklein,24,MIN,D,24,655.1166666666667,2,3,2,0,16,2.7730069039919236,0.0,1.426374283054385,0.040601960879636634,0.14904573193785364,0.574528702760077,1.2822143638537664,-0.6544974287436779,-0.026179897149747115,0.2539706630974362,-0.04108447034353248,0.21288619275390375,-3.96,-0.449,-4.409,-0.854,0.034,-0.82,-0.187,0.007,-0.18,-0.016,0.3322,-0.0442,4.569,2023-24
Emily Brown,2,BOS,D,23,443.0833333333333,1,0,3,2,12,1.5358564664366945,0.27082941508369385,1.8893031578246637,0.48248033529848633,0.5909241063567033,0.5298394239166777,2.4374647357532444,0.36587313162775514,0.014634925265110206,0.2079775542287794,-0.04445748537056013,0.16352006885821926,-3.018,-0.328,-3.346,-0.917,-0.002,-0.919,-0.201,-0.0,-0.201,-0.027,0.3322,-0.0442,4.569,2023-24
Johanna Fällman,152,NY,D,19,224.73333333333332,0,0,0,-6,2,0.41401398924921734,-1.6018985464253932,1.4648481151310215,0.22637513052553926,0.33481890158375627,0.5308168796073996,1.0679323642835954,-0.8707250214901661,-0.03482900085960664,0.11053473459634994,-0.06831089101798227,0.04222384357836767,-1.896,-0.256,-2.152,-0.83,-0.09,-0.92,-0.182,-0.02,-0.202,-0.054,0.3322,-0.0442,4.569,2023-24
Brooke Hobson,38,NY,D,23,455.8666666666667,1,3,1,-6,14,1.3941973497145839,-0.7897045919859608,1.4845661322910577,-0.007651003702739301,0.1007927673554777,0.472729039075736,1.7110266159695817,-0.22763076980417973,-0.00910523079216719,0.18350067486737723,-0.01918450752771496,0.16431616733966226,-3.291,-0.146,-3.437,-1.13,0.19,-0.94,-0.247,0.042,-0.205,-0.027,0.3322,-0.0442,4.569,2023-24
Catherine Daoust,163,MTL,D,22,359.98333333333335,1,0,1,-2,12,0.9706487451017514,-0.3333487661465808,1.3935546391193805,0.06768677313137905,0.17613054418959606,0.5308168796073996,1.8334182138061947,-0.9901745985837853,-0.039606983943351416,0.16178228077069795,-0.05722003836231102,0.10456224240838694,-2.729,-0.343,-3.072,-1.022,-0.078,-1.1,-0.224,-0.017,-0.241,-0.04,0.3322,-0.0442,4.569,2023-24
Kaleigh Fratkin,7,BOS,D,23,410.3333333333333,2,0,1,5,22,1.1915669043756845,0.7311129163281885,1.811866030693387,0.4647636703682698,0.5732074414264868,0.5308168796073996,1.1697806661251016,-0.9018109380003877,-0.03607243752001551,0.17423399089165167,-0.0933931816626642,0.08084080922898748,-3.025,-0.639,-3.664,-1.08,-0.336,-1.416,-0.236,-0.074,-0.31,-0.045,0.3322,-0.0442,4.569,2023-24
Mellissa Channell,129,MIN,D,24,393.7,0,1,1,1,0,0.3720805178626623,0.1524003048006096,1.5525547255348044,0.40587983686481577,0.5143236079230328,0.5308168796073996,1.8288036576073154,-0.10790813499012886,-0.004316325399605155,0.0567051843326384,-0.05574868619190844,0.0009564981407299625,-3.674,-0.366,-4.04,-1.808,-0.076,-1.884,-0.396,-0.017,-0.413,-0.063,0.3322,-0.0442,4.569,2023-24
