name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,xGA60,xGA60_resid,d_adj_xGA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Hannah Brandt,1,BOS,F,23,403.75,5,1,3,-6,4,3.868952579123981,-0.891640866873065,1.81276233815143,0.21092713379355876,0.31937090485177577,0.403030303030303,1.78328173374613,0.9739369299565451,0.03895747719826181,0.5749527052568145,0.007020386713084227,0.5819730919698988,-0.28,0.047,-0.233,1.634,0.345,1.979,0.358,0.076,0.434,0.064,0.3322,-0.0442,4.569,2023-24
Hannah Miller,89,TOR,F,22,331.35,7,4,3,6,8,3.8278328305189624,1.086464463558171,1.336493467637101,0.207310042585511,0.315753813643728,0.7058823529411765,0.5432322317790855,-0.3875615704397863,-0.015502462817591451,0.6931340571333567,-0.04707784418196426,0.6460562129513925,0.423,-0.26,0.163,1.993,-0.016,1.977,0.436,-0.004,0.432,0.078,0.3322,-0.0442,4.569,2023-24
Sophie Shirley,18,BOS,F,19,245.31666666666666,3,1,1,-4,4,3.1441369104692973,-0.9783273320198382,1.797830069568106,0.14737414803552595,0.25581791909374296,0.5298394239166777,0.4891636660099191,-0.3201811377796657,-0.01280724551118663,0.7689987687811312,-0.03838903742056093,0.7306097313605703,0.623,-0.157,0.466,1.786,0.024,1.81,0.391,0.005,0.396,0.097,0.3322,-0.0442,4.569,2023-24
Mélodie Daoust,168,MTL,F,6,109.18333333333334,3,1,1,6,4,2.2495647867565594,3.297206533353686,2.1643771371284393,-0.32570685634255536,-0.21726308528433835,0.5105841929948152,1.0990688444512289,-0.46227716760284676,-0.01849108670411387,1.2362132853493533,0.0032352218243199664,1.2394485071736732,1.127,0.006,1.133,1.645,0.086,1.731,0.36,0.019,0.379,0.208,0.3322,-0.0442,4.569,2023-24
Lexie Adzija,49,OTT,F,15,237.78333333333333,6,0,3,-2,4,3.180999672366759,-0.5046611060489241,2.210490618028675,0.49803526659005004,0.606479037648267,0.5277777777777778,0.25233055302446206,-0.7308670267490643,-0.029234681069962576,0.8026634064989369,-0.08988258483478928,0.7127808216641476,0.737,-0.356,0.381,1.864,-0.181,1.683,0.408,-0.04,0.368,0.093,0.3322,-0.0442,4.569,2023-24
Elizabeth Giguère,37,NY,F,23,290.48333333333335,3,1,0,-15,6,3.079345937972595,-3.098284468414711,1.5448790068437168,-0.0059820923242241975,0.1024616787339928,0.472729039075736,0.6196568936829422,-0.05675369175491485,-0.002270147670196594,0.6360459794997615,-0.012516315543595875,0.6235296639561656,0.094,-0.061,0.033,1.471,0.154,1.625,0.322,0.034,0.356,0.074,0.3322,-0.0442,4.569,2023-24
Jesse Compher,65,TOR,F,23,338.98333333333335,1,2,0,-1,23,3.35276654284586,-0.17699985250012293,1.351616501058861,0.11840725516458095,0.22685102622279796,0.5827814569536424,1.0619991150007375,0.1312053127818657,0.005248212511274628,0.5934391835510643,-0.017436890111005167,0.5760022934400592,-0.131,-0.099,-0.23,1.476,0.151,1.627,0.323,0.033,0.356,0.063,0.3322,-0.0442,4.569,2023-24
Megan Keller,12,BOS,D,23,579.9666666666667,4,8,3,8,12,4.366780835194055,0.8276337720558653,1.7883447129694656,-0.03203922937151504,0.07640454168670195,0.5308168796073996,2.2759928731536294,0.20440126902814018,0.008176050761125608,0.4517619117966147,0.0005355965924554121,0.45229750838907007,-1.594,0.005,-1.589,1.156,0.433,1.589,0.253,0.095,0.348,0.036,0.3322,-0.0442,4.569,2023-24
Sophia Kunin,103,MIN,F,24,308.2166666666667,2,0,1,-1,6,3.502445427148447,-0.1946682528524306,1.3507611230504875,0.633729562198484,0.742173333256701,0.8823529411764706,0.3893365057048612,-0.28512848655667866,-0.011405139462267146,0.6818149320139733,-0.08562247278793725,0.596192459226036,0.335,-0.44,-0.105,1.796,-0.213,1.583,0.393,-0.047,0.346,0.067,0.3322,-0.0442,4.569,2023-24
Shiann Darkangelo,4,OTT,F,7,64.01666666666667,0,0,0,-1,4,1.9930535319564642,-0.9372559229367352,4.817801401551439,1.0509892512450403,1.1594330223032572,0.4210526315789473,0.0,-0.9831975797735264,-0.03932790319094106,1.8680012275561757,-0.1552712054212668,1.7127300221349089,1.335,-0.166,1.169,1.639,-0.118,1.521,0.359,-0.026,0.333,0.312,0.3322,-0.0442,4.569,2023-24
Claire Dalton,26,MTL,F,18,236.41666666666666,5,3,1,4,0,2.6799124037238977,1.0151568558336272,1.6059848106248726,0.06421124817138368,0.1726550192296007,0.5105841929948152,1.7765244977088472,0.2151784856547716,0.008607139426190864,0.6801328624184725,-0.008658362496769205,0.6714744999217033,0.25,-0.034,0.216,1.371,0.14,1.511,0.3,0.031,0.331,0.084,0.3322,-0.0442,4.569,2023-24
Amanda Boulier,51,MTL,D,5,96.91666666666666,0,2,1,-2,0,1.862852258621012,-1.2381771281169391,5.8197011749461005,2.757960313666368,2.8664040847245853,0.5105841929948152,11.762682717110922,8.939089904720941,0.35756359618883765,1.1532705298427588,0.07092318771637912,1.224193717559138,0.867,0.115,0.982,1.326,0.186,1.512,0.29,0.041,0.331,0.205,0.3322,-0.0442,4.569,2023-24
Jaime Bourbonnais,87,NY,D,23,578.4333333333333,5,3,5,-13,12,4.1786204615472435,-1.3484700051864233,1.520330151706005,-0.39812361486683967,-0.28967984380862266,0.472729039075736,1.4521984671238404,-0.4864589186499211,-0.019458356745996844,0.4334418734965158,0.009509627634865424,0.4429515011313812,-1.766,0.092,-1.674,0.976,0.518,1.494,0.214,0.113,0.327,0.034,0.3322,-0.0442,4.569,2023-24
Sarah Lefort,158,MTL,F,22,251.31666666666666,1,1,2,0,8,2.6808510540213586,0.0,1.483851005584549,0.010460948679037685,0.11890471973725468,0.5105841929948152,0.9549704887592015,-0.6063755232948741,-0.024255020931794963,0.6400334103373494,-0.03614549290552043,0.603887917431829,0.098,-0.151,-0.053,1.289,0.034,1.323,0.282,0.007,0.289,0.069,0.3322,-0.0442,4.569,2023-24
Maggie Connors,66,TOR,F,23,356.73333333333335,2,1,1,-1,6,3.1658130565748697,-0.16819286114744905,1.272411573426717,0.1076577463872781,0.2161015174454951,0.5668242255597484,0.6727714445897962,-0.2580223576290756,-0.010320894305163024,0.5324671558432783,-0.03193104604971254,0.5005361097935658,-0.5,-0.19,-0.69,1.191,0.073,1.264,0.261,0.016,0.277,0.047,0.3322,-0.0442,4.569,2023-24
Ella Shelton,44,NY,D,23,605.8333333333334,6,11,3,-6,10,3.9747073351497875,-0.5942228335625859,1.520362127288107,-0.33022182047740634,-0.22177804941918933,0.472729039075736,1.485557083906465,-0.45310030186729655,-0.018124012074691862,0.3936436425457836,0.004053792867227072,0.39769743541301067,-2.251,0.041,-2.21,0.62,0.488,1.108,0.136,0.107,0.243,0.024,0.3322,-0.0442,4.569,2023-24
Natalie Snodgrass,142,OTT,F,21,267.0,1,3,1,-3,10,2.3124350635855535,-0.6741573033707865,1.1984325292202396,-0.21496325771385583,-0.10651948665563883,0.4453125,1.1235955056179776,0.14039792584445118,0.005615917033778047,0.51964832889563,0.01626786569934193,0.5359161945949719,-0.432,0.072,-0.36,0.834,0.269,1.103,0.183,0.059,0.242,0.054,0.3322,-0.0442,4.569,2023-24
