name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,pm60_resid,d_adj_pm60,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win
Kayla Vespa,45,NY,C,16,113.33333333333333,0,0,2,2,2,0.5728468500682047,1.0588235294117647,0.8422854524445447,0.8422854524445447,0.0,0.16605351641629928,0.006642140656651972,0.3032718618008142,0.30986490353668805,0.6131367653375023,-0.241,0.585,0.344,0.162,1.112,1.274,0.036,0.247,0.283,0.15,0.2175,-0.2788,4.5082
Fanuza Kadirova,240,OTT,LW,9,131.83333333333334,3,1,0,-1,8,1.2963652376962922,-0.4551201011378002,-0.2128624700828151,-0.2128624700828151,0.0,0.06731842660021836,0.0026927370640087347,0.5900018780918649,-0.0739377521658047,0.5160641259260602,0.35,-0.162,0.188,0.819,0.45,1.269,0.182,0.1,0.282,0.128,0.2175,-0.2788,4.5082
Allie Munroe,74,TOR,LD,10,162.25,0,2,0,0,8,0.3761654098912563,0.0,0.647917407104472,0.647917407104472,1.1093990755007705,0.2798137334215505,0.01119254933686202,0.1391058526562427,0.24444281589447192,0.3835486685507146,-0.789,0.661,-0.128,-0.212,1.415,1.203,-0.047,0.314,0.267,0.099,0.2175,-0.2788,4.5082
Nicole Gosling,253,MTL,LD,15,311.15,1,1,3,2,0,1.114340221161315,0.38566607745460396,0.012868734953090932,0.012868734953090932,0.0,-1.2501153254488113,-0.050004613017952455,0.21488161102259007,-0.04537186843483972,0.16950974258775034,-1.12,-0.235,-1.355,-0.013,1.21,1.197,-0.003,0.268,0.265,0.051,0.2175,-0.2788,4.5082
Zoe Boyd,52,BOS,LD,12,207.5,0,1,0,2,4,0.665190641449477,0.5783132530120483,0.3527801984302659,0.3527801984302659,0.0,-0.9371034392110141,-0.037484137568440566,0.192344281864909,0.08951673386645514,0.28186101573136413,-0.825,0.31,-0.515,-0.087,1.274,1.187,-0.019,0.283,0.264,0.076,0.2175,-0.2788,4.5082
Anne Cherkowski,249,NY,RW,14,258.93333333333334,2,3,1,-5,2,2.9488806304449664,-1.1585993820803295,-1.3355488222270422,-1.3355488222270422,0.0,0.16605351641629928,0.006642140656651972,0.6833142552524382,-0.4741554353450832,0.20915881990735496,1.09,-2.046,-0.956,2.01,-0.843,1.167,0.446,-0.187,0.259,0.06,0.2175,-0.2788,4.5082
Maja Nylen Persson,229,NY,RD,15,316.26666666666665,1,0,3,0,14,1.3674473390807482,0.0,-0.22110577148290866,-0.22110577148290866,0.0,-0.5029655109811031,-0.020118620439244124,0.2594229774815922,-0.09971669817309123,0.15970627930850098,-0.903,-0.526,-1.429,0.221,0.944,1.165,0.049,0.209,0.258,0.049,0.2175,-0.2788,4.5082
Savannah Norcross,147,NY,RW,15,58.43333333333334,1,1,0,1,2,0.774869173486025,1.026811180832858,0.8615630525664357,0.8615630525664357,0.0,0.16605351641629928,0.006642140656651972,0.795644331018166,0.3168048395805688,1.112449170598735,0.355,0.309,0.664,0.563,0.58,1.143,0.125,0.129,0.254,0.261,0.2175,-0.2788,4.5082
Mannon McMahon,220,OTT,RW,11,155.51666666666665,1,0,0,-2,6,1.4712188492679426,-0.7716214767977709,-0.5316961738114191,-0.5316961738114191,0.0,0.06731842660021836,0.0026927370640087347,0.5676120305824235,-0.18871788550810212,0.3788941450743214,0.355,-0.489,-0.134,0.908,0.233,1.141,0.201,0.052,0.253,0.098,0.2175,-0.2788,4.5082
Corinne Schroeder,155,SEA,G,8,490.3833333333333,0,0,0,0,0,0.0,0.0,0.26022425692154155,0.26022425692154155,0.0,-0.39586589994349974,-0.01583463599773999,0.0,0.07784609649401497,0.07784609649401497,-3.521,0.636,-2.885,-1.777,2.915,1.138,-0.394,0.647,0.253,0.031,0.2175,-0.2788,4.5082
Izzy Daniel,209,VAN,RW,16,200.1,4,2,0,-2,6,1.1095780724757107,-0.5997001499250375,-0.20132759226850794,-0.20132759226850794,0.0,-0.18181820126273718,-0.007272728050509487,0.3327070682086089,-0.07975066126717234,0.25295640694143656,-0.327,-0.266,-0.593,0.384,0.664,1.048,0.085,0.147,0.232,0.07,0.2175,-0.2788,4.5082
Sydney Bard,180,VAN,LD,5,61.53333333333333,0,0,1,1,0,0.4937744671676872,0.9750812567713976,1.3889503243095251,1.3889503243095251,0.0,-0.8508372286601396,-0.03403348914640558,0.4814702280074956,0.46598862760502346,0.9474588556125191,0.052,0.478,0.53,0.271,0.764,1.035,0.06,0.169,0.229,0.223,0.2175,-0.2788,4.5082
Cayla Barnes,196,SEA,RD,14,333.41666666666663,0,1,1,-3,6,1.421605278309488,-0.5398650337415647,-0.25299174253980833,-0.25299174253980833,0.0,-1.0648849273409022,-0.04259539709363609,0.25582499384724605,-0.1336724244079671,0.12215256943927896,-0.972,-0.743,-1.715,0.213,0.806,1.019,0.047,0.179,0.226,0.041,0.2175,-0.2788,4.5082
Maggie Flaherty,79,MTL,RD,3,63.03333333333333,0,0,1,-1,2,1.0495944218923337,-0.9518773135906928,-1.2429849593831492,-1.2429849593831492,9.518773135906928,8.268657810458116,0.33074631241832464,0.9990851186706508,-0.11672827295960908,0.8823568457110417,0.597,-0.123,0.474,0.821,0.17,0.991,0.182,0.038,0.22,0.209,0.2175,-0.2788,4.5082
Dominique Petrie,195,MIN,C,10,145.95,2,0,1,-3,8,2.714921591104643,-1.2332990750256938,-2.087230985216147,-2.087230985216147,0.0,-0.4426724057833362,-0.01770689623133345,1.116103429025547,-0.7691100509091463,0.34699337811640063,1.667,-1.871,-0.204,2.186,-1.193,0.993,0.485,-0.265,0.22,0.09,0.2175,-0.2788,4.5082
Madison Samoskevich,310,VAN,LD,6,81.43333333333334,0,0,0,2,4,0.05800405981880966,1.4735980352026197,1.8417647350843656,1.8417647350843656,0.0,-0.8508372286601396,-0.03403348914640558,0.04273733429138657,0.6290018154839659,0.6717391497753525,-0.527,0.854,0.327,-0.237,1.232,0.995,-0.053,0.273,0.22,0.162,0.2175,-0.2788,4.5082
Emmy Fecteau,204,NY,LW,11,67.46666666666667,0,1,0,1,6,0.617125646335967,0.8893280632411067,0.6983692361740852,0.6983692361740852,0.0,0.16605351641629928,0.006642140656651972,0.5488271558323817,0.2580550656793226,0.8068822215117044,0.133,0.29,0.423,0.373,0.604,0.977,0.083,0.134,0.217,0.193,0.2175,-0.2788,4.5082
Emily Brown,2,SEA,RD,11,209.88333333333333,0,0,1,-1,0,0.33589153923978166,-0.2858731041054554,-0.015646294094978697,-0.015646294094978697,4.002223457476376,2.9373385301354733,0.11749354120541894,0.09602235696523576,0.11186087533122661,0.20788323229646238,-1.171,0.391,-0.78,-0.425,1.366,0.941,-0.094,0.303,0.209,0.06,0.2175,-0.2788,4.5082
Hadley Hartmetz,182,BOS,RD,11,129.21666666666667,0,2,0,2,2,0.3350451527326119,0.9286727718302592,0.6993093577825085,0.6993093577825085,0.0,-0.9371034392110141,-0.037484137568440566,0.15557365533824363,0.21426723123326244,0.36984088657150604,-0.593,0.461,-0.132,-0.133,1.062,0.929,-0.03,0.236,0.206,0.096,0.2175,-0.2788,4.5082
Jaime Bourbonnais,87,NY,LD,5,109.23333333333333,0,0,0,0,2,0.9721900051910682,0.0,-0.19250259388466373,-0.19250259388466373,0.0,-0.5029655109811031,-0.020118620439244124,0.5340073266231073,-0.08941955423772308,0.44458777238538427,0.188,-0.163,0.025,0.576,0.345,0.921,0.128,0.077,0.205,0.113,0.2175,-0.2788,4.5082
Kristen Campbell,64,VAN,G,5,298.0833333333333,0,0,0,0,0,0.0,0.0,0.36371479442306265,0.36371479442306265,0.0,-0.18181820126273718,-0.007272728050509487,0.0,0.12366459794179305,0.12366459794179305,-2.14,0.614,-1.526,-1.08,1.999,0.919,-0.24,0.443,0.203,0.041,0.2175,-0.2788,4.5082
Anna Wilgren,203,SEA,LD,12,258.65,0,1,3,-2,8,1.087684701065822,-0.46394741929248023,-0.17743983824920911,-0.17743983824920911,0.0,-1.0648849273409022,-0.04259539709363609,0.25231425503170046,-0.10647373886335137,0.1458405161683491,-0.769,-0.459,-1.228,0.15,0.743,0.893,0.033,0.165,0.198,0.046,0.2175,-0.2788,4.5082
Jessica Kondas,132,TOR,LD,5,55.35,0,0,0,1,2,0.2628298898096747,1.084010840108401,1.7471165665607382,1.7471165665607382,0.0,-0.8295853420792201,-0.0331834136831688,0.2849104496581839,0.595778550278697,0.8806889999368809,-0.135,0.55,0.415,0.062,0.807,0.869,0.014,0.179,0.193,0.209,0.2175,-0.2788,4.5082
Megan Carter,208,SEA,LD,14,246.26666666666665,1,2,1,-1,10,0.7302817041367393,-0.24363833243096916,0.03512015422231579,0.03512015422231579,0.0,-1.0648849273409022,-0.04259539709363609,0.17792461660072154,-0.02995214157360241,0.14797247502711913,-1.038,-0.123,-1.161,-0.162,1.021,0.859,-0.036,0.226,0.19,0.046,0.2175,-0.2788,4.5082
