name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,pm60_resid,d_adj_pm60,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win
Marah Wagner,295,SEA,LW,10,85.61666666666666,0,0,0,-1,2,0.28328446130523294,-0.7007981312049836,-0.41989370014352373,-0.41989370014352373,0.0,-0.39586589994349974,-0.01583463599773999,0.1985252210821177,-0.1669963680494085,0.03152885303270919,-0.331,-0.238,-0.569,-0.027,0.159,0.132,-0.006,0.035,0.029,0.02,0.2175,-0.2788,4.5082
Klára Hymlárová,190,MIN,C,15,180.54999999999998,1,1,1,0,4,1.004997400789994,0.0,-0.9354050685117719,-0.9354050685117719,0.0,-0.4426724057833362,-0.01770689623133345,0.3339786432976995,-0.3544527208955713,-0.020474077597871787,-0.291,-1.067,-1.358,0.351,-0.228,0.123,0.078,-0.051,0.027,0.009,0.2175,-0.2788,4.5082
Emma Woods,86,TOR,RW,16,135.86666666666667,0,0,1,-3,2,0.5279689227622105,-1.324828263002944,-0.6671137406790195,-0.6671137406790195,0.0,-0.16056631468181765,-0.006422652587272706,0.2331560502875316,-0.2465835992317197,-0.0134275489441881,-0.448,-0.558,-1.006,0.036,0.073,0.109,0.008,0.016,0.024,0.011,0.2175,-0.2788,4.5082
Kathryn Reilly,289,OTT,RD,11,134.35,0,0,0,-1,2,0.1705059915871841,-0.446594715295869,-0.25786482624476903,-0.25786482624476903,0.0,-0.601700600797184,-0.02406802403188736,0.07614707476911832,-0.11689936148000421,-0.04075228671088589,-0.794,-0.262,-1.056,-0.316,0.362,0.046,-0.07,0.08,0.01,0.004,0.2175,-0.2788,4.5082
Alexa Vasko,101,OTT,C,16,168.18333333333334,0,0,0,-3,2,0.6580725469253669,-1.0702606282826281,-0.8650071773731425,-0.8650071773731425,0.713507085521752,0.7808255121219704,0.031233020484878814,0.23476971250929746,-0.2801695633694525,-0.04539985086015502,-0.549,-0.785,-1.334,0.048,-0.004,0.044,0.011,-0.001,0.01,0.004,0.2175,-0.2788,4.5082
Laura Kluge,212,BOS,LW,12,114.8,0,1,0,-1,6,0.43299288743116293,-0.5226480836236933,-0.7446437025514101,-0.7446437025514101,0.0,-0.26808441181361176,-0.01072337647254447,0.2263029028385869,-0.27879510939105207,-0.05249220655246517,-0.391,-0.533,-0.924,0.017,-0.0,0.017,0.004,-0.0,0.004,0.002,0.2175,-0.2788,4.5082
Callie Shanahan,282,NY,G,1,61.28333333333333,0,0,0,0,0,0.0,0.0,-0.24812960412730747,-0.24812960412730747,0.0,0.16605351641629928,0.006642140656651972,0.0,-0.08268451682917871,-0.08268451682917871,-0.44,-0.084,-0.524,-0.222,0.2,-0.022,-0.049,0.044,-0.005,-0.005,0.2175,-0.2788,4.5082
Abbey Levy,41,BOS,G,1,60.0,0,0,0,0,0,0.0,0.0,-0.24556936645239605,-0.24556936645239605,0.0,-0.26808441181361176,-0.01072337647254447,0.0,-0.09912834839540705,-0.09912834839540705,-0.431,-0.099,-0.53,-0.217,0.18,-0.037,-0.048,0.04,-0.008,-0.008,0.2175,-0.2788,4.5082
Taylor House,217,OTT,LW,7,59.88333333333333,0,0,0,-1,0,0.13928871414249622,-1.0019482326746452,-0.8066126740579782,-0.8066126740579782,0.0,0.06731842660021836,0.0026927370640087347,0.13956008096659792,-0.2876878255968634,-0.14812774463026548,-0.291,-0.287,-0.578,-0.078,-0.009,-0.087,-0.017,-0.002,-0.019,-0.019,0.2175,-0.2788,4.5082
Sophie Shirley,18,BOS,RW,12,130.7,0,2,1,-2,2,0.68950690249822,-0.9181331293037491,-1.1307299268822888,-1.1307299268822888,0.0,-0.26808441181361176,-0.01072337647254447,0.31652956503361285,-0.4177861501501684,-0.10125658511655555,-0.249,-0.91,-1.159,0.216,-0.303,-0.087,0.048,-0.067,-0.019,-0.009,0.2175,-0.2788,4.5082
Gabbie Hughes,57,OTT,C,14,216.7,2,5,2,-6,8,1.533104532815616,-1.6612828795569912,-1.436266797448884,-1.436266797448884,0.0,0.06731842660021836,0.0026927370640087347,0.4244867188229671,-0.5143633100175895,-0.08987659119462238,-0.023,-1.858,-1.881,0.748,-0.851,-0.103,0.166,-0.189,-0.023,-0.006,0.2175,-0.2788,4.5082
Sydney Bard,180,VAN,RD,11,169.53333333333333,0,0,0,-3,0,0.4937744671676872,-1.0617381046008652,-0.6798194587876314,-0.6798194587876314,0.0,-0.8508372286601396,-0.03403348914640558,0.17475305562364077,-0.2787684943099529,-0.1040154386863121,-0.723,-0.788,-1.511,-0.121,0.0,-0.121,-0.027,0.0,-0.027,-0.01,0.2175,-0.2788,4.5082
Savannah Harmon,56,TOR,LD,14,316.8333333333333,1,1,3,-9,2,1.6890684304654804,-1.704366123093109,-1.0376191464280755,-1.0376191464280755,0.0,-0.8295853420792201,-0.0331834136831688,0.31986566805237926,-0.40672630639727597,-0.08686063834489671,-0.586,-2.148,-2.734,0.541,-0.676,-0.135,0.12,-0.15,-0.03,-0.006,0.2175,-0.2788,4.5082
Denisa Křížová,104,MIN,LW,15,204.35,0,2,0,-4,0,2.1003900221064904,-1.1744555908979692,-2.0804094723118562,-2.0804094723118562,1.1744555908979692,0.731783185114633,0.029271327404585323,0.6167037011323192,-0.7196760826276829,-0.1029723814953637,0.633,-2.451,-1.818,1.36,-1.502,-0.142,0.302,-0.333,-0.031,-0.009,0.2175,-0.2788,4.5082
Sara Hjalmarsson,313,TOR,LW,13,145.63333333333333,0,0,0,-6,4,1.2852224779884411,-2.4719615472648204,-1.7833768147719011,-1.7833768147719011,0.0,-0.16056631468181765,-0.006422652587272706,0.5295034242113056,-0.648438305905157,-0.11893488169385147,0.24,-1.574,-1.334,0.757,-0.897,-0.14,0.168,-0.199,-0.031,-0.013,0.2175,-0.2788,4.5082
Brooke Hobson,38,OTT,LD,16,256.0,1,0,2,-3,4,0.47069095707158964,-0.703125,-0.5108355396610058,-0.5108355396610058,0.0,-0.601700600797184,-0.02406802403188736,0.11031819306365383,-0.20796881830984942,-0.0976506252461956,-1.367,-0.887,-2.254,-0.457,0.302,-0.155,-0.101,0.067,-0.034,-0.008,0.2175,-0.2788,4.5082
Katie Chan,301,VAN,RW,8,71.1,0,0,0,-2,2,0.3098104370322066,-1.6877637130801688,-1.296814619909387,-1.296814619909387,0.0,-0.18181820126273718,-0.007272728050509487,0.26144340677823347,-0.47412599121788884,-0.21268258443965538,-0.201,-0.562,-0.763,0.052,-0.231,-0.179,0.012,-0.051,-0.039,-0.033,0.2175,-0.2788,4.5082
Anna Segedi,248,VAN,C,12,144.81666666666666,0,0,0,-4,2,0.7825711946104613,-1.6572678098745541,-1.2597780382342423,-1.2597780382342423,0.0,-0.18181820126273718,-0.007272728050509487,0.32423251244074813,-0.4607928218148367,-0.13656030937408858,-0.257,-1.112,-1.369,0.258,-0.439,-0.181,0.057,-0.097,-0.04,-0.017,0.2175,-0.2788,4.5082
Sandra Abstreiter,48,MTL,G,2,116.46666666666667,0,0,0,0,0,0.0,0.0,-0.39518134545686157,-0.39518134545686157,0.0,-0.5810962980514089,-0.023243851922056358,0.0,-0.16550913628652653,-0.16550913628652653,-0.836,-0.321,-1.157,-0.422,0.22,-0.202,-0.094,0.049,-0.045,-0.023,0.2175,-0.2788,4.5082
Lyndie Lobdell,294,SEA,RD,10,127.11666666666667,0,1,1,-2,2,0.2630259079665144,-0.9440146846728726,-0.6708578295159235,-0.6708578295159235,0.0,-1.0648849273409022,-0.04259539709363609,0.12415015978490257,-0.28410421571936856,-0.159954055934466,-0.65,-0.602,-1.252,-0.198,-0.011,-0.209,-0.044,-0.002,-0.046,-0.022,0.2175,-0.2788,4.5082
Sidney Morin,167,MIN,RD,8,177.35,0,0,0,-2,2,1.2380031815380406,-0.6766281364533409,-1.6031939183126729,-1.6031939183126729,1.3532562729066817,0.2415648397259431,0.009662593589037724,0.4188338928236957,-0.5674872170035244,-0.14865332417982874,-0.035,-1.677,-1.712,0.595,-0.853,-0.258,0.132,-0.189,-0.057,-0.019,0.2175,-0.2788,4.5082
Kateřina Mrázová,88,OTT,C,16,277.75,1,2,2,-6,4,1.246737796734836,-1.296129612961296,-1.0872768538813689,-1.0872768538813689,0.0,0.06731842660021836,0.0026927370640087347,0.269322296324357,-0.38872693033328404,-0.11940463400892704,-0.747,-1.799,-2.546,0.24,-0.509,-0.269,0.053,-0.113,-0.06,-0.013,0.2175,-0.2788,4.5082
Kayle Osborne,228,NY,G,15,897.0,0,0,0,0,0,0.0,0.0,-0.24812960412730747,-0.24812960412730747,0.0,0.16605351641629928,0.006642140656651972,0.0,-0.08268451682917871,-0.08268451682917871,-6.44,-1.236,-7.676,-3.251,2.931,-0.32,-0.721,0.65,-0.071,-0.005,0.2175,-0.2788,4.5082
Brooke McQuigge,192,VAN,LW,13,128.81666666666666,0,1,0,-5,4,0.9465339464038272,-2.328891189028335,-1.919250894877616,-1.919250894877616,0.0,-0.18181820126273718,-0.007272728050509487,0.44087491357921826,-0.6982030502064512,-0.257328136627233,0.022,-1.499,-1.477,0.48,-0.901,-0.421,0.106,-0.2,-0.094,-0.044,0.2175,-0.2788,4.5082
Claire Butorac,102,MIN,RW,14,134.56666666666666,0,1,0,-1,0,0.4988352431226134,-0.4458756502353233,-1.3929018287402832,-1.3929018287402832,0.8917513004706465,0.4490788946873103,0.017963155787492413,0.22241848838759082,-0.48348150255900957,-0.26106301417141875,-0.467,-1.084,-1.551,0.011,-0.459,-0.448,0.002,-0.102,-0.1,-0.045,0.2175,-0.2788,4.5082
Amanda Boulier,51,MTL,RD,15,240.8,0,0,1,-2,6,0.6520707841965079,-0.4983388704318936,-0.876595241773246,-0.876595241773246,0.4983388704318936,-0.7517764550169177,-0.03007105820067671,0.16247610901906342,-0.3456453452390452,-0.1831692362199818,-1.077,-1.387,-2.464,-0.221,-0.268,-0.489,-0.049,-0.059,-0.108,-0.027,0.2175,-0.2788,4.5082
Aerin Frankel,6,BOS,G,13,799.45,0,0,0,0,0,0.0,0.0,-0.24556936645239605,-0.24556936645239605,0.0,-0.26808441181361176,-0.01072337647254447,0.0,-0.09912834839540705,-0.09912834839540705,-5.74,-1.321,-7.061,-2.898,2.394,-0.504,-0.643,0.531,-0.112,-0.008,0.2175,-0.2788,4.5082
Madison Samoskevich,310,VAN,D,7,52.8,0,0,0,-2,2,0.05800405981880966,-2.272727272727273,-1.9021463135090317,-1.9021463135090317,0.0,-0.8508372286601396,-0.03403348914640558,0.06591370433955644,-0.718806162009657,-0.6528924576701005,-0.321,-0.633,-0.954,-0.133,-0.387,-0.52,-0.03,-0.086,-0.116,-0.132,0.2175,-0.2788,4.5082
Rory Guilday,242,OTT,LD,3,66.66666666666666,1,0,2,-5,2,0.951066842918216,-4.500000000000001,-4.230037760304221,-4.230037760304221,0.0,-0.601700600797184,-0.02406802403188736,0.8559601586263945,-1.5468816177414069,-0.6909214591150123,0.472,-1.719,-1.247,0.709,-1.409,-0.7,0.157,-0.313,-0.156,-0.14,0.2175,-0.2788,4.5082
Mellissa Channell-Watkins,129,VAN,LD,16,305.31666666666666,0,0,0,-6,2,0.38078950448988397,-1.1791036628636935,-0.8075937232103167,-0.8075937232103167,0.9825863857197447,0.1317491570596051,0.005269966282384205,0.07483171658734551,-0.28546377407332985,-0.21063205748598435,-1.811,-1.453,-3.264,-0.726,-0.034,-0.76,-0.161,-0.008,-0.169,-0.033,0.2175,-0.2788,4.5082
Samantha Isbell,108,OTT,RD,7,92.63333333333334,0,1,0,-3,0,0.12143638206186086,-1.943145016192875,-1.754153757522616,-1.754153757522616,0.0,-0.601700600797184,-0.02406802403188736,0.07865616686266626,-0.6555633767400291,-0.5769072098773628,-0.544,-1.012,-1.556,-0.214,-0.582,-0.796,-0.047,-0.129,-0.176,-0.114,0.2175,-0.2788,4.5082
Brooke Becker,264,MIN,RD,10,139.56666666666666,0,0,0,-2,2,0.5019228728252524,-0.8598041557200861,-1.8075220999867279,-1.8075220999867279,0.0,-1.1116914331807386,-0.04446765732722954,0.21577768595305813,-0.6951756133224516,-0.47939792736939346,-0.5,-1.617,-2.117,-0.004,-0.969,-0.973,-0.001,-0.215,-0.216,-0.093,0.2175,-0.2788,4.5082
Ann-Renée Desbiens,28,MTL,G,13,784.5333333333333,0,0,0,0,0,0.0,0.0,-0.39518134545686157,-0.39518134545686157,0.0,-0.5810962980514089,-0.023243851922056358,0.0,-0.16550913628652653,-0.16550913628652653,-5.633,-2.164,-7.797,-2.844,1.481,-1.363,-0.631,0.329,-0.302,-0.023,0.2175,-0.2788,4.5082
Nicole Hensley,22,MIN,G,7,426.01666666666665,0,0,0,0,0,0.0,0.0,-0.9701952904531602,-0.9701952904531602,0.0,-0.4426724057833362,-0.01770689623133345,0.0,-0.3669772007944711,-0.3669772007944711,-3.059,-2.606,-5.665,-1.544,-0.626,-2.17,-0.342,-0.139,-0.481,-0.068,0.2175,-0.2788,4.5082
Maddie Rooney,123,MIN,G,8,485.1166666666667,0,0,0,0,0,0.0,0.0,-0.9701952904531602,-0.9701952904531602,0.0,-0.4426724057833362,-0.01770689623133345,0.0,-0.3669772007944711,-0.3669772007944711,-3.483,-2.967,-6.45,-1.758,-0.713,-2.471,-0.39,-0.158,-0.548,-0.068,0.2175,-0.2788,4.5082
