Name,PlayerID,Team,position,GP,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,pm60_resid,d_adj_pm60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win
Lauren Bernard,207,TOR,D,12,114.53333333333333,0,1,0,-2,2,0.21286222767770652,-1.0477299185098952,-0.6193416280405679,-0.6193416280405679,0.11151106222929912,-0.22296298609460444,-0.11145192386530532,-0.616,-0.426,-1.042,-0.206,0.019,-0.187,-0.041,0.004,-0.037,-0.019,0.2195,-0.2327,5.0492
Katy Knoll,191,MIN,F,20,155.88333333333333,1,0,1,-2,6,0.8368793213826177,-0.7698064792045334,-1.1362700962573076,-1.1362700962573076,0.322117561956316,-0.4090572346526307,-0.0869396726963147,-0.291,-1.063,-1.354,0.267,-0.458,-0.191,0.053,-0.091,-0.038,-0.015,0.2195,-0.2327,5.0492
Rebecca Leslie,72,OTT,F,26,277.1333333333333,1,0,2,-6,2,1.7786195632611719,-1.2990137118114025,-1.2242718548062452,-1.2242718548062452,0.38507520012871177,-0.44073786773024826,-0.055662667601536486,-0.227,-2.036,-2.263,0.765,-0.961,-0.196,0.152,-0.19,-0.038,-0.008,0.2195,-0.2327,5.0492
Dominika Lásková,82,MTL,D,5,50.75,0,0,0,-1,2,0.0561166124655327,-1.1822660098522169,-1.2310363895779304,-1.2310363895779304,0.06634476350604851,-0.4431731002480549,-0.3768283367420064,-0.311,-0.375,-0.686,-0.13,-0.178,-0.308,-0.026,-0.035,-0.061,-0.072,0.2195,-0.2327,5.0492
Noora Tulus,231,NY,F,28,318.45,1,1,0,-12,6,3.2953143688000366,-2.260951483749411,-1.9654505092389383,-1.9654505092389383,0.6208788259632664,-0.7075621833260177,-0.08668335736275135,0.99,-3.755,-2.765,2.13,-2.52,-0.39,0.422,-0.499,-0.077,-0.015,0.2195,-0.2327,5.0492
Maggie Connors,66,TOR,F,29,224.55,2,0,0,-8,6,2.115535744358015,-2.1376085504342015,-1.944903665224303,-1.944903665224303,0.5652734119861096,-0.7001653194807491,-0.13489190749463953,0.49,-2.62,-2.13,1.294,-1.75,-0.456,0.256,-0.347,-0.091,-0.024,0.2195,-0.2327,5.0492
Brooke Hobson,38,NY,D,28,324.8,1,3,0,-7,8,0.9500868133846085,-1.2931034482758619,-0.7662779483866572,-0.7662779483866572,0.17550864779272324,-0.27586006141919656,-0.10035141362647332,-1.401,-1.493,-2.894,-0.238,-0.234,-0.472,-0.047,-0.046,-0.093,-0.017,0.2195,-0.2327,5.0492
Sydney Bard,180,BOS,RD,25,427.59999999999997,1,0,2,-6,12,0.8206389069218962,-0.841908325537886,-0.5649165107701932,-0.5649165107701932,0.11515045466630912,-0.20336994387726956,-0.08821948921096044,-2.275,-1.449,-3.724,-0.744,0.209,-0.535,-0.147,0.041,-0.106,-0.015,0.2195,-0.2327,5.0492
Taylor House,217,OTT,F,11,93.98333333333333,1,1,0,-3,2,0.4461715558558701,-1.9152331973754213,-1.788429791033551,-1.788429791033551,0.2848408584999348,-0.6438347247720783,-0.35899386627214347,-0.234,-1.008,-1.242,0.102,-0.644,-0.542,0.02,-0.128,-0.108,-0.069,0.2195,-0.2327,5.0492
Emmy Fecteau,204,NY,F,28,222.89999999999998,1,0,0,-8,6,1.6310985335923265,-2.1534320323014806,-1.7634933542645754,-1.7634933542645754,0.4390574787597111,-0.6348576075352471,-0.19580012877553604,0.018,-2.358,-2.34,0.816,-1.494,-0.678,0.162,-0.296,-0.134,-0.036,0.2195,-0.2327,5.0492
Maggie Flaherty,79,MIN,D,20,302.51666666666665,1,0,0,-4,12,0.9714158790389626,-0.7933447192992122,-1.092571886635466,-1.092571886635466,0.19266691446974082,-0.3933258791887677,-0.2006589647190269,-1.218,-1.983,-3.201,-0.135,-0.81,-0.945,-0.027,-0.16,-0.187,-0.037,0.2195,-0.2327,5.0492
Kaitlin Willoughby,128,TOR,F,20,90.73333333333333,0,0,0,-4,0,0.2260611252891965,-2.645113886847906,-2.2364514583319792,-2.2364514583319792,0.1494893554447295,-0.8051225249995125,-0.655633169554783,-0.431,-1.218,-1.649,-0.106,-0.866,-0.972,-0.021,-0.172,-0.193,-0.128,0.2195,-0.2327,5.0492
Kristin O'Neill,30,MTL,F,30,472.93333333333334,1,2,2,-12,24,3.6309686973707405,-1.5224133070200168,-1.7759866844622034,-1.7759866844622034,0.460652921854196,-0.6393552064063932,-0.17870228455219722,0.208,-5.04,-4.832,1.901,-3.205,-1.304,0.376,-0.635,-0.259,-0.033,0.2195,-0.2327,5.0492
Noemi Neubauerová,214,TOR,F,19,87.48333333333333,0,0,0,-5,4,0.25530016407581,-3.429224614212231,-3.033862400934445,-3.033862400934445,0.1750963213322378,-1.0921904643364,-0.9170941430041621,-0.378,-1.592,-1.97,-0.065,-1.253,-1.318,-0.013,-0.248,-0.261,-0.179,0.2195,-0.2327,5.0492
Anna Kjellbin,200,MTL,D,18,197.01666666666668,0,0,1,-5,4,0.5066072211872457,-1.522713814398105,-1.6171594593621343,-1.6171594593621343,0.15428356283513106,-0.5821774053703683,-0.42789384253523727,-0.919,-1.912,-2.831,-0.214,-1.148,-1.362,-0.042,-0.227,-0.269,-0.082,0.2195,-0.2327,5.0492
