player_id,name,team,position,oz_fo,dz_fo,nz_fo,n_fo,ozs_pct,season
1,Hannah Brandt,BOS,C,43,58,48,149,0.42574257425742573,2025-26
4,Shiann Darkangelo,MTL,C,83,77,59,219,0.51875,2025-26
13,Hilary Knight,SEA,RW,3,2,0,5,0.44882755700979465,2025-26
15,Alina Müller,BOS,C,58,53,40,151,0.5225225225225225,2025-26
16,Jamie Lee Rattray,BOS,LW,6,1,3,10,0.4890567507619902,2025-26
17,Theresa Schafzahl,BOS,LW,1,1,2,4,0.4890567507619902,2025-26
18,Sophie Shirley,BOS,RW,0,2,0,2,0.4890567507619902,2025-26
20,Kendall Coyne Schofield,MIN,LW,1,0,0,1,0.5242021329662908,2025-26
21,Taylor Heise,MIN,C,59,77,84,220,0.4338235294117647,2025-26
23,Kelly Pannek,MIN,C,95,100,76,271,0.48717948717948717,2025-26
25,Grace Zumwinkle,MIN,RW,1,2,3,6,0.5242021329662908,2025-26
26,Claire Dalton,TOR,RW,1,6,0,7,0.48269289586932296,2025-26
30,Kristin O'Neill,NY,C,91,123,90,304,0.4252336448598131,2025-26
31,Marie-Philip Poulin,MTL,C,106,66,102,274,0.6162790697674418,2025-26
32,Laura Stacey,MTL,RW,1,0,0,1,0.5111888264445568,2025-26
34,Alex Carpenter,SEA,C,126,89,109,324,0.586046511627907,2025-26
35,Jade Downie-Landry,MTL,C,7,7,5,19,0.5,2025-26
36,Jessie Eldridge,SEA,RW,4,2,2,8,0.44882755700979465,2025-26
38,Brooke Hobson,OTT,LD,0,0,2,2,0.5091584771817329,2025-26
39,Alexandra Labelle,MTL,C,18,40,21,79,0.3103448275862069,2025-26
40,Paetyn Levis,NY,RW,2,5,2,9,0.46630267162545896,2025-26
42,Abby Roque,MTL,LW,86,34,20,140,0.7166666666666667,2025-26
44,Ella Shelton,TOR,LD,0,1,0,1,0.48269289586932296,2025-26
45,Kayla Vespa,NY,C,19,28,27,74,0.40425531914893614,2025-26
47,Micah Zandee-Hart,NY,LD,1,3,0,4,0.46630267162545896,2025-26
49,Lexie Adzija,SEA,RW,4,10,3,17,0.2857142857142857,2025-26
53,Emily Clark,OTT,LW,3,2,1,6,0.5091584771817329,2025-26
57,Gabbie Hughes,OTT,C,57,69,57,183,0.4523809523809524,2025-26
58,Brianne Jenner,OTT,C,81,87,112,280,0.48214285714285715,2025-26
61,Hayley Scamurra,MTL,C,33,61,55,149,0.35106382978723405,2025-26
63,Daryl Watts,TOR,LW,0,4,1,5,0.48269289586932296,2025-26
65,Jesse Compher,TOR,RW,33,23,35,91,0.5892857142857143,2025-26
66,Maggie Connors,TOR,LW,1,3,0,4,0.48269289586932296,2025-26
72,Rebecca Leslie,OTT,LW,1,4,2,7,0.5091584771817329,2025-26
73,Emma Maltais,TOR,C,87,62,52,201,0.5838926174496645,2025-26
74,Allie Munroe,TOR,LD,0,0,1,1,0.48269289586932296,2025-26
75,Sarah Nurse,VAN,C,33,24,40,97,0.5789473684210527,2025-26
76,Blayre Turnbull,TOR,C,67,88,102,257,0.432258064516129,2025-26
78,Susanna Tapani,BOS,C,113,50,55,218,0.6932515337423313,2025-26
86,Emma Woods,TOR,RW,0,3,0,3,0.48269289586932296,2025-26
88,Kateřina Mrázová,OTT,C,93,50,60,203,0.6503496503496503,2025-26
89,Hannah Miller,VAN,C,88,89,78,255,0.4971751412429379,2025-26
91,Brooke Bryant,SEA,RW,1,3,2,6,0.44882755700979465,2025-26
97,Liz Schepers,BOS,C,24,49,59,132,0.3287671232876712,2025-26
98,Maureen Murphy,MTL,RW,2,1,0,3,0.5111888264445568,2025-26
100,Natalie Spooner,TOR,RW,5,7,4,16,0.4166666666666667,2025-26
101,Alexa Vasko,OTT,C,32,54,39,125,0.37209302325581395,2025-26
102,Claire Butorac,MIN,RW,2,2,3,7,0.5242021329662908,2025-26
104,Denisa Křížová,MIN,LW,1,2,0,3,0.5242021329662908,2025-26
114,Abby Boreen,VAN,RW,9,10,8,27,0.47368421052631576,2025-26
115,Michela Cava,VAN,RW,9,4,0,13,0.6923076923076923,2025-26
116,Clair DeGeorge,TOR,C,1,0,0,1,0.48269289586932296,2025-26
128,Kaitlin Willoughby,MTL,RW,0,1,0,1,0.5111888264445568,2025-26
138,Mikyla Grant-Mentis,SEA,C,45,58,53,156,0.4368932038834951,2025-26
142,Natalie Snodgrass,SEA,LW,5,2,1,8,0.44882755700979465,2025-26
