player_id,name,team,position,oz_fo,dz_fo,nz_fo,n_fo,ozs_pct,season
147,Savannah Norcross,NY,RW,1,0,0,1,0.46630267162545896,2025-26
149,Jill Saulnier,BOS,LW,1,2,1,4,0.4890567507619902,2025-26
157,Catherine Dubois,MTL,LW,1,0,0,1,0.5111888264445568,2025-26
161,Tereza Vanišová,VAN,LW,5,1,3,9,0.5241173680431338,2025-26
181,Hannah Bilka,SEA,LW,1,1,0,2,0.44882755700979465,2025-26
183,Shay Maloney,BOS,RW,19,21,23,63,0.475,2025-26
188,Mae Batherson,MIN,LD,1,2,0,3,0.5242021329662908,2025-26
189,Britta Curl-Salemme,MIN,RW,18,15,4,37,0.5454545454545454,2025-26
190,Klára Hymlárová,MIN,C,23,25,48,96,0.4791666666666667,2025-26
191,Katy Knoll,MIN,RW,16,7,3,26,0.6956521739130435,2025-26
192,Brooke McQuigge,VAN,LW,3,0,3,6,0.5241173680431338,2025-26
195,Dominique Petrie,MIN,C,27,39,38,104,0.4090909090909091,2025-26
198,Jenn Gardiner,VAN,LW,2,1,1,4,0.5241173680431338,2025-26
199,Dara Greig,MTL,LW,1,0,1,2,0.5111888264445568,2025-26
200,Anna Kjellbin,TOR,RD,0,1,0,1,0.48269289586932296,2025-26
201,Lina Ljungblom,MTL,C,13,10,6,29,0.5652173913043478,2025-26
204,Emmy Fecteau,NY,C,4,1,4,9,0.46630267162545896,2025-26
205,Sarah Fillier,NY,C,37,53,53,143,0.4111111111111111,2025-26
206,Elle Hartje,NY,C,14,23,14,51,0.3783783783783784,2025-26
207,Lauren Bernard,NY,RD,0,1,1,2,0.46630267162545896,2025-26
208,Megan Carter,SEA,LD,0,0,1,1,0.44882755700979465,2025-26
209,Izzy Daniel,VAN,RW,0,7,3,10,0.5241173680431338,2025-26
210,Julia Gosling,SEA,LW,4,1,0,5,0.44882755700979465,2025-26
212,Laura Kluge,BOS,LW,1,5,2,8,0.4890567507619902,2025-26
217,Taylor House,OTT,C,6,5,2,13,0.5454545454545454,2025-26
219,Stephanie Markowski,OTT,LD,0,0,1,1,0.5091584771817329,2025-26
220,Mannon McMahon,OTT,C,17,11,16,44,0.6071428571428571,2025-26
224,Danielle Serdachny,SEA,C,70,60,73,203,0.5384615384615384,2025-26
227,Gabby Rosenthal,VAN,C,48,76,79,203,0.3870967741935484,2025-26
237,Jenna Buglioni,SEA,C,9,14,12,35,0.391304347826087,2025-26
239,Anna Shokhina,OTT,LW,1,5,2,8,0.5091584771817329,2025-26
240,Fanuza Kadirova,OTT,LW,0,1,0,1,0.5091584771817329,2025-26
241,Sarah Wozniewicz,OTT,RW,1,5,0,6,0.5091584771817329,2025-26
243,Ella Huber,BOS,LW,6,0,6,12,0.4890567507619902,2025-26
244,Emma Gentry,TOR,C,47,44,28,119,0.5164835164835165,2025-26
245,Kristýna Kaltounková,NY,LW,9,5,17,31,0.6428571428571429,2025-26
247,Abby Hustler,MIN,LW,0,1,1,2,0.5242021329662908,2025-26
248,Anna Segedi,VAN,C,33,37,43,113,0.4714285714285714,2025-26
252,Michelle Karvinen,VAN,LW,5,0,4,9,0.5241173680431338,2025-26
256,Olivia Mobley,BOS,RW,0,1,1,2,0.4890567507619902,2025-26
259,Abby Newhook,BOS,RW,0,1,2,3,0.4890567507619902,2025-26
269,Vanessa Upson,MIN,C,13,8,15,36,0.6190476190476191,2025-26
272,Skylar Irving,MTL,RW,0,2,0,2,0.5111888264445568,2025-26
274,Natálie Mlýnková,MTL,RW,2,0,0,2,0.5111888264445568,2025-26
277,Anna Bargman,NY,LW,1,2,0,3,0.46630267162545896,2025-26
280,Casey O'Brien,NY,C,110,109,80,299,0.502283105022831,2025-26
285,Maddi Wheeler,NY,LW,7,7,2,16,0.5,2025-26
286,Peyton Hemp,OTT,RW,5,6,3,14,0.45454545454545453,2025-26
291,Lily Delianedis,SEA,C,5,6,9,20,0.45454545454545453,2025-26
294,Lyndie Lobdell,SEA,RD,0,0,1,1,0.44882755700979465,2025-26
301,Katie Chan,VAN,RW,2,2,1,5,0.5241173680431338,2025-26
306,Darcie Lappan,VAN,C,25,19,29,73,0.5681818181818182,2025-26
311,Hanna Baskin,TOR,LD,1,0,0,1,0.48269289586932296,2025-26
313,Sara Hjalmarsson,TOR,LW,12,17,12,41,0.41379310344827586,2025-26
316,Clara Van Wieren,TOR,C,29,39,32,100,0.4264705882352941,2025-26
