player_id,name,team,position,oz_fo,dz_fo,nz_fo,n_fo,ozs_pct,season
1,Hannah Brandt,BOS,C,114,172,141,427,0.3986013986013986,2024-25
4,Shiann Darkangelo,OTT,C,179,175,166,520,0.5056497175141242,2024-25
5,Jessica DiGirolamo,BOS,RD,0,1,0,1,0.49429083889390296,2024-25
8,Loren Gabel,BOS,RW,0,0,1,1,0.49429083889390296,2024-25
9,Taylor Girard,BOS,LW,0,0,3,3,0.49429083889390296,2024-25
11,Sophie Jaques,MIN,RD,0,2,2,4,0.5147587522713617,2024-25
13,Hilary Knight,BOS,RW,19,8,3,30,0.7037037037037037,2024-25
15,Alina Müller,BOS,LW,9,11,15,35,0.45,2024-25
16,Jamie Lee Rattray,BOS,RW,12,24,18,54,0.3333333333333333,2024-25
17,Theresa Schafzahl,BOS,LW,1,3,1,5,0.49429083889390296,2024-25
20,Kendall Coyne Schofield,MIN,LW,12,5,5,22,0.7058823529411765,2024-25
21,Taylor Heise,MIN,C,208,149,176,533,0.5826330532212886,2024-25
23,Kelly Pannek,MIN,C,220,281,221,722,0.43912175648702595,2024-25
25,Grace Zumwinkle,MIN,RW,8,12,13,33,0.4,2024-25
26,Claire Dalton,MTL,RW,5,3,4,12,0.4403177661018539,2024-25
27,Jillian Dempsey,BOS,C,13,13,13,39,0.5,2024-25
30,Kristin O'Neill,MTL,C,130,185,162,477,0.4126984126984127,2024-25
31,Marie-Philip Poulin,MTL,C,313,226,258,797,0.5807050092764379,2024-25
32,Laura Stacey,MTL,RW,20,14,7,41,0.5882352941176471,2024-25
34,Alex Carpenter,NY,C,157,115,158,430,0.5772058823529411,2024-25
35,Jade Downie-Landry,NY,C,30,64,49,143,0.3191489361702128,2024-25
36,Jessie Eldridge,NY,RW,3,2,1,6,0.4960107463222189,2024-25
37,Élizabeth Giguère,NY,RW,2,2,2,6,0.4960107463222189,2024-25
39,Alexandra Labelle,MTL,C,71,115,81,267,0.3817204301075269,2024-25
40,Paetyn Levis,NY,RW,2,4,1,7,0.4960107463222189,2024-25
42,Abby Roque,NY,C,184,135,128,447,0.5768025078369906,2024-25
44,Ella Shelton,NY,LD,0,2,1,3,0.4960107463222189,2024-25
45,Kayla Vespa,NY,C,6,2,4,12,0.4960107463222189,2024-25
47,Micah Zandee-Hart,NY,LD,0,0,2,2,0.4960107463222189,2024-25
49,Lexie Adzija,BOS,C,35,35,24,94,0.5,2024-25
50,Ashton Bell,OTT,RD,2,0,0,2,0.5126735602673117,2024-25
53,Emily Clark,OTT,LW,2,6,3,11,0.5126735602673117,2024-25
57,Gabbie Hughes,OTT,C,220,227,273,720,0.49217002237136465,2024-25
58,Brianne Jenner,OTT,RW,51,23,19,93,0.6891891891891891,2024-25
61,Hayley Scamurra,TOR,LW,0,4,0,4,0.5236565614794862,2024-25
62,Aneta Tejralová,OTT,LD,1,1,0,2,0.5126735602673117,2024-25
63,Daryl Watts,TOR,LW,2,2,2,6,0.5236565614794862,2024-25
65,Jesse Compher,TOR,RW,18,26,21,65,0.4090909090909091,2024-25
66,Maggie Connors,TOR,LW,3,2,2,7,0.5236565614794862,2024-25
67,Renata Fast,TOR,RD,1,3,1,5,0.5236565614794862,2024-25
68,Kali Flanagan,TOR,RD,1,0,0,1,0.5236565614794862,2024-25
71,Jocelyne Larocque,OTT,LD,1,0,1,2,0.5126735602673117,2024-25
72,Rebecca Leslie,OTT,RW,8,3,3,14,0.7272727272727273,2024-25
73,Emma Maltais,TOR,LW,56,58,41,155,0.49122807017543857,2024-25
75,Sarah Nurse,TOR,C,184,128,136,448,0.5897435897435898,2024-25
76,Blayre Turnbull,TOR,C,128,199,198,525,0.39143730886850153,2024-25
78,Susanna Tapani,BOS,C,196,163,198,557,0.5459610027855153,2024-25
79,Maggie Flaherty,MIN,RD,0,0,1,1,0.5147587522713617,2024-25
83,Erin Ambrose,MTL,RD,2,4,1,7,0.4403177661018539,2024-25
86,Emma Woods,TOR,C,33,34,35,102,0.4925373134328358,2024-25
87,Jaime Bourbonnais,NY,RD,0,1,0,1,0.4960107463222189,2024-25
88,Kateřina Mrázová,OTT,C,93,83,108,284,0.5284090909090909,2024-25
89,Hannah Miller,TOR,C,117,109,118,344,0.5176991150442478,2024-25
90,Natalie Buchbinder,MIN,RD,2,2,1,5,0.5147587522713617,2024-25
91,Brooke Bryant,MIN,RW,1,2,2,5,0.5147587522713617,2024-25
97,Liz Schepers,MIN,C,75,87,109,271,0.46296296296296297,2024-25
98,Maureen Murphy,MTL,RW,29,26,25,80,0.5272727272727272,2024-25
100,Natalie Spooner,TOR,RW,0,1,2,3,0.5236565614794862,2024-25
101,Alexa Vasko,OTT,C,58,68,59,185,0.4603174603174603,2024-25
102,Claire Butorac,MIN,RW,0,3,2,5,0.5147587522713617,2024-25
104,Denisa Křížová,MIN,LW,3,2,2,7,0.5147587522713617,2024-25
110,Amanda Pelkey,BOS,RW,3,2,3,8,0.49429083889390296,2024-25
114,Abby Boreen,MTL,RW,8,13,6,27,0.38095238095238093,2024-25
115,Michela Cava,MIN,RW,2,3,2,7,0.5147587522713617,2024-25
116,Clair DeGeorge,MTL,C,19,37,44,100,0.3392857142857143,2024-25
118,Emma Greco,BOS,LD,2,0,2,4,0.49429083889390296,2024-25
125,Victoria Bach,OTT,LW,17,13,13,43,0.5666666666666667,2024-25
128,Kaitlin Willoughby,TOR,RW,2,1,0,3,0.5236565614794862,2024-25
138,Mikyla Grant-Mentis,MTL,LW,5,21,6,32,0.19230769230769232,2024-25
142,Natalie Snodgrass,OTT,LW,3,6,3,12,0.5126735602673117,2024-25
149,Jill Saulnier,BOS,LW,3,3,3,9,0.49429083889390296,2024-25
157,Catherine Dubois,MTL,LW,12,13,11,36,0.48,2024-25
161,Tereza Vanišová,OTT,LW,5,6,1,12,0.45454545454545453,2024-25
167,Sidney Morin,BOS,RD,2,0,0,2,0.49429083889390296,2024-25
169,Claire Thompson,MIN,LD,1,2,1,4,0.5147587522713617,2024-25
175,Kelly Babstock,BOS,C,5,1,9,15,0.49429083889390296,2024-25
180,Sydney Bard,BOS,RD,1,1,2,4,0.49429083889390296,2024-25
181,Hannah Bilka,BOS,LW,2,2,2,6,0.49429083889390296,2024-25
183,Shay Maloney,BOS,C,115,105,110,330,0.5227272727272727,2024-25
188,Mae Batherson,MIN,LD,0,1,0,1,0.5147587522713617,2024-25
189,Britta Curl-Salemme,MIN,LW,41,31,33,105,0.5694444444444444,2024-25
190,Klára Hymlárová,MIN,LW,11,13,17,41,0.4583333333333333,2024-25
191,Katy Knoll,MIN,C,20,20,32,72,0.5,2024-25
192,Brooke McQuigge,MIN,LW,1,5,2,8,0.5147587522713617,2024-25
195,Dominique Petrie,MIN,C,89,84,104,277,0.5144508670520231,2024-25
198,Jenn Gardiner,MTL,LW,4,5,1,10,0.4403177661018539,2024-25
199,Dara Greig,MTL,LW,2,2,1,5,0.4403177661018539,2024-25
201,Lina Ljungblom,MTL,LW,26,24,23,73,0.52,2024-25
204,Emmy Fecteau,NY,LW,9,14,6,29,0.391304347826087,2024-25
205,Sarah Fillier,NY,LW,63,32,34,129,0.6631578947368421,2024-25
206,Elle Hartje,NY,LW,5,3,2,10,0.4960107463222189,2024-25
209,Izzy Daniel,TOR,RW,0,4,3,7,0.5236565614794862,2024-25
210,Julia Gosling,TOR,C,18,11,15,44,0.6206896551724138,2024-25
212,Laura Kluge,TOR,C,11,12,8,31,0.4782608695652174,2024-25
213,Anneke Rankila,TOR,RW,0,1,0,1,0.5236565614794862,2024-25
214,Noemi Neubauerová,TOR,C,26,10,11,47,0.7222222222222222,2024-25
217,Taylor House,OTT,C,7,22,18,47,0.2413793103448276,2024-25
219,Stephanie Markowski,OTT,LD,0,1,0,1,0.5126735602673117,2024-25
220,Mannon McMahon,OTT,RW,9,11,12,32,0.45,2024-25
221,Anna Meixner,OTT,LW,1,2,3,6,0.5126735602673117,2024-25
223,Ronja Savolainen,OTT,LD,0,1,0,1,0.5126735602673117,2024-25
224,Danielle Serdachny,OTT,C,88,80,58,226,0.5238095238095238,2024-25
227,Gabby Rosenthal,NY,C,69,118,98,285,0.3689839572192513,2024-25
230,Allyson Simpson,NY,RD,0,0,1,1,0.4960107463222189,2024-25
