GameID,Season,SeasonStage,Team,PlayerID,Name,position,TOI,EV_ixG,PP_ixG,SH_ixG,EV_G,PP_G,SH_G,EN_G,EV_A1,EV_A2,PP_A1,PP_A2,SH_A1,SH_A2,plusMinus,PIM,hits,EV_Shots,EV_SA,EV_xGA,EV_GA,PP_GA,SH_GA,Faceoffs,faceoffWins
210,20252026,Regular,MIN,24,Lee Stecklein,LD,25.2,0.19633,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
210,20252026,Regular,MIN,236,Kendall Cooper,RD,24.1,0.15310200000000002,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
210,20252026,Regular,MIN,167,Sidney Morin,RD,21.2,0.102068,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,0,0,2,0,0,0,0,0,0,0
210,20252026,Regular,MIN,191,Katy Knoll,RW,13.333333333333334,0.094262,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-2,2,2,1,0,0,0,0,0,1,0
210,20252026,Regular,MIN,102,Claire Butorac,RW,9.8,0.094262,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
210,20252026,Regular,MIN,162,Madison Bizal,LD,13.85,0.051034,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
210,20252026,Regular,MIN,23,Kelly Pannek,C,15.833333333333334,0.094262,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,7,5
210,20252026,Regular,MIN,25,Grace Zumwinkle,RW,17.85,0.051034,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
210,20252026,Regular,MIN,195,Dominique Petrie,C,15.0,0.282786,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-2,0,1,3,0,0,0,0,0,6,2
210,20252026,Regular,MIN,188,Mae Batherson,LD,19.016666666666666,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0
210,20252026,Regular,MIN,90,Natalie Buchbinder,RD,13.65,0.051034,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
210,20252026,Regular,MIN,269,Vanessa Upson,C,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,20252026,Regular,MIN,20,Kendall Coyne Schofield,LW,17.05,0.254238,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0
210,20252026,Regular,MIN,21,Taylor Heise,C,17.2,0.19633,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,10,6
210,20252026,Regular,MIN,104,Denisa Křížová,LW,12.433333333333334,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0
210,20252026,Regular,MIN,190,Klára Hymlárová,C,10.683333333333334,0.094262,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,9,6
210,20252026,Regular,MIN,247,Abby Hustler,LW,15.166666666666666,0.239558,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0
210,20252026,Regular,MIN,189,Britta Curl-Salemme,RW,17.916666666666668,0.239558,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,2,3,0,0,0,0,0,7,5
210,20252026,Regular,MIN,263,Peyton Anderson,LW,9.6,0.051034,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
210,20252026,Regular,MIN,22,Nicole Hensley,G,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,20252026,Regular,MIN,123,Maddie Rooney,G,58.8,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,20252026,Regular,TOR,132,Jessica Kondas,RD,4.716666666666667,0.051034,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
210,20252026,Regular,TOR,68,Kali Flanagan,RD,22.35,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,20252026,Regular,TOR,116,Clair DeGeorge,C,6.95,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,20252026,Regular,TOR,63,Daryl Watts,LW,15.833333333333334,0.094262,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
210,20252026,Regular,TOR,317,Kiara Zanon,LW,9.716666666666667,0.21101,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
210,20252026,Regular,TOR,74,Allie Munroe,LD,20.2,0.094262,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0
210,20252026,Regular,TOR,56,Savannah Harmon,LD,22.95,0.051034,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
210,20252026,Regular,TOR,44,Ella Shelton,RD,24.75,0.242932,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
210,20252026,Regular,TOR,65,Jesse Compher,RW,16.433333333333334,0.239558,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0
210,20252026,Regular,TOR,313,Sara Hjalmarsson,LW,11.4,0.051034,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
210,20252026,Regular,TOR,244,Emma Gentry,C,8.15,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,1,1
210,20252026,Regular,TOR,66,Maggie Connors,LW,14.316666666666666,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
210,20252026,Regular,TOR,100,Natalie Spooner,RW,17.783333333333335,0.38485400000000003,0.0,0.0,0,0,0,0,1,1,0,0,0,0,2,0,0,5,0,0,0,0,0,2,1
