PlayerID,Name,Team,pos,api_gp,blocks
13,Hilary Knight,BOS,RW,30,22
205,Sarah Fillier,NY,F,30,19
63,Daryl Watts,TOR,F,30,12
31,Marie-Philip Poulin,MTL,F,30,29
20,Kendall Coyne Schofield,MIN,F,30,10
89,Hannah Miller,TOR,F,29,10
36,Jessie Eldridge,NY,F,30,13
161,Tereza Vanišová,OTT,F,30,3
32,Laura Stacey,MTL,F,27,13
21,Taylor Heise,MIN,F,29,13
11,Sophie Jaques,MIN,D,25,27
67,Renata Fast,TOR,D,30,49
34,Alex Carpenter,NY,F,26,16
115,Michela Cava,MIN,F,30,10
53,Emily Clark,OTT,F,30,21
15,Alina Müller,BOS,LW,26,9
78,Susanna Tapani,BOS,C,30,16
65,Jesse Compher,TOR,F,30,25
198,Jenn Gardiner,MTL,F,30,11
169,Claire Thompson,MIN,D,30,27
4,Shiann Darkangelo,OTT,F,29,15
42,Abby Roque,NY,F,30,9
44,Ella Shelton,NY,D,24,35
57,Gabbie Hughes,OTT,F,29,16
189,Britta Curl-Salemme,MIN,F,28,25
192,Brooke McQuigge,MIN,F,29,10
58,Brianne Jenner,OTT,F,28,3
75,Sarah Nurse,TOR,F,21,18
114,Abby Boreen,MTL,F,30,13
60,Jincy Roese,OTT,D,27,17
12,Megan Keller,BOS,LD,30,43
196,Cayla Barnes,MTL,D,30,37
83,Erin Ambrose,MTL,D,28,49
181,Hannah Bilka,BOS,LW,16,4
76,Blayre Turnbull,TOR,F,30,14
1,Hannah Brandt,BOS,C,30,14
23,Kelly Pannek,MIN,F,30,19
223,Ronja Savolainen,OTT,D,28,35
25,Grace Zumwinkle,MIN,F,22,9
210,Julia Gosling,TOR,F,30,12
16,Jamie Lee Rattray,BOS,LW,30,6
195,Dominique Petrie,MIN,F,18,16
62,Aneta Tejralová,OTT,D,30,37
47,Micah Zandee-Hart,NY,D,30,38
157,Catherine Dubois,MTL,F,24,4
104,Denisa Křížová,MIN,F,30,13
73,Emma Maltais,TOR,F,30,11
26,Claire Dalton,MTL,F,30,15
183,Shay Maloney,BOS,C,30,12
24,Lee Stecklein,MIN,D,30,41
203,Anna Wilgren,MTL,D,30,57
84,Kati Tabin,MTL,D,28,31
40,Paetyn Levis,NY,F,30,8
220,Mannon McMahon,OTT,F,30,20
138,Mikyla Grant-Mentis,MTL,F,30,21
167,Sidney Morin,BOS,RD,30,10
224,Danielle Serdachny,OTT,F,30,14
88,Kateřina Mrázová,OTT,F,14,7
68,Kali Flanagan,TOR,D,30,21
87,Jaime Bourbonnais,NY,D,30,23
209,Izzy Daniel,TOR,F,30,14
129,Mellissa Channell-Watkins,MIN,D,29,25
71,Jocelyne Larocque,OTT,D,30,23
35,Jade Downie-Landry,NY,F,30,7
50,Ashton Bell,OTT,D,27,32
98,Maureen Murphy,MTL,F,28,17
201,Lina Ljungblom,MTL,F,29,20
229,Maja Nylen Persson,NY,D,23,11
97,Liz Schepers,MIN,F,27,14
49,Lexie Adzija,BOS,C,29,8
102,Claire Butorac,MIN,F,29,6
51,Amanda Boulier,MTL,D,25,31
206,Elle Hartje,NY,F,27,9
56,Savannah Harmon,TOR,D,30,20
100,Natalie Spooner,TOR,F,14,9
110,Amanda Pelkey,BOS,LW,25,2
17,Theresa Schafzahl,BOS,RW,30,9
149,Jill Saulnier,BOS,F,24,16
125,Victoria Bach,OTT,F,30,7
219,Stephanie Markowski,OTT,D,28,20
5,Jessica DiGirolamo,BOS,RD,30,29
