PlayerID,Name,Team,pos,api_gp,blocks
30,Kristin O'Neill,MTL,F,30,22
230,Allyson Simpson,NY,D,30,39
18,Sophie Shirley,BOS,RW,28,4
99,Mariah Keopple,MTL,D,29,60
86,Emma Woods,TOR,F,30,18
101,Alexa Vasko,OTT,F,24,14
33,Chloé Aurard-Bushee,NY,F,27,8
37,Élizabeth Giguère,NY,F,29,3
39,Alexandra Labelle,MTL,F,19,14
91,Brooke Bryant,MIN,F,26,2
2,Emily Brown,BOS,LD,29,39
38,Brooke Hobson,NY,D,29,19
227,Gabby Rosenthal,NY,F,29,14
8,Loren Gabel,BOS,RW,20,5
9,Taylor Girard,NY,LW,23,7
61,Hayley Scamurra,TOR,F,25,11
180,Sydney Bard,BOS,RD,27,26
72,Rebecca Leslie,OTT,F,27,7
207,Lauren Bernard,NY,D,23,10
52,Zoe Boyd,OTT,D,23,10
188,Mae Batherson,MIN,D,25,7
200,Anna Kjellbin,TOR,D,25,8
118,Emma Greco,BOS,LD,28,18
185,Daniela Pejšová,BOS,LD,28,6
199,Dara Greig,MTL,F,29,6
66,Maggie Connors,TOR,F,30,9
217,Taylor House,OTT,F,15,2
191,Katy Knoll,MIN,F,21,9
142,Natalie Snodgrass,OTT,F,21,5
79,Maggie Flaherty,MIN,D,22,20
221,Anna Meixner,OTT,F,28,10
190,Klára Hymlárová,MIN,F,29,8
74,Allie Munroe,TOR,D,30,39
231,Noora Tulus,NY,F,30,5
27,Jillian Dempsey,BOS,LW,9,4
212,Laura Kluge,TOR,F,13,2
90,Natalie Buchbinder,MIN,D,19,21
232,Rylind MacKinnon,TOR,D,22,14
116,Clair DeGeorge,MTL,F,26,8
132,Jessica Kondas,TOR,D,1,0
204,Emmy Fecteau,NY,F,30,5
208,Megan Carter,TOR,D,19,21
128,Kaitlin Willoughby,MTL,F,27,4
215,Jessica Adolfsson,OTT,D,1,0
163,Catherine Daoust,MTL,D,1,1
187,Charlotte Akervik,MIN,D,2,1
182,Hadley Hartmetz,BOS,RD,2,0
150,Taylor Baker,NY,D,3,0
156,Gabrielle David,MTL,F,3,1
213,Anneke Rankila,TOR,F,3,0
108,Samantha Isbell,OTT,D,4,1
202,Kelly Ann Nadeau,MTL,D,4,0
82,Dominika Lásková,MTL,D,5,4
175,Kelly Babstock,BOS,RW,9,2
194,Kaitlyn O'Donohoe,MIN,F,9,3
45,Kayla Vespa,NY,F,10,0
131,Olivia Knowles,NY,D,12,1
214,Noemi Neubauerová,TOR,F,20,6
