name,player_id,team,pos,gp,toi_min,ixG,FA,ixG60,FA60,FA60_resid,d_adj_FA60,blocks60,blocks60_adj,block_val60,d_value60,value60,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60
Kati Tabin,84,MTL,LD,32,634.3999999999999,3.065,59.52179590042357,0.2898802017654477,5.6294258417802885,-0.04625640578505466,-0.046256405785054674,2.931904161412359,-0.7844718127683761,-0.03137887251073505,-0.029574872685117916,0.2603053290803298,-0.071,-0.091,-0.162,-0.015,-0.019,-0.034,-0.003
Emma Greco,118,BOS,LD,28,313.59999999999997,1.174,31.332200931339298,0.22461734693877553,5.994681300638897,-0.011740972040853948,-0.01174097204085396,3.4438775510204085,0.41782167398153264,0.016712866959261306,0.01717076486885461,0.24178811180763013,-0.376,0.199,-0.177,-0.077,0.041,-0.036,-0.007
Rylind MacKinnon,232,TOR,LD,23,247.6833333333334,0.9190000000000002,22.444686051753454,0.22262297288204022,5.43710852475018,0.014829573938768603,0.014829573938768591,3.391427225624116,0.09490362574172875,0.0037961450296691503,0.003217791646057175,0.2258407645280974,-0.305,0.1,-0.205,-0.062,0.02,-0.042,-0.01
Mariah Keopple,99,MTL,LD,33,572.0833333333333,1.4039999999999995,53.937039298749994,0.147251274581209,5.656907253474144,-0.02318214208837213,-0.02318214208837214,6.292789512017481,2.576413537836746,0.10305654151346984,0.10396064505491635,0.2512119196361254,-1.424,1.191,-0.233,-0.291,0.243,-0.048,-0.005
Brooke Hobson,38,NY,LD,29,311.01666666666665,1.0730000000000002,32.024966480089006,0.2069985531322009,6.17811903586734,0.1205645414037983,0.12056454140379828,3.66539842452173,0.6814222031459191,0.027256888125836765,0.02255487101108863,0.22955342414328953,-0.464,0.226,-0.238,-0.095,0.046,-0.049,-0.009
Anna Kjellbin,200,MTL,LD,18,197.01666666666668,0.766,18.855851646288865,0.23327975636578968,5.742413156809061,0.0649819895504494,0.06498198955044938,2.4363421030369676,-1.2800338711437673,-0.051201354845750696,-0.05373565243821822,0.17954410392757147,-0.208,-0.108,-0.316,-0.043,-0.022,-0.065,-0.02
Sidney Morin,167,BOS,RD,30,583.0666666666666,3.089,58.07645562478292,0.3178710267550881,5.97631032040986,-0.027230469695878334,-0.027230469695878345,1.0290418477018066,-1.9970140293370695,-0.07988056117348279,-0.07881857285534354,0.23905245389974455,0.207,-0.562,-0.355,0.042,-0.115,-0.073,-0.008
Erin Ambrose,83,MTL,RD,32,732.5666666666666,2.757,69.13449174949338,0.2258088001092051,5.66237817486864,-0.01528384044129685,-0.015283840441296862,4.013286617827729,0.2969106436469944,0.011876425745879776,0.012472495523090354,0.23828129563229544,-0.864,0.409,-0.455,-0.177,0.084,-0.093,-0.008
Cayla Barnes,196,MTL,RD,34,778.2666666666667,3.5509999999999993,73.39652379162268,0.27376220661298606,5.658460802849102,-0.017719481064526168,-0.01771948106452618,2.8524927188624294,-0.8638832553183056,-0.03455533021273222,-0.0338642704512157,0.23989793616177035,-0.296,-0.167,-0.463,-0.061,-0.034,-0.095,-0.007
Maja Nylen Persson,229,NY,RD,23,428.25000000000006,1.942,44.047529020757864,0.2720840630472854,6.1712825247997,0.11573913341552639,0.11573913341552637,1.541155866900175,-1.4428203544756357,-0.05771281417902543,-0.062226640382230955,0.20985742266505442,-0.175,-0.294,-0.469,-0.036,-0.06,-0.096,-0.013
